Date,ALAB,AMAT,ASML,AXTI,CRDO,KLAC,LRCX,MRVL,MU,MXL,QQQ,SNDK,SPY,STX,TER,TTMI,WDC
2026-06-01,320.0899963378906,458.1700134277344,1628.5699462890625,109.55000305175781,226.10000610351562,194.00399780273438,316.8967590332031,219.42999267578125,1035.5,86.2300033569336,741.9246826171875,1761.4300537109375,756.5908203125,920.6035766601562,369.4700012207031,172.44000244140625,546.0576171875
2026-06-02,355.760009765625,490.04998779296875,1705.3699951171875,110.8499984741211,229.0,204.52000427246094,334.1745910644531,290.7900085449219,1064.0999755859375,88.76000213623047,745.3408813476562,1716.3599853515625,757.6182250976562,925.9497680664062,392.6199951171875,179.6199951171875,562.9531860351562
2026-06-03,363.5400085449219,500.7699890136719,1726.3599853515625,106.69999694824219,214.60000610351562,212.51100158691406,343.4680480957031,301.6499938964844,1079.5699462890625,91.38999938964844,743.39306640625,1831.5,752.3018798828125,940.019775390625,409.6700134277344,189.60000610351562,593.9551391601562
2026-06-04,358.04998779296875,501.70001220703125,1757.469970703125,105.98999786376953,217.5,213.11000061035156,336.1731872558594,316.42999267578125,996.0,94.20999908447266,739.7969970703125,1759.6800537109375,755.1445922851562,925.3302001953125,406.8599853515625,184.83999633789062,575.3499755859375
2026-06-05,317.05999755859375,453.010009765625,1641.739990234375,89.04000091552734,206.88999938964844,192.9199981689453,303.0664978027344,263.4700012207031,864.010009765625,80.91999816894531,704.2860107421875,1559.3199462890625,735.65478515625,846.8661499023438,357.92999267578125,167.6199951171875,511.7200012207031
2026-06-08,346.3299865722656,492.1700134277344,1749.0400390625,90.77999877929688,222.27000427246094,210.80599975585938,324.22161865234375,288.8500061035156,949.280029296875,79.2699966430664,715.283935546875,1642.0,737.3204345703125,876.1453247070312,374.69000244140625,178.3800048828125,526.9299926757812
2026-06-09,341.70001220703125,499.2099914550781,1777.77001953125,78.36000061035156,234.32000732421875,213.93699645996094,326.9297180175781,266.8800048828125,935.8900146484375,72.61000061035156,707.052978515625,1646.5400390625,735.1560668945312,845.4072265625,369.2099914550781,173.86000061035156,517.719970703125
2026-06-10,330.8599853515625,497.010009765625,1734.18994140625,85.29000091552734,237.67999267578125,213.56399536132812,321.5734558105469,252.58999633789062,891.8800048828125,71.94999694824219,692.9285278320312,1643.22998046875,723.56591796875,815.4085693359375,347.5899963378906,172.1199951171875,490.0899963378906
2026-06-11,367.4700012207031,552.6400146484375,1899.47998046875,88.33999633789062,264.760009765625,241.16400146484375,362.2648010253906,280.7099914550781,995.8699951171875,81.08999633789062,716.332763671875,1881.510009765625,735.8642578125,867.4714965820312,381.3999938964844,187.2100067138672,529.2899780273438
2026-06-12,367.1499938964844,567.25,1863.550048828125,97.18000030517578,250.80999755859375,254.5399932861328,366.5517883300781,279.70001220703125,981.6099853515625,84.45999908447266,720.5481567382812,1980.0999755859375,739.843994140625,930.3765869140625,403.20001220703125,194.0500030517578,562.9299926757812
