period,stop_loss,max_hold_days,baseline_return,candidate_return,return_delta,drawdown_delta,sharpe_delta,win_rate_delta,baseline_trades,candidate_trades
train_2024_2025,0.06,10,0.03422542662695771,0.09969720745593857,0.06547178082898086,0.00973638381656139,1.228160291964722,0.18492063492063487,45,28
train_2024_2025,0.06,20,0.07788857816616801,0.14635868465985724,0.06847010649368923,0.01946505646253449,1.013182776501968,0.24561403508771928,38,21
train_2024_2025,0.06,30,0.0977336296359057,0.14563410510209396,0.04790047546618825,0.013075311787898114,0.6602642615151643,0.19047619047619052,35,21
train_2024_2025,0.08,10,0.024045734328613788,0.09897270011907233,0.07492696579045854,0.019926171955488958,1.346574598485762,0.16528239202657802,43,28
train_2024_2025,0.08,20,0.06309541511375305,0.1714744581601837,0.10837904304643065,0.034169666877121196,1.5424960743811686,0.24054054054054047,37,20
train_2024_2025,0.08,30,0.09051071678124045,0.15917805460514312,0.06866733782390266,0.01937303988678074,0.9915629432958959,0.22575757575757577,33,20
train_2024_2025,0.1,10,0.042215103202118964,0.09947226018682409,0.057257156984705126,0.019733257998449716,1.0940466302049079,0.14202657807308966,43,28
train_2024_2025,0.1,20,0.06315327022004014,0.1698929239847713,0.10673965376473116,0.02937101478351256,1.5326642240832788,0.21428571428571425,35,20
train_2024_2025,0.1,30,0.08883332635955643,0.15893906459078444,0.07010573823122801,0.019234088878768762,0.9994462475391731,0.22575757575757577,33,20
2026,0.06,10,-0.009312077244921224,0.015079696087307415,0.02439177333222864,0.019368836552596247,1.6041077633958984,0.4,10,5
2026,0.06,20,-0.018196558299278576,0.006195215032950063,0.02439177333222864,0.017669950611252316,1.0278971904900087,0.2777777777777778,9,4
2026,0.06,30,-0.0003974258450498702,0.023994347487178658,0.024391773332228528,0.015182372739737882,1.0541640209209815,0.2777777777777778,9,4
2026,0.08,10,-0.012929411431885751,0.015031471757777304,0.027960883189663055,0.0194793543379006,1.7924735408550687,0.4,10,5
2026,0.08,20,-0.02181389248624299,0.006146990703419952,0.027960883189662944,0.02000962045256438,1.1825066387245253,0.2777777777777778,9,4
2026,0.08,30,-0.004014760032014286,0.023946123157648547,0.027960883189662833,0.015337515791672085,1.186496374619099,0.2777777777777778,9,4
2026,0.1,10,-0.016392519893427715,0.01456188352627219,0.030954403419699905,0.019577503937002305,1.9179021265226068,0.4,10,5
2026,0.1,20,-0.025277000947784956,0.005677402471914839,0.030954403419699794,0.021818135552262197,1.2738112595613265,0.2777777777777778,9,4
2026,0.1,30,-0.007477868493556139,0.023476534926143433,0.030954403419699572,0.01588705883961139,1.2878218633552112,0.2777777777777778,9,4
