initial_nav,slippage,period_name,variant_name,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,cash_yield_earned,cash_return_days,cash_return_missing_days,partial_exits,partial_ineligible,profitable_symbols,top_symbol_profit_share
6000.0,0.001,development_2024_2025,RSR2,7030.590030378825,0.1717650050631374,0.08265749154931856,-0.01905940928066363,0.037698352362547496,2.129797859633683,2.6244152273053825,20,0.7,0.1713454858660155,-0.056352887941070136,8.23797130303449,0,,,0.05061436710146251,3.297936313081651,59.78870825722854,0.0,0,0,0,0,10,0.27839147145708376
6000.0,0.001,development_2024_2025,partial_half_at_15,6859.719166083499,0.14328652768058303,0.06939308934252986,-0.018390003126129595,0.03131102713475319,2.162719767833459,2.6868345256267108,21,0.6666666666666666,0.15391369259309498,-0.06042571360858978,5.680190463570958,0,,,0.044448548721377615,3.428175004331616,71.5699813151371,0.0,0,0,9,1,10,0.22861713589761687
6000.0,0.001,heldout_2026,RSR2,6049.084766523843,0.00818079442064068,0.01380819337045347,-0.016939078104330263,0.03361401423182759,0.42406340554718064,0.24724815170228373,3,0.6666666666666666,0.11961098508236183,-0.0838189107801222,1.8845990864668132,0,,,0.02569575073452043,0.5135598322954,9.081417159956084,0.0,0,0,0,0,2,0.8271380389314571
6000.0,0.001,heldout_2026,partial_half_at_15,6066.042483225112,0.011007080537518643,0.018596473497567434,-0.015684732327769124,0.03319006811979517,0.5707616584479634,0.3268577070436649,3,0.6666666666666666,0.13875104881458689,-0.0838189107801222,2.1902087850526057,0,,,0.025384020903371884,0.5165527850789448,10.099392852349744,0.0,0,0,1,1,2,0.851258247095921
6000.0,0.001,full,RSR2,7086.367023359687,0.18106117055994786,0.0662166364734671,-0.023258890167864976,0.03680664541014721,1.7660328347281216,1.6895428685706777,23,0.6956521739130435,0.16495639834852616,-0.06027660548950615,6.490175460207313,0,,,0.04456301086886087,3.8581833683906988,69.15025572762329,0.0,0,0,0,0,10,0.2542719732800218
6000.0,0.001,full,partial_half_at_15,6970.363916327318,0.16172731938788631,0.05945779405608298,-0.018390003126129595,0.03070345378017862,1.9025872561935002,2.027148497847912,24,0.6666666666666666,0.15642085615693846,-0.06334986325503134,5.057021648221309,0,,,0.03973813135321549,3.99790001918449,82.98845346747675,0.0,0,0,11,1,10,0.19721622118500326
6000.0,0.002,development_2024_2025,RSR2,6836.297800804172,0.1393829668006954,0.06756213987277815,-0.02111059099699608,0.038954225705625525,1.70114670422955,1.668649897288569,21,0.6666666666666666,0.16895339014655655,-0.08401674027758017,4.297203958960468,0,,,0.05011701132813185,3.3697681891822096,82.44089322496264,0.0,0,0,0,0,10,0.2391749719419273
6000.0,0.002,development_2024_2025,partial_half_at_15,6755.926031901687,0.12598767198361438,0.061255211514570584,-0.02063779173358593,0.03404149434871871,1.7669986816490952,1.6765045572910167,22,0.6363636363636364,0.16350962150861714,-0.08423675432705735,3.558716772753694,0,,,0.04574727145889923,3.518600483426432,94.22660641167045,0.0,0,0,8,2,10,0.24379210086463138
6000.0,0.002,heldout_2026,RSR2,6046.721769034932,0.007786961505821921,0.013141690660191996,-0.017187130230108316,0.033605490630312665,0.4046290214204733,0.23602965304775061,3,0.6666666666666666,0.11789589266549513,-0.08521337257842969,1.8274091219553241,0,,,0.025700617283304215,0.5136698745432936,12.164274038691817,0.0,0,0,0,0,2,0.8288034914937448
6000.0,0.002,heldout_2026,partial_half_at_15,6063.661510043807,0.010610251673967674,0.017923615405256443,-0.015687112326023267,0.03318282803716474,0.5510015800312172,0.3156371741808278,3,0.6666666666666666,0.13699662877171884,-0.08521337257842969,2.1273998227317636,0,,,0.025388866851362935,0.5166598313781061,13.200225423479143,0.0,0,0,1,1,2,0.8529443981576007
6000.0,0.002,full,RSR2,6883.0195698391035,0.14716992830651732,0.05432296875732412,-0.023283363964951898,0.03703133139569531,1.4515992754106126,1.2806846396155354,24,0.6666666666666666,0.16257120296142388,-0.08416631931518637,3.847476261341552,0,,,0.04378353295588171,3.8834380637255035,94.60516726365447,0.0,0,0,0,0,10,0.21848955265624223
6000.0,0.002,full,partial_half_at_15,6819.587541945493,0.13659792365758228,0.05056874910710962,-0.02063779173358593,0.033077116331256276,1.5127788794728934,1.27588602071669,25,0.64,0.16019549741650485,-0.08434526746609872,3.329040332223328,0,,,0.04041689690456141,4.035260314804538,107.42683183514961,0.0,0,0,9,3,10,0.21879265821283617
5751.77,0.001,development_2024_2025,RSR2,6680.9675526933215,0.16154984512477388,0.07791827992873901,-0.019406187514412587,0.03624088415931011,2.0926642818221586,2.518129277471312,20,0.7,0.17104258172534653,-0.05641894504140801,7.604935921556245,0,,,0.05008637560762072,3.2767429093575857,58.848059609368,0.0,0,0,0,0,10,0.24540410158852274
