initial_nav,train_2024_2025_return_higher,train_2024_2025_dd_within_2pp,train_2024_2025_sharpe_within_005,train_2024_2025_monthly_win_within_1pp,heldout_2026_return_higher,heldout_2026_dd_within_2pp,heldout_2026_sharpe_within_005,heldout_2026_monthly_win_within_1pp,full_2024_2026_return_higher,full_2024_2026_dd_within_2pp,full_2024_2026_sharpe_within_005,full_2024_2026_monthly_win_within_1pp,train_2024_2025_average_core_higher,train_2024_2025_stock_count_retained,train_2024_2025_stock_win_nonworse,heldout_2026_average_core_higher,heldout_2026_stock_count_retained,heldout_2026_stock_win_nonworse,no_leverage,nonnegative_cash,ledger_reconciles,passes
6000.0,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False
5751.77,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False
