filter_reason,trades,win_rate,average_return,net_pnl
atr_pct,14,0.2857142857142857,-0.0490675439309176,-313.2745195388427
portfolio_path,2,0.0,-0.08523107259078228,-75.9404327028846
close_location,7,0.42857142857142855,-0.016731101246214353,-53.31673478039119
atr_pct+close_location,2,0.0,-0.039466889922624517,-33.73535151209677
