variant,period,cash_mode,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,cash_yield_earned,cash_return_days,cash_return_missing_days
matched_baseline,train_2024_2025,zero_yield,6346.81679954507,0.05780279992417836,0.02855486768014659,-0.05890377400457869,0.048500195643707555,0.6058819996610354,0.5185873394742658,37,0.43243243243243246,0.13992421594745136,-0.06702168408387987,1.5531013229039556,0,,,0.0647529798630361,5.465259813279754,106.79201248849054,0.0,0,0
matched_baseline,train_2024_2025,sgov_proxy,6978.464788856926,0.1630774648094877,0.07862832104939033,-0.04612866937804083,0.04919140547874187,1.5664548507441158,1.3209829663934738,37,0.43243243243243246,0.1402975426658258,-0.06674940221482807,1.6504614200404553,0,,,0.0657374439643481,5.877088363198708,109.26306909015717,548.8168929878482,501,0
matched_baseline,2026,zero_yield,5869.606461612689,-0.02173225639788523,-0.036307118531190286,-0.03885162045666857,0.04162773682947507,-0.8657636619219928,-0.6001920918063651,8,0.25,0.10536666948789804,-0.08632980472170128,0.41593942188600114,0,,,0.03391292894852786,1.1403927415016886,22.842248897720644,0.0,0,0
matched_baseline,2026,sgov_proxy,5994.314260386975,-0.0009476232688375719,-0.0015945039142690742,-0.026689328438114668,0.04148364104252678,-0.017564248694531402,-0.012213232839207852,8,0.25,0.10536666948789804,-0.08632980472170128,0.41593942188600114,0,,,0.03368907106547702,1.1403927415016886,22.842248897720644,124.70779877428211,149,0
matched_baseline,full,zero_yield,6323.272293429233,0.05387871557153878,0.020424517814296772,-0.05890377400457869,0.047246934018939764,0.4529223324079954,0.3804243861111026,44,0.4318181818181818,0.1410968089826501,-0.07453783802790516,1.3919027769343122,0,,,0.0582994037037227,6.464568995784464,126.78786403486421,0.0,0,0
matched_baseline,full,sgov_proxy,7123.916532206963,0.1873194220344938,0.06838984844726892,-0.04612866937804083,0.0486134940971908,1.3895751723557725,1.1556102779792339,44,0.4318181818181818,0.1415870316118852,-0.07424454578382454,1.4821488100547078,0,,,0.0595105736239741,7.047315003278816,130.28444611872945,698.1019217777349,651,0
rsr1,train_2024_2025,zero_yield,6900.84669868605,0.15014111644767514,0.0726006747488881,-0.024609702212045947,0.03744336530924216,1.8942559443848725,2.3279785454250836,20,0.65,0.18095736422791486,-0.06043230097047732,5.916269252095685,0,,,0.050845525855629216,3.227790346343301,59.36770229246081,0.0,0,0
rsr1,train_2024_2025,sgov_proxy,7553.150340434057,0.2588583900723429,0.12225434686020975,-0.0237325964620535,0.03909320457761748,2.976161434684707,3.4265854071111312,21,0.6190476190476191,0.181401774814524,-0.05803693829434322,5.195102442194248,0,,,0.05513990989569311,3.8241136507260003,64.9457288293617,571.171063577072,501,0
rsr1,2026,zero_yield,6037.371760750666,0.006228626791777714,0.010506189595704818,-0.018842605447387473,0.03372706005366588,0.3262091840039179,0.187167045308568,3,0.6666666666666666,0.10536666948789804,-0.0838189107801222,1.6735088655995964,0,,,0.026182136884534093,0.511607664666537,9.069692429452402,0.0,0,0
rsr1,2026,sgov_proxy,6165.207107985621,0.027534517997603647,0.04678018976534837,-0.015801984868256014,0.033676220525783236,1.3720409651193304,0.7865629153497008,3,0.6666666666666666,0.10536666948789804,-0.0838189107801222,1.6735088655995964,0,,,0.02603757757616238,0.511607664666537,9.069692429452402,127.83534723495123,149,0
