period,entry_delay_sessions,max_entry_gap,baseline_return,candidate_return,return_delta,baseline_drawdown,candidate_drawdown,drawdown_delta,baseline_sharpe,candidate_sharpe,sharpe_delta,baseline_win_rate,candidate_win_rate,win_rate_delta,baseline_trades,candidate_trades,candidate_exposure
train_2024_2025,1,0.03,0.05947390913742989,0.14867483927787983,0.08920093014044994,-0.05754327045432994,-0.019190354140993904,0.03835291631333604,0.6251522599633627,1.9666894944181585,1.3415372344547958,0.4444444444444444,0.65,0.2055555555555556,36,20,0.049770702964023916
train_2024_2025,1,0.05,0.06309541511375305,0.1714744581601837,0.10837904304643065,-0.05323371311955594,-0.01906404624243474,0.034169666877121196,0.6447720990262337,2.187268173407402,1.5424960743811686,0.4594594594594595,0.7,0.24054054054054047,37,20,0.05262848090644961
train_2024_2025,1,0.1,0.06309541511375305,0.1714744581601837,0.10837904304643065,-0.05323371311955594,-0.01906404624243474,0.034169666877121196,0.6447720990262337,2.187268173407402,1.5424960743811686,0.4594594594594595,0.7,0.24054054054054047,37,20,0.05262848090644961
train_2024_2025,1,1.0,0.06309541511375305,0.1714744581601837,0.10837904304643065,-0.05323371311955594,-0.01906404624243474,0.034169666877121196,0.6447720990262337,2.187268173407402,1.5424960743811686,0.4594594594594595,0.7,0.24054054054054047,37,20,0.05262848090644961
train_2024_2025,2,0.03,0.054447591822300856,0.08392179095130925,0.029474199129008394,-0.04279860699055782,-0.020237057134133485,0.022561549856424334,0.7238479086368368,1.464409223789444,0.7405613151526071,0.40625,0.5789473684210527,0.17269736842105265,32,19,0.04328405998217833
train_2024_2025,2,0.05,0.01274062063673731,0.10762905520698718,0.09488843457024987,-0.05806201609682993,-0.022091610547708918,0.03597040554912101,0.17087715074427554,1.6077870366755378,1.4369098859312623,0.4,0.65,0.25,35,20,0.04873098750708989
train_2024_2025,2,0.1,0.029826050061303677,0.10762905520698718,0.0778030051456835,-0.05130384173888436,-0.022091610547708918,0.029212231191175442,0.36726411386351,1.6077870366755378,1.2405229228120278,0.42857142857142855,0.65,0.22142857142857147,35,20,0.04873098750708989
train_2024_2025,2,1.0,0.026386084151270417,0.10418908929695347,0.07780300514568306,-0.05194774805612934,-0.02439245061565909,0.02755529744047025,0.3283675020124149,1.5677157117621736,1.2393482097497588,0.42857142857142855,0.65,0.22142857142857147,35,20,0.04823005694115794
train_2024_2025,3,0.03,-0.03384181727011737,0.004491934314605706,0.038333751584723075,-0.03469641828177317,-0.03110063424340026,0.0035957840383729067,-0.6588230492379158,0.14153362422606836,0.8003566734639842,0.3,0.35,0.04999999999999999,30,20,0.029856459002204676
train_2024_2025,3,0.05,0.016604707594718437,0.062488414398729875,0.04588370680401144,-0.03776819604073245,-0.019709039461278888,0.01805915657945356,0.23199274992751004,1.0409408146248704,0.8089480646973604,0.2972972972972973,0.5238095238095238,0.22651222651222652,37,21,0.04252300889545613
train_2024_2025,3,0.1,0.010988178010724159,0.09571247937259275,0.08472430136186859,-0.04276682058090564,-0.019709039461278888,0.023057781119626752,0.1533362169503774,1.439258406099565,1.2859221891491877,0.35135135135135137,0.5909090909090909,0.23955773955773957,37,22,0.04774781175273232
train_2024_2025,3,1.0,0.014571930590202342,0.09968272713726556,0.08511079654706322,-0.04860903518623716,-0.021144167870431274,0.027464867315805885,0.18922675703877043,1.3915798987444676,1.2023531417056972,0.3783783783783784,0.6363636363636364,0.25798525798525795,37,22,0.04916805132378164
2026,1,0.03,-0.007238017593047874,0.015395015651439525,0.0226330332444874,-0.029690223520757453,-0.016000434547757236,0.013689788973000216,-0.2848586695543712,0.8016824298426016,1.0865410993969729,0.2857142857142857,0.6666666666666666,0.38095238095238093,7,3,0.029975792307688435
2026,1,0.05,-0.02181389248624299,0.006146990703419952,0.027960883189662944,-0.03893182794030525,-0.018922207487740872,0.02000962045256438,-0.8631404703910802,0.3193661683334451,1.1825066387245253,0.2222222222222222,0.5,0.2777777777777778,9,4,0.036434223706389074
2026,1,0.1,-0.02181389248624299,0.006146990703419952,0.027960883189662944,-0.03893182794030525,-0.018922207487740872,0.02000962045256438,-0.8631404703910802,0.3193661683334451,1.1825066387245253,0.2222222222222222,0.5,0.2777777777777778,9,4,0.036434223706389074
2026,1,1.0,-0.02181389248624299,0.006146990703419952,0.027960883189662944,-0.03893182794030525,-0.018922207487740872,0.02000962045256438,-0.8631404703910802,0.3193661683334451,1.1825066387245253,0.2222222222222222,0.5,0.2777777777777778,9,4,0.036434223706389074
2026,2,0.03,0.0042203598580636825,0.018617182264103915,0.014396822406040233,-0.018070460492027762,-0.016024523572542804,0.0020459369194849586,0.22039092005107183,0.9709436360181366,0.7505527159670647,0.2857142857142857,0.6666666666666666,0.38095238095238093,7,3,0.029098386300222878
2026,2,0.05,-0.005152943761321138,0.009243878644719095,0.014396822406040233,-0.022717665500998185,-0.016024523572542804,0.006693141928455382,-0.22266761128817703,0.4752631542559104,0.6979307655440874,0.25,0.5,0.25,8,4,0.03480822308112086
2026,2,0.1,-0.005152943761321138,0.009243878644719095,0.014396822406040233,-0.022717665500998185,-0.016024523572542804,0.006693141928455382,-0.22266761128817703,0.4752631542559104,0.6979307655440874,0.25,0.5,0.25,8,4,0.03480822308112086
