mechanism,observed,p025,p05,median,p95,p975,probability_favorable,evidence_label
quality_excluded_mean_pnl,-17.19250837331138,-30.186464949578934,-28.142560916797418,-17.395050779351166,-5.766618203182538,-3.5302815650451453,0.9914504274786261,historically_stable_selected_sample
quality_excluded_mean_return,-0.03843616920779023,-0.07010609146131418,-0.06521579173720646,-0.039092884854722565,-0.00984367202904057,-0.003910320095730755,0.984300784960752,historically_stable_selected_sample
rsr2_mean_total_pnl_delta,6.319260622973233,0.16173382404872427,0.6992129433119869,6.126382617975097,12.561829614489849,14.924303309431817,0.9958502074896255,directional_but_sparse
rsr2_mean_direct_exit_effect,3.389251544811229,0.0,0.0,3.1181114212263306,8.811263550321188,9.211775529881242,0.8772061396930153,directional_but_sparse
rsr2_mean_path_sizing_residual,2.9300090781620045,1.1368683772161603e-15,0.006697919845583654,2.908809022395585,8.494687207962253,9.141971213243268,0.9882505874706264,directional_but_sparse
rsr2_win_rate_delta,0.04347826086956519,0.0,0.0,0.043478260869565216,0.13043478260869565,0.13636363636363635,0.6431178441077946,directional_but_sparse
