ticker,allocation,budget,shares,notional,immediate_cash,deployed_pct_total_cash,friction_scenario,roundtrip_friction,tax_haircut,sec_yield,after_tax_yield,holding_days,gross_after_tax_income,roundtrip_cost,net_income,break_even_days
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,180,16.06755945205479,3.81008,12.257479452054792,42.68317176895804
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,365,32.58143999999999,3.81008,28.771359999999994,42.68317176895804
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,7,0.5311221041095889,3.81008,-3.2789578958904113,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,14,1.0622442082191779,3.81008,-2.7478357917808225,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,30,2.2762375890410955,3.81008,-1.5338424109589046,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,60,4.552475178082191,3.81008,0.7423951780821909,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,90,6.828712767123287,3.81008,3.018632767123287,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,180,13.657425534246574,3.81008,9.847345534246575,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,365,27.694223999999995,3.81008,23.884143999999996,50.21549619877416
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,7,0.4373946739726027,3.81008,-3.3726853260273977,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,14,0.8747893479452054,3.81008,-2.935290652054795,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,30,1.8745486027397258,3.81008,-1.9355313972602743,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,60,3.7490972054794516,3.81008,-0.060982794520548556,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,90,5.623645808219178,3.81008,1.8135658082191775,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,180,11.247291616438355,3.81008,7.437211616438355,60.97595966994005
SGOV,0.25,939.1225,9,905.04,2850.45,0.24092703561037032,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,365,22.807007999999996,3.81008,18.996927999999997,60.97595966994005
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,7,1.2496990684931506,2.181008,-0.9313089315068492,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,14,2.499398136986301,2.181008,0.31839013698630136,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,30,5.355853150684931,2.181008,3.174845150684931,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,60,10.711706301369862,2.181008,8.530698301369862,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,90,16.06755945205479,2.181008,13.88655145205479,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,180,32.13511890410958,2.181008,29.954110904109584,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,365,65.16287999999999,2.181008,62.98187199999999,12.216585884479016
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,7,1.0622442082191779,2.181008,-1.118763791780822,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,14,2.1244884164383557,2.181008,-0.056519583561644104,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,30,4.552475178082191,2.181008,2.371467178082191,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,60,9.104950356164382,2.181008,6.923942356164382,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,90,13.657425534246574,2.181008,11.476417534246574,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,180,27.314851068493148,2.181008,25.13384306849315,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.15,0.036,0.030599999999999995,365,55.38844799999999,2.181008,53.20743999999999,14.37245398174002
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,7,0.8747893479452054,2.181008,-1.3062186520547945,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,14,1.7495786958904107,2.181008,-0.43142930410958913,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,30,3.7490972054794516,2.181008,1.5680892054794517,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,60,7.498194410958903,2.181008,5.317186410958904,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,90,11.247291616438355,2.181008,9.066283616438355,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,180,22.49458323287671,2.181008,20.313575232876712,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,quoted_spread_roundtrip_1bp,0.0001,0.3,0.036,0.025199999999999997,365,45.61401599999999,2.181008,43.433007999999994,17.45226554925574
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,7,1.2496990684931506,5.62016,-4.37046093150685,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,14,2.499398136986301,5.62016,-3.120761863013699,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,30,5.355853150684931,5.62016,-0.2643068493150693,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,60,10.711706301369862,5.62016,5.091546301369862,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,90,16.06755945205479,5.62016,10.44739945205479,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,180,32.13511890410958,5.62016,26.514958904109584,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.0,0.036,0.036,365,65.16287999999999,5.62016,59.54271999999999,31.48047477336791
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,7,1.0622442082191779,5.62016,-4.557915791780823,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,14,2.1244884164383557,5.62016,-3.4956715835616445,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,30,4.552475178082191,5.62016,-1.0676848219178092,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,60,9.104950356164382,5.62016,3.484790356164382,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,90,13.657425534246574,5.62016,8.037265534246574,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,180,27.314851068493148,5.62016,21.69469106849315,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.15,0.036,0.030599999999999995,365,55.38844799999999,5.62016,49.76828799999999,37.03585267455048
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,7,0.8747893479452054,5.62016,-4.745370652054795,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,14,1.7495786958904107,5.62016,-3.8705813041095896,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,30,3.7490972054794516,5.62016,-1.8710627945205487,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,60,7.498194410958903,5.62016,1.8780344109589029,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,90,11.247291616438355,5.62016,5.627131616438355,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,180,22.49458323287671,5.62016,16.87442323287671,44.972106819097014
SGOV,0.5,1878.245,18,1810.08,1945.4099999999999,0.48185407122074064,strategy_stress_10bps_each_side,0.002,0.3,0.036,0.025199999999999997,365,45.61401599999999,5.62016,39.993855999999994,44.972106819097014
SGOV,0.75,2817.3675,28,2815.6800000000003,939.8099999999995,0.7495507774544855,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,7,1.9439763287671232,2.281568,-0.3375916712328768,8.215622671768257
SGOV,0.75,2817.3675,28,2815.6800000000003,939.8099999999995,0.7495507774544855,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,14,3.8879526575342465,2.281568,1.6063846575342464,8.215622671768257
SGOV,0.75,2817.3675,28,2815.6800000000003,939.8099999999995,0.7495507774544855,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,30,8.331327123287672,2.281568,6.0497591232876715,8.215622671768257
SGOV,0.75,2817.3675,28,2815.6800000000003,939.8099999999995,0.7495507774544855,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,60,16.662654246575343,2.281568,14.381086246575343,8.215622671768257
SGOV,0.75,2817.3675,28,2815.6800000000003,939.8099999999995,0.7495507774544855,quoted_spread_roundtrip_1bp,0.0001,0.0,0.036,0.036,90,24.993981369863015,2.281568,22.712413369863015,8.215622671768257
