window,baseline_cagr,candidate_cagr,baseline_max_drawdown,candidate_max_drawdown,baseline_sharpe,candidate_sharpe,baseline_monthly_win_rate,candidate_monthly_win_rate
2008-2010,-0.028304146903612937,0.025721779568081526,-0.30908161286156954,-0.212179110205302,-0.05822461203218306,0.26470469764189364,0.3333333333333333,0.25
2009-2011,-0.1749122577654646,-0.04051408771281495,-0.5641167597913859,-0.3521132266990863,-0.7713026496492027,-0.19663866585760473,0.3611111111111111,0.3333333333333333
2010-2012,-0.19799450144173913,-0.0432735162304726,-0.595206199998646,-0.35211322669908673,-1.0825032238623882,-0.2676665602378481,0.3611111111111111,0.4166666666666667
2011-2013,-0.1293302517623609,-0.020526427708609463,-0.4965864573842501,-0.2620299011012355,-0.6276287755162027,-0.08416642052343395,0.3611111111111111,0.5277777777777778
2012-2014,0.04353473041854761,0.11101317739836913,-0.20088120484687588,-0.09754256580025056,0.32676467697097805,0.8688134603961822,0.5,0.6388888888888888
2013-2015,0.027294756876210524,0.009648787370419853,-0.17062172076979876,-0.19593431604572242,0.2399598436543194,0.13868731840093448,0.5,0.5555555555555556
2014-2016,-0.06447747190803865,-0.0638151579329268,-0.2546684058981845,-0.31199424978052037,-0.3690310748850008,-0.46265108497583946,0.4166666666666667,0.4166666666666667
2015-2017,-0.009390063273556848,0.003123769083080319,-0.25678586492648126,-0.32482438047033435,0.016706029729732567,0.08792864315471374,0.4444444444444444,0.4722222222222222
2016-2018,0.01398533058371787,0.041418442327620264,-0.18811009602918005,-0.16020321978481444,0.16704082766896106,0.38240698182021954,0.4722222222222222,0.5
2017-2019,-0.014806027099103947,0.06418232569019233,-0.3755141372505645,-0.2670999797300321,0.0021012688999530664,0.5316146455283467,0.4722222222222222,0.5277777777777778
2018-2020,0.05631558933252068,-0.0769378488387712,-0.37551413725056493,-0.30361810956984314,0.36078001817258976,-0.4171948083589921,0.4444444444444444,0.4166666666666667
2019-2021,0.06165892024137176,0.009069747090908908,-0.3168436879186849,-0.247149903926706,0.36298284114910867,0.14207606143295595,0.4444444444444444,0.5
2020-2022,0.09891607717298023,0.0020986045584905355,-0.240936931024053,-0.21147889179154733,0.5146616842581584,0.09942984489313941,0.3333333333333333,0.3611111111111111
2021-2023,-0.019642575741927626,0.042521101740589984,-0.31213463771345573,-0.2763818939459869,0.009546771752379165,0.3510984771878832,0.3055555555555556,0.3611111111111111
2022-2024,-0.056671818248315575,-0.04530647406102739,-0.26979968119889064,-0.19332336633114666,-0.19596932870159728,-0.3023460515647189,0.25,0.25
2023-2025,0.010851635220100686,0.059036050857984135,-0.23488492385133808,-0.15369498848183816,0.17200298716667464,0.44294200404610873,0.4166666666666667,0.4444444444444444
