period,cost_bps,variant,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs
2024,10,matched_baseline,6046.63383016949,0.0077723050282483275,0.007799099448458913,-0.02181645504468721,0.033162013650609855,0.24990634660160668,0.23435200997337874,7,0.2857142857142857,0.24050474597377902,-0.07631017206671167,1.2763371221672883,0,,,0.023160701607845793,1.041821941050544,20.250998531131966
2024,10,atr_only,6127.70533809874,0.021284223016456716,0.021358089499258215,-0.014288715170426514,0.03164134562944429,0.681300974536057,0.7528322446613552,6,0.3333333333333333,0.24050474597377902,-0.049133482151132654,2.4564017504043707,0,,,0.0225842112556623,0.9092724379359779,17.455779788733757
2024,10,close_location_only,6046.63383016949,0.0077723050282483275,0.007799099448458913,-0.02181645504468721,0.033162013650609855,0.24990634660160668,0.23435200997337874,7,0.2857142857142857,0.24050474597377902,-0.07631017206671167,1.2763371221672883,0,,,0.023160701607845793,1.041821941050544,20.250998531131966
2024,10,combined,6127.70533809874,0.021284223016456716,0.021358089499258215,-0.014288715170426514,0.03164134562944429,0.681300974536057,0.7528322446613552,6,0.3333333333333333,0.24050474597377902,-0.049133482151132654,2.4564017504043707,0,,,0.0225842112556623,0.9092724379359779,17.455779788733757
2024,20,matched_baseline,6040.782084329397,0.0067970140548994085,0.006820434868505032,-0.022198935025052546,0.03318350633460898,0.22058703218035042,0.20668568646854812,7,0.2857142857142857,0.23802673633027777,-0.07797304541088217,1.2362842911905068,0,,,0.02317239110166727,1.0418773356942668,26.502797167857192
2024,20,atr_only,6122.648811001045,0.020441468500174143,0.020512380943724207,-0.01429645152264647,0.03164263417835241,0.6551832065358442,0.724103058052307,6,0.3333333333333333,0.23802673633027777,-0.050804881152782734,2.351788042777706,0,,,0.022595100559746593,0.909314786531503,22.912359683060775
2024,20,close_location_only,6040.782084329397,0.0067970140548994085,0.006820434868505032,-0.022198935025052546,0.03318350633460898,0.22058703218035042,0.20668568646854812,7,0.2857142857142857,0.23802673633027777,-0.07797304541088217,1.2362842911905068,0,,,0.02317239110166727,1.0418773356942668,26.502797167857192
2024,20,combined,6122.648811001045,0.020441468500174143,0.020512380943724207,-0.01429645152264647,0.03164263417835241,0.6551832065358442,0.724103058052307,6,0.3333333333333333,0.23802673633027777,-0.050804881152782734,2.351788042777706,0,,,0.022595100559746593,0.909314786531503,22.912359683060775
2025,10,matched_baseline,6344.404466632811,0.05740074443880183,0.057766618801734504,-0.03306817987495303,0.058609188313064865,0.9893610732421828,0.9789172691875658,29,0.4827586206896552,0.12249191558784608,-0.06217966181194276,1.859795078594864,0,,,0.10876044125442982,4.219204833641811,83.31565672197421
2025,10,atr_only,6496.649919008866,0.08277498650147774,0.08330885798309451,-0.03040837409979591,0.046248421749696414,1.7566492265808062,2.202127275179059,23,0.5652173913043478,0.13268358537421415,-0.05873423959303052,3.0091334201491846,0,,,0.09086496260755778,3.3520312739733895,66.11275040650978
