symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,exit_date,exit_price,exit_reason,pnl,return
TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286
NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675
MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263
LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154
COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104
LRCX,2024-12-02,2024-12-03,76.68996447101065,3,breadth_exception,False,0.03685122129864782,1.9105496307824479,2024-12-19,71.88088379607542,signal,-16.42724202480568,-0.07109209158391903
TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676
MU,2024-12-16,2024-12-17,109.2960658270808,4,normal,True,0.06830033600829255,2.5170384111420283,2024-12-19,89.52818884476821,stop,-81.07150792925034,-0.18501693172902775
NOK,2025-01-07,2025-01-08,4.491866020520948,107,normal,True,0.06561093614383706,1.2942156706464853,2025-01-13,4.307853710055656,signal,-21.689317219786346,-0.045033183859230656
KLAC,2025-01-15,2025-01-16,72.76242133160433,6,normal,True,0.08422887192983652,1.2368254542167585,2025-02-18,74.89336463070873,signal,10.78565979462644,0.024648737768579957
MXL,2025-01-15,2025-01-16,22.662639389038088,21,normal,True,0.06746323668845777,1.763862884283954,2025-01-27,20.828778609677126,stop,-40.5110763665802,-0.08494394196260029
CRDO,2025-01-17,2025-01-21,83.83375,5,normal,True,0.10818130964419748,1.7547333015584623,2025-01-21,77.04992295,stop,-35.91913525000001,-0.0854874029779702
LRCX,2025-01-30,2025-01-31,80.2816599023229,3,breadth_exception,False,0.11683448801708707,2.130939023032317,2025-02-26,80.71409553916936,signal,-0.7026930894606096,-0.0029055516898139756
KO,2025-02-11,2025-02-12,64.16035428141562,7,normal,True,0.07513403853430178,1.9818299910429533,2025-03-13,67.26872215531374,signal,19.758575117286796,0.04389599719304767
WDC,2025-02-18,2025-02-19,53.97184286902098,8,normal,True,0.11533293096187947,1.2485357622920328,2025-02-24,49.60444134405981,stop,-36.93921219968939,-0.08535436228951114
CEG,2025-05-23,2025-05-27,302.5732085031184,1,normal,True,0.21575969311201093,1.7195935674853988,2025-06-05,297.3724630853819,signal,-7.200745417736471,-0.023719963475177692
NVDA,2025-05-29,2025-05-30,138.66438536926722,3,normal,True,0.12266638933021601,1.7216339604212731,2025-06-17,144.15350406998544,signal,14.467356102154667,0.03469446893851309
MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667
WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645
LITE,2025-06-18,2025-06-20,90.43534622192382,5,normal,True,0.07775349271153931,1.221608441079519,2025-07-09,91.36853908538818,signal,2.665964317321766,0.005882835843742592
INTC,2025-07-08,2025-07-09,23.313290916442867,20,normal,True,0.05430070457107328,1.2446880119694455,2025-07-11,23.53643946647644,signal,2.462971000671473,0.00527102754804559
COHR,2025-07-15,2025-07-16,95.91581969451903,5,normal,True,0.11013408734628105,1.4078742564900772,2025-08-14,91.00889847564697,signal,-26.5346060943603,-0.05521381637007134
NVDA,2025-07-15,2025-07-16,171.00330656319807,2,normal,True,0.07080499811621266,1.259288744737661,2025-08-14,179.33139729821693,signal,14.656181470037723,0.042728568223368325
LITE,2025-07-15,2025-07-16,98.1980984725952,4,normal,True,0.05851907338361295,1.6159170396458533,2025-08-14,117.19268756103517,signal,73.97835635375986,0.18786131347766222
GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754
NOK,2025-09-04,2025-09-05,4.54453996181488,108,normal,True,0.10520080259704767,2.853243812887454,2025-09-30,4.705290038108826,signal,15.36100823974624,0.031233603167484168
MU,2025-09-05,2025-09-08,130.47115444503285,3,normal,True,0.16688975317568056,1.5987176951819895,2025-10-07,194.4649377694192,signal,189.98134997315913,0.48413565721858526
NOK,2025-10-10,2025-10-13,5.2752699809074395,97,normal,True,0.1105289202279982,1.4798952658858116,2025-11-11,6.8931000952720645,signal,154.92952109336863,0.30218287898455004
INTC,2025-10-28,2025-10-29,41.641598472595206,12,normal,True,0.12524818052260933,1.4770417751744733,2025-11-04,38.10185939025879,stop,-44.47686898803704,-0.08882952202875638
AVGO,2025-10-29,2025-10-30,384.63087940227877,1,normal,True,0.0530952160516287,1.2043002456801046,2025-11-04,353.50654864104644,stop,-33.12433076123233,-0.08589646869715016
