split_id,in_blocks,out_blocks,selected_cell,selected_is_sharpe,selected_oos_sharpe,selected_oos_rank,selected_oos_return,baseline_oos_return,selected_minus_baseline_return,oos_return_regret,overfit
0,"0,1,2,3,4","5,6,7,8,9",atr_04_loc_50,1.1130512695821295,2.271445664363483,0.95,0.1299545405165159,0.08386549956448897,0.04608904095202693,0.0,False
1,"0,1,2,3,5","4,6,7,8,9",atr_04_loc_25,1.8914571465476626,1.392908373572686,0.9,0.07511833287551717,-0.0025696439635121138,0.07768797683902928,0.016285502568293087,False
2,"0,1,2,3,6","4,5,7,8,9",atr_04_loc_25,1.9667249157070181,1.1603155888435934,0.7,0.04740076731572751,-0.014762642831040562,0.06216341014676807,0.017333021041547436,False
3,"0,1,2,3,7","4,5,6,8,9",atr_04_loc_50,0.7554399985817296,2.8201095264346736,1.0,0.13737252975993042,0.039291833513775076,0.09808069624615534,0.0,False
4,"0,1,2,3,8","4,5,6,7,9",atr_04_loc_50,0.7549569145669421,2.5084608484142046,1.0,0.14628677377804244,0.042778872668731704,0.10350790110931074,0.0,False
5,"0,1,2,3,9","4,5,6,7,8",atr_04_loc_50,0.5508250141977006,2.6565017858201228,1.0,0.15471117361302822,0.06721559015448686,0.08749558345854136,0.0,False
6,"0,1,2,4,5","3,6,7,8,9",atr_04_loc_50,2.8335523447248265,1.6472606929147238,1.0,0.10682960663697894,0.05331246140891577,0.05351714522806317,0.0,False
7,"0,1,2,4,6","3,5,7,8,9",atr_04_loc_50,2.175417255627555,1.4649627961564362,1.0,0.07836850023290554,0.04043633670367974,0.03793216352922579,0.0,False
8,"0,1,2,4,7","3,5,6,8,9",atr_05_loc_50,0.8407686174933328,1.3864867110064423,0.3,0.09238566367145262,0.09751927305542396,-0.005133609383971338,0.06744364025429883,True
9,"0,1,2,4,8","3,5,6,7,9",atr_03_loc_50,1.2840081692334857,1.6567313310187246,0.7,0.07253959917722286,0.1012016773186466,-0.02866207814142374,0.089948654676127,False
10,"0,1,2,4,9","3,5,6,7,8",atr_03_loc_50,1.4183792257584087,1.6365333051533402,0.4,0.07201765089372603,0.12700748810823992,-0.05498983721451389,0.09901407225366188,True
11,"0,1,2,5,6","3,4,7,8,9",atr_04_loc_25,2.9035101876761895,0.46473701376603094,0.85,0.02271390417472463,-0.04253545650393109,0.06524936067865572,0.01886385402251478,False
12,"0,1,2,5,7","3,4,6,8,9",atr_04_loc_75,1.896023766337904,0.898198279825187,0.7,0.04382079529345928,0.00999528052183929,0.03382551477161999,0.07027498871785398,False
13,"0,1,2,5,8","3,4,6,7,9",atr_04_loc_00,2.4380015121918537,0.991365360091088,0.7,0.06794306944683814,0.013384023679372525,0.05455904576746562,0.05488452531105881,False
14,"0,1,2,5,9","3,4,6,7,8",atr_03_loc_00,1.9754395577460042,0.8730510039710617,0.3,0.03678899680955072,0.037131895582313446,-0.00034289877276272307,0.09429058935257317,True
15,"0,1,2,6,7","3,4,5,8,9",atr_05_loc_75,1.7761706679082496,0.367732340277537,0.35,0.014369175578289761,-0.0023513171499499608,0.016720492728239722,0.07107865895377263,True
16,"0,1,2,6,8","3,4,5,7,9",atr_04_loc_25,1.9379085881725493,1.3901857324409317,0.95,0.07727811406368845,0.0009960006175986358,0.07628211344608982,0.016677000724203417,False
17,"0,1,2,6,9","3,4,5,7,8",atr_04_loc_25,1.7345678813307748,1.5344688515083593,0.9,0.08529406469818768,0.02445356876803606,0.06084049593015162,0.016700849116719096,False
18,"0,1,2,7,8","3,4,5,6,9",atr_06_loc_75,0.7040003830361882,1.2794697995270774,0.35,0.07234733425573237,0.05591506579811245,0.016432268457619914,0.09777248799570404,True
19,"0,1,2,7,9","3,4,5,6,8",atr_06_loc_50,0.1426819482617479,1.7748529910217445,0.55,0.11816727024509599,0.08065961982405301,0.03750765042104298,0.06055210794904631,False
20,"0,1,2,8,9","3,4,5,6,7",atr_03_loc_00,-0.12856997972420636,1.5974704123155623,0.45,0.0746444053820976,0.08428545646203167,-0.009641051079934071,0.11331327591078177,True
21,"0,1,3,4,5","2,6,7,8,9",atr_04_loc_50,2.130605491735195,1.4686343787749225,0.95,0.07638813186044424,0.03691182033573859,0.039476311524705654,0.0,False
22,"0,1,3,4,6","2,5,7,8,9",atr_04_loc_50,2.1424920056906838,1.2895467504836684,0.95,0.048709800011296656,0.024236183811780387,0.024473616199516268,0.0053477106718049505,False
23,"0,1,3,4,7","2,5,6,8,9",atr_04_loc_50,1.0258286468515463,2.568875216477432,0.95,0.12172438173615974,0.08043030816821495,0.04129407356794479,0.006505325508322279,False
24,"0,1,3,4,8","2,5,6,7,9",atr_04_loc_50,1.0940262193886208,2.2868699144980082,1.0,0.13051598219970506,0.08405537541813857,0.046460606781566494,0.0,False
25,"0,1,3,4,9","2,5,6,7,8",atr_04_loc_50,0.8928255494571495,2.4356990463816994,0.85,0.13882447783252316,0.10945937586572185,0.02936510196680131,0.0,False
26,"0,1,3,5,6","2,4,7,8,9",atr_04_loc_25,2.7415475856720257,-0.13602201958208793,0.65,-0.005149977848999621,-0.057443693986632516,0.052293716137632895,0.019241932189525857,False
27,"0,1,3,5,7","2,4,6,8,9",atr_04_loc_50,1.6430837011481647,1.9347320128804888,1.0,0.08345446532571055,-0.0057308887663177766,0.08918535409202832,0.0,False
28,"0,1,3,5,8","2,4,6,7,9",atr_04_loc_25,1.8709104575382416,1.4065309688874126,0.9,0.0756591358885017,-0.0023949101608544687,0.07805404604935617,0.016286986509729262,False
29,"0,1,3,5,9","2,4,6,7,8",atr_04_loc_25,1.680195087413136,1.5561572149693432,0.95,0.08366303982033352,0.020983194614475842,0.06267984520585768,0.016308116926873062,False
30,"0,1,3,6,7","2,4,5,8,9",atr_04_loc_50,1.7941112270344626,2.301049877547736,1.0,0.0555944292038939,-0.017885243277308893,0.0734796724812028,0.0,False
31,"0,1,3,6,8","2,4,5,7,9",atr_04_loc_25,1.9519304555138193,1.17856281769811,0.7,0.04792762791650618,-0.014590045046245281,0.06251767296275146,0.017353850178670305,False
