date,symbol,usable_ohlcv,broad_gate,smh_ma50,above_ma20,above_ma50,breakout_prior_high20,rs20_at_least_3pct,volume_ratio_at_least_1_2,extension_0_to_12pct,event_cooldown_clear,atr_at_most_4pct,close_location_at_least_50pct,final_rsr1,extension,atr_pct,close_location,rs20,volume_ratio
2026-08-17,DRAM,True,True,True,True,True,True,True,False,False,True,False,False,False,0.1313119919574528,0.0643555037636578,0.3067223590846654,0.07508515164910778,0.8351147470144913
2026-08-17,MU,True,True,True,True,True,False,True,False,False,True,False,False,False,0.12746575567127727,0.07088354034569257,0.40347424038326557,0.10597116496496972,0.7963825761816802
2026-08-17,WDC,True,True,True,True,False,False,True,False,True,True,False,True,False,0.06905340286328854,0.08555277330957735,0.5736546105051683,0.036627840638128406,1.1340755875705424
2026-08-17,STX,True,True,True,True,True,True,True,False,False,True,False,False,False,0.1587124539106297,0.07199007317639922,0.4570130044982394,0.17663059718020424,0.7852570059776001
2026-08-17,SNDK,True,True,True,True,True,True,True,False,False,True,False,True,False,0.30109614197300494,0.08811959922949394,0.6835139800052212,0.22156534007426942,1.0718257421553634
2026-08-17,SKHY,True,True,True,True,False,False,True,False,False,True,False,False,False,0.13560992458926613,0.06944466879807563,0.20428900125377164,0.07070524821990731,0.7051034442608993
2026-08-17,MRVL,True,True,True,True,False,True,True,False,False,True,False,True,False,0.14599967184982598,0.06922473033954982,0.5598198796059121,0.13900186425890482,0.9660928343214964
2026-08-17,AVGO,True,True,True,False,True,False,False,False,False,True,False,False,False,-0.019420212150782823,0.04177996845869192,0.13913003919904263,-0.025324982356960346,1.1071204461492232
2026-08-17,ALAB,True,True,True,True,False,False,False,True,True,True,False,False,False,0.02420892210949699,0.10266645045187443,0.025914889990009078,-0.02721308308390258,1.2475850860169362
2026-08-17,COHR,True,True,True,True,True,False,True,True,False,True,False,True,False,0.1439012123714225,0.10637004324115912,0.6539900190068844,0.1675634135939137,1.2523983597328674
2026-08-17,LITE,True,True,True,True,True,True,True,False,False,True,False,True,False,0.19889777241002293,0.08924693455900759,0.5765398204596077,0.20256576952415362,1.040904401849913
2026-08-17,AAOI,True,True,True,True,True,True,True,False,False,True,False,True,False,0.31286075716400763,0.10912076271231168,0.5528184729584765,0.4404342071051157,1.063276578721532
2026-08-17,MXL,True,True,True,True,True,False,True,False,False,True,False,False,False,0.16030913943937009,0.07939223719027301,0.19391708330976345,0.06692236221983672,0.7454604968246811
2026-08-17,AXTI,True,True,True,True,True,True,True,True,False,True,False,True,False,0.4855462579220402,0.12588754925166543,0.8621212830556408,0.902329777262967,1.2684726514925082
2026-08-17,CRDO,True,True,True,True,True,False,True,False,False,True,False,True,False,0.22606862251803217,0.07706718380508658,0.7545759950243308,0.2705559442046197,1.151421244389299
2026-08-17,SMCI,True,True,True,True,True,False,True,False,False,True,False,False,False,0.22191007815551034,0.06728617038093329,0.3278683740408566,0.5433181653392207,0.8947879292758278
2026-08-17,ORCL,True,True,True,True,False,False,True,False,True,True,False,False,False,0.07490228576253943,0.05015344035578345,0.23469292427271538,0.14512883201482474,0.6423533978639294
2026-08-17,META,True,True,True,False,False,False,False,False,False,True,True,False,False,-0.036993130624537685,0.03934301189805478,0.16555403373337038,-0.18209724319515308,1.0917068344805099
2026-08-17,TER,True,True,True,True,True,True,True,False,False,True,False,True,False,0.17888053440115326,0.0671893407692549,0.9569938098405442,0.2646602197222736,0.867699189795585
2026-08-17,ASML,True,True,True,True,True,True,False,False,True,True,True,True,False,0.08796062868820465,0.03612735686792704,0.6348333535492432,0.021202938993059917,0.8068950797855645
2026-08-17,AMAT,True,True,True,True,False,False,False,True,True,True,False,True,False,0.020088923010546322,0.06117818201277677,0.8177399937209687,-0.04477992245030471,1.246686257123778
2026-08-17,KLAC,True,True,True,True,False,False,False,False,True,True,False,False,False,0.037256610807698154,0.05478266037739844,0.49546731696973767,-0.07080332482917384,0.8160092421935058
2026-08-17,LRCX,True,True,True,True,True,False,True,False,True,True,False,True,False,0.1155288025008947,0.06301934851345169,0.8787877231018999,0.057815904376158356,0.79845295984079
2026-08-17,TSLA,True,True,True,True,False,False,False,False,True,True,True,False,False,0.0356320619917454,0.03247022374187228,0.22835339120312756,-0.14496635314471384,0.6536852345833987
2026-08-17,QCOM,True,True,True,False,False,False,False,False,False,True,False,False,False,-0.003722719551604192,0.042712682604538824,0.149283398497836,-0.11085277779980252,0.7761020424853924
2026-08-17,NVDA,True,True,True,True,True,False,True,False,True,True,True,False,False,0.06397011497727778,0.029484406137597046,0.049017652338686005,0.043836567556282846,0.7783629382761174
2026-08-17,AMD,True,True,True,True,False,False,False,False,True,True,False,False,False,0.023546622956449603,0.05915583519529045,0.11535561459802622,-0.05823477206621064,0.7037017350989729
2026-08-17,INTC,True,True,True,True,False,False,False,False,True,True,False,False,False,0.06530924116768388,0.0631462027950885,0.4052747132114811,0.0031873836010232193,0.7428042224018715
2026-08-17,GLW,True,True,True,True,False,True,True,False,False,True,False,True,False,0.13420799941904193,0.0627974239557731,0.6364530041641879,0.0682917531730638,0.8429804403739716
2026-08-17,NOK,True,True,True,True,False,False,False,False,True,True,False,False,False,0.11576874796968495,0.0517492815183587,0.14634021529787214,0.006384122992127983,0.9862344502534758
