window,baseline_cagr,candidate_cagr,baseline_max_drawdown,candidate_max_drawdown,baseline_sharpe,candidate_sharpe,baseline_monthly_win_rate,candidate_monthly_win_rate
2008-2010,-0.028304146903612937,-0.036648455540310154,-0.30908161286156954,-0.27706117872583425,-0.05822461203218306,-0.121836633911275,0.3333333333333333,0.25
2009-2011,-0.1749122577654646,-0.14744671652453067,-0.5641167597913859,-0.4984731336675299,-0.7713026496492027,-0.6773936619992751,0.3611111111111111,0.2777777777777778
2010-2012,-0.19799450144173913,-0.1364286450127612,-0.595206199998646,-0.5190749639492311,-1.0825032238623882,-0.7385004031697159,0.3611111111111111,0.3055555555555556
2011-2013,-0.1293302517623609,-0.08927794728108518,-0.4965864573842501,-0.43738050790599725,-0.6276287755162027,-0.4263143016907789,0.3611111111111111,0.3055555555555556
2012-2014,0.04353473041854761,0.08892908021346568,-0.20088120484687588,-0.17566132407818424,0.32676467697097805,0.5770742417747473,0.5,0.4444444444444444
2013-2015,0.027294756876210524,0.0300388785056096,-0.17062172076979876,-0.1620549830467516,0.2399598436543194,0.2572147667955139,0.5,0.4444444444444444
2014-2016,-0.06447747190803865,-0.04954063475291626,-0.2546684058981845,-0.2763765445852576,-0.3690310748850008,-0.2751862617862905,0.4166666666666667,0.3888888888888889
2015-2017,-0.009390063273556848,-0.04616655321329599,-0.25678586492648126,-0.3159437975164735,0.016706029729732567,-0.23784027378926595,0.4444444444444444,0.4166666666666667
2016-2018,0.01398533058371787,-0.03310302113692265,-0.18811009602918005,-0.21631168457636463,0.16704082766896106,-0.1320226934689271,0.4722222222222222,0.4166666666666667
2017-2019,-0.014806027099103947,-0.0376014273739127,-0.3755141372505645,-0.3254892040570593,0.0021012688999530664,-0.14350934342082838,0.4722222222222222,0.4444444444444444
2018-2020,0.05631558933252068,0.013930577846915426,-0.37551413725056493,-0.32548920405706006,0.36078001817258976,0.1712516473918884,0.4444444444444444,0.4166666666666667
2019-2021,0.06165892024137176,0.08648342493442529,-0.3168436879186849,-0.2778651959801157,0.36298284114910867,0.46427090023284867,0.4444444444444444,0.4722222222222222
2020-2022,0.09891607717298023,0.107812053225671,-0.240936931024053,-0.2171279315378276,0.5146616842581584,0.5638620056069309,0.3333333333333333,0.3611111111111111
2021-2023,-0.019642575741927626,0.03453108796389959,-0.31213463771345573,-0.2946878057453731,0.009546771752379165,0.27083367949428677,0.3055555555555556,0.3333333333333333
2022-2024,-0.056671818248315575,-0.025812805357149915,-0.26979968119889064,-0.20132495061614475,-0.19596932870159728,-0.050626028461814875,0.25,0.25
2023-2025,0.010851635220100686,0.04271189483352433,-0.23488492385133808,-0.19788996292636585,0.17200298716667464,0.2948198185248618,0.4166666666666667,0.4166666666666667
