path,trades,wins,win_rate,average_return,net_pnl
baseline_common,19,12,0.631578947368421,0.09574429741671181,770.9173973660494
baseline_only,25,7,0.28,-0.04006992923779206,-447.645103936815
candidate_common,19,12,0.631578947368421,0.09590992876452359,803.4606280395261
candidate_only,4,3,0.75,0.058817919479449206,137.54572259648194
