initial_nav,period,architecture,start,end,final_value,total_return,max_drawdown,sharpe,monthly_win_rate,sessions,core_cap,stock_cap,average_core_exposure,max_core_exposure,average_stock_exposure,max_stock_exposure,max_gross_exposure,minimum_cash,total_costs,core_shortfall_events,planned_stock_entries,filled_stock_entries,skipped_stock_entries,reduced_stock_entries,closed_stock_trades,stock_win_rate,stock_realized_pnl,ledger_reconciles
6000.0,train_2024_2025,formal_70_25,2024-01-02,2025-12-31,8522.516648278426,0.42041944137973775,-0.08381532156033444,1.8052783032187183,0.625,502,0.7,0.25,0.5649091025544267,0.6794679007273904,0.0493906825384046,0.2511742986155044,0.8699442268959213,963.1274025092189,88.89397347586011,4,20,20,0,0,20,0.7,1163.5702020809138,True
5751.77,train_2024_2025,formal_70_25,2024-01-02,2025-12-31,8150.741181509609,0.4170839900603829,-0.08615556093523169,1.7766883014278778,0.625,502,0.7,0.25,0.5622091098327698,0.7048594479222678,0.0497522990035429,0.24884731440952212,0.875938105184321,832.3149171566574,87.50791617607436,4,20,20,0,0,20,0.7,1133.2688008638556,True
6000.0,train_2024_2025,challenger_80_20,2024-01-02,2025-12-31,8505.438755870975,0.41757312597849583,-0.09077213371009707,1.639523758353293,0.625,502,0.8,0.2,0.6396889214297841,0.8081584057988843,0.0418244930398833,0.18501223952922743,0.860530351535015,1055.203854610332,80.51673002403105,5,16,16,0,0,16,0.75,947.1680236932378,True
5751.77,train_2024_2025,challenger_80_20,2024-01-02,2025-12-31,8148.991071741779,0.4167797168074834,-0.09413821152375401,1.6347652746500831,0.625,502,0.8,0.2,0.6478221270691579,0.7765575854634765,0.04125919462151787,0.188939105292153,0.8892583999216208,802.5780717414578,78.75522053905327,5,16,16,0,0,16,0.75,880.0400147044229,True
6000.0,heldout_2026,formal_70_25,2026-01-02,2026-08-07,6099.615582319741,0.016602597053290147,-0.07090682245514857,0.29940921369000667,0.5,150,0.7,0.25,0.5266908742414351,0.6544699551212203,0.025678958429790042,0.1624789692055356,0.8003221368238295,1238.1052569811907,26.152774215620145,2,3,3,0,0,3,0.6666666666666666,49.08476652384269,True
5751.77,heldout_2026,formal_70_25,2026-01-02,2026-08-07,5834.3048362259915,0.01434946742063592,-0.06383958139392554,0.2935005908413628,0.5,150,0.7,0.25,0.44676477247777824,0.5632826983199691,0.02678632834876604,0.16941434209036305,0.7183901529583263,1674.6438752062884,24.141723434370146,2,3,3,0,0,3,0.6666666666666666,49.08476652384269,True
6000.0,heldout_2026,challenger_80_20,2026-01-02,2026-08-07,6153.358576094156,0.025559762682359377,-0.07090682245514857,0.4079522034021945,0.5,150,0.8,0.2,0.5811025800496545,0.7294991932741891,0.025647368646634715,0.1624789692055356,0.8284891196459703,1057.9762417124493,26.87157243339358,2,3,3,0,0,3,0.6666666666666666,49.08476652384269,True
5751.77,heldout_2026,challenger_80_20,2026-01-02,2026-08-07,5905.128576094156,0.02666284919149331,-0.07386387263124605,0.4105237005754928,0.5,150,0.8,0.2,0.6059490970976641,0.7601646703104616,0.026739033681204713,0.1692548822681363,0.8632263106973285,809.7462417124499,26.87157243339358,2,3,3,0,0,3,0.6666666666666666,49.08476652384269,True
6000.0,full_2024_2026,formal_70_25,2024-01-02,2026-08-07,8815.2306582559,0.4692051097093166,-0.08381532156033444,1.4779752798215506,0.59375,652,0.7,0.25,0.5604209735496831,0.6794679007273904,0.04392212035345579,0.2511742986155044,0.8699442268959213,963.1274025092189,113.53966636655433,5,23,23,0,0,23,0.6956521739130435,1270.287539939246,True
5751.77,full_2024_2026,formal_70_25,2024-01-02,2026-08-07,8364.18438127758,0.4541931233824683,-0.08615556093523169,1.455804549508395,0.59375,652,0.7,0.25,0.5476010195092962,0.7048594479222678,0.04310619666371661,0.24884731440952212,0.875938105184321,832.3149171566574,110.01484133201599,5,23,23,0,0,23,0.6956521739130435,1189.045793844717,True
6000.0,full_2024_2026,challenger_80_20,2024-01-02,2026-08-07,8761.682595909984,0.4602804326516641,-0.09077213371009707,1.352753682122422,0.59375,652,0.8,0.2,0.6252352652310531,0.8081584057988843,0.037666327675417235,0.18501223952922743,0.860530351535015,1055.203854610332,105.46596118338816,6,19,19,0,0,19,0.7368421052631579,1047.1931350945515,True
5751.77,full_2024_2026,challenger_80_20,2024-01-02,2026-08-07,8360.986793360336,0.45363719226609134,-0.09413821152375401,1.3247155904643162,0.59375,652,0.8,0.2,0.6378752892630852,0.7765575854634765,0.036563614905159685,0.188939105292153,0.8892583999216208,802.5780717414578,103.21816876628392,6,19,19,0,0,19,0.7368421052631579,935.8170076852844,True
