cost_bps,variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
0.0,equal_weekly,zero_return,development_2006_2014,-0.05070111292082036,-0.005772220400278694,0.17938334610059464,0.05796653905679939,0.08393861026694255,-0.552017220223143,-0.01045659481047598,0.3888888888888889,-0.030222665658273702,38.595496688741726,0.5920529801324503
0.0,equal_weekly,zero_return,validation_2015_2019,0.011496519954370621,0.0022924457108524088,0.16187246037290667,0.0954394591965304,0.14232227981056417,-0.3428161826420565,0.006687098879594061,0.45,-0.026221631724851337,45.43211446740859,0.7782193958664547
0.0,equal_weekly,zero_return,final_2020_2025,0.8109649178289653,0.10440311778790701,0.24825048540745284,0.5251283587445024,0.8011379756146022,-0.28805607884389817,0.36244025193609813,0.3888888888888889,-0.03924552329160382,46.620836098208365,0.7199734571997346
0.0,equal_weekly,zero_return,full_2006_2025,0.7389111886064306,0.028105670561342277,0.19879330087260935,0.2394611503025316,0.35601075599031096,-0.552017220223143,0.0509144815264659,0.4041666666666667,-0.03241945077958255,42.70974155069583,0.6769383697813122
10.0,equal_weekly,zero_return,development_2006_2014,-0.3290068563381152,-0.04342075826357239,0.17937956152772205,-0.15719329844891244,-0.2258983128708375,-0.6059464688579967,-0.07165774617913984,0.3611111111111111,-0.030419963105568788,38.595496688741726,0.5920529801324503
10.0,equal_weekly,zero_return,validation_2015_2019,-0.19406172629893015,-0.04229762727960695,0.1622934409405949,-0.18474618701061024,-0.2729688050544771,-0.37551413725056426,-0.11263924066694614,0.43333333333333335,-0.02650052634287369,45.43211446740859,0.7782193958664547
10.0,equal_weekly,zero_return,final_2020_2025,0.3704488510445685,0.05411053449525993,0.2482106957182841,0.3373848722312113,0.5110550755612145,-0.35039553930786593,0.15442700726768419,0.375,-0.03946960211062303,46.620836098208365,0.7199734571997346
10.0,equal_weekly,zero_return,full_2006_2025,-0.2588899642165803,-0.014898000465253136,0.19885997589643903,0.024607922869531583,0.03630574257256497,-0.6495798817303351,-0.02293482431378294,0.38333333333333336,-0.032639882696984444,42.70974155069583,0.6769383697813122
20.0,equal_weekly,zero_return,development_2006_2014,-0.525939802644376,-0.07969073841375018,0.1796271998603924,-0.3718410223591738,-0.5304232824235512,-0.6664436058485722,-0.11957611674026224,0.35185185185185186,-0.030646814661965775,38.595496688741726,0.5920529801324503
20.0,equal_weekly,zero_return,validation_2015_2019,-0.35802719034069386,-0.08495569198024544,0.16300822501093853,-0.46264664775629877,-0.6777888398754597,-0.45671260840533523,-0.18601564838964713,0.4,-0.0268341630708265,45.43211446740859,0.7782193958664547
20.0,equal_weekly,zero_return,final_2020_2025,0.03669435962507284,0.006044313000208135,0.24839171696300028,0.14944821114407178,0.22482840026042566,-0.45952289452775086,0.013153453445273584,0.3472222222222222,-0.0397143389527283,46.620836098208365,0.7199734571997346
20.0,equal_weekly,zero_return,full_2006_2025,-0.6844989108362798,-0.05615595072949697,0.19917187008136766,-0.18986722666484127,-0.27807224087022936,-0.7956741241707936,-0.07057657026112231,0.3625,-0.03289591561596316,42.70974155069583,0.6769383697813122
50.0,equal_weekly,zero_return,development_2006_2014,-0.8332846219295662,-0.18070868374146887,0.18186316844859088,-1.0039374836771342,-1.4015710320353487,-0.8407560371444107,-0.21493593356193744,0.21296296296296297,-0.03153068851367047,38.595496688741726,0.5920529801324503
50.0,equal_weekly,zero_return,validation_2015_2019,-0.6760913035545701,-0.20213603080993647,0.1668698900046427,-1.2687223096650366,-1.8126111854224196,-0.7173990721056565,-0.2817623254190193,0.31666666666666665,-0.02794947349853138,45.43211446740859,0.7782193958664547
50.0,equal_weekly,zero_return,final_2020_2025,-0.5522659321720844,-0.12573375058559766,0.2502519321687027,-0.41054951960266717,-0.605208747708959,-0.7126171563660548,-0.17643940994456098,0.2777777777777778,-0.040630252373990365,46.620836098208365,0.7199734571997346
50.0,equal_weekly,zero_return,full_2006_2025,-0.9758221092533103,-0.17012969135351497,0.20156300986310505,-0.8232931000920829,-1.1799330861876376,-0.9800256220228916,-0.17359718718613365,0.25833333333333336,-0.0339154966001697,42.70974155069583,0.6769383697813122
0.0,soft_vol_weekly,zero_return,development_2006_2014,-0.06260205811588215,-0.007166752657178699,0.17738622324031803,0.048687436575438794,0.07041690979579139,-0.5455754163311438,-0.01313613561507828,0.3888888888888889,-0.029905368585708553,39.2221808328134,0.5920529801324503
0.0,soft_vol_weekly,zero_return,validation_2015_2019,-0.011964137205263237,-0.0024081794928020317,0.15994574863283634,0.06526145017573902,0.09705099947044915,-0.33096627344332075,-0.0072762081397228584,0.4666666666666667,-0.02599534107977853,46.201560790428736,0.7782193958664547
0.0,soft_vol_weekly,zero_return,final_2020_2025,0.7763200050271524,0.10084163531314694,0.24210057280518033,0.5187585204275219,0.7910611862709112,-0.28098261565245064,0.35888923262739736,0.4166666666666667,-0.03849120091817539,47.27634388219402,0.7199734571997346
0.0,soft_vol_weekly,zero_return,full_2006_2025,0.6451970080487006,0.025256162517689695,0.19529208323914715,0.2259548102131163,0.33550560636687526,-0.5455754163311438,0.046292706309113,0.4166666666666667,-0.03196795979891339,43.38076606185847,0.6769383697813122
10.0,soft_vol_weekly,zero_return,development_2006_2014,-0.3411443883971066,-0.045361566099545336,0.1773850320308861,-0.17242548590073953,-0.24746059896474631,-0.6108358306558836,-0.07426146899542296,0.35185185185185186,-0.030086888433688095,39.2221808328134,0.5920529801324503
10.0,soft_vol_weekly,zero_return,validation_2015_2019,-0.21579242424125755,-0.04752707459749239,0.1603972448364858,-0.22296685533260785,-0.32850394857958565,-0.36403511796000065,-0.13055629045853362,0.43333333333333335,-0.02628974035747382,46.201560790428736,0.7782193958664547
10.0,soft_vol_weekly,zero_return,final_2020_2025,0.3389629168615973,0.05002149927215105,0.24206612309155617,0.3235289187130735,0.4897209307988956,-0.34646369530981513,0.14437731845878043,0.375,-0.03870033102871982,47.27634388219402,0.7199734571997346
10.0,soft_vol_weekly,zero_return,full_2006_2025,-0.30818522664845793,-0.01828916105272549,0.19536874490308975,0.0038205678341096927,0.005628593489977657,-0.6621748389356515,-0.027619836903079283,0.37916666666666665,-0.03218520812038619,43.38076606185847,0.6769383697813122
20.0,soft_vol_weekly,zero_return,development_2006_2014,-0.537137613646386,-0.08213511906159476,0.17764406580653577,-0.39296489221476066,-0.5597342592729158,-0.6713212558766004,-0.12234845588844652,0.3148148148148148,-0.030323528060966567,39.2221808328134,0.5920529801324503
20.0,soft_vol_weekly,zero_return,validation_2015_2019,-0.3777518134693988,-0.09065807298104644,0.16115303933044,-0.5086148571332103,-0.7429308598609499,-0.4711412591037377,-0.19242227512297963,0.4166666666666667,-0.026636217293191634,46.201560790428736,0.7782193958664547
20.0,soft_vol_weekly,zero_return,final_2020_2025,0.00889874751510944,0.00148256142797476,0.24226251656223735,0.12812154195017175,0.192544081287396,-0.4629602872382226,0.003202351192623759,0.3611111111111111,-0.03893467534355902,47.27634388219402,0.7199734571997346
20.0,soft_vol_weekly,zero_return,full_2006_2025,-0.7094217442163813,-0.060039070480976564,0.1957005711648954,-0.21785499278572915,-0.318528688165456,-0.8110768873549887,-0.07402389516580925,0.3541666666666667,-0.032443545055698984,43.38076606185847,0.6769383697813122
50.0,soft_vol_weekly,zero_return,development_2006_2014,-0.8399693738642052,-0.1844304406048275,0.17996563701599966,-1.041723446649041,-1.4517850170542645,-0.846087245946396,-0.2179804050804852,0.21296296296296297,-0.03126201997795671,39.2221808328134,0.5920529801324503
50.0,soft_vol_weekly,zero_return,validation_2015_2019,-0.6896843645709536,-0.20895872815662686,0.16519604602308338,-1.3351984975239644,-1.900651253250339,-0.7285747795692852,-0.2868047783374521,0.31666666666666665,-0.027784588198514485,46.201560790428736,0.7782193958664547
50.0,soft_vol_weekly,zero_return,final_2020_2025,-0.5694042496149048,-0.13142110417649344,0.24422791445208655,-0.45363358531907033,-0.6675390433563596,-0.7165484506876079,-0.1834085385997001,0.2916666666666667,-0.03985360744532932,47.27634388219402,0.7199734571997346
