date,active_members,covered_members,coverage
2014-01-31,396,382,0.9646464646464646
2014-02-28,396,382,0.9646464646464646
2014-03-31,396,382,0.9646464646464646
2014-04-30,398,384,0.964824120603015
2014-05-30,399,385,0.9649122807017544
2014-06-30,399,385,0.9649122807017544
2014-07-31,401,387,0.9650872817955112
2014-08-29,401,387,0.9650872817955112
2014-09-30,403,389,0.9652605459057072
2014-10-31,403,389,0.9652605459057072
2014-11-28,402,388,0.9651741293532339
2014-12-31,405,390,0.9629629629629629
2015-01-30,406,392,0.9655172413793104
2015-02-27,406,392,0.9655172413793104
2015-03-31,407,393,0.9656019656019657
2015-04-30,408,394,0.9656862745098039
2015-05-29,408,394,0.9656862745098039
2015-06-30,409,395,0.9657701711491442
2015-07-31,416,405,0.9735576923076923
2015-08-31,416,405,0.9735576923076923
2015-09-30,418,407,0.9736842105263158
2015-10-30,419,407,0.9713603818615751
2015-11-30,420,408,0.9714285714285714
2015-12-31,422,411,0.9739336492890995
2016-01-29,424,413,0.9740566037735849
2016-02-29,424,414,0.9764150943396226
2016-03-31,426,417,0.9788732394366197
2016-04-29,427,419,0.9812646370023419
2016-05-31,430,424,0.986046511627907
2016-06-30,429,423,0.986013986013986
2016-07-29,431,426,0.988399071925754
2016-08-31,431,426,0.988399071925754
2016-09-30,432,428,0.9907407407407407
2016-10-31,434,429,0.988479262672811
2016-11-30,434,430,0.9907834101382489
2016-12-30,436,432,0.9908256880733946
2017-01-31,437,433,0.9908466819221968
2017-02-28,435,432,0.993103448275862
2017-03-31,438,435,0.9931506849315068
2017-04-28,440,437,0.9931818181818182
2017-05-31,440,437,0.9931818181818182
2017-06-30,443,439,0.9909706546275395
2017-07-31,446,442,0.9910313901345291
2017-08-31,447,443,0.9910514541387024
2017-09-29,447,444,0.9932885906040269
2017-10-31,447,444,0.9932885906040269
2017-11-30,447,444,0.9932885906040269
2017-12-29,450,447,0.9933333333333333
2018-01-31,451,448,0.9933481152993349
2018-02-28,451,448,0.9933481152993349
2018-03-29,451,448,0.9933481152993349
2018-04-30,452,449,0.9933628318584071
2018-05-31,452,449,0.9933628318584071
2018-06-29,451,448,0.9933481152993349
2018-07-31,452,449,0.9933628318584071
2018-08-31,453,450,0.9933774834437086
2018-09-28,453,450,0.9933774834437086
2018-10-31,453,450,0.9933774834437086
2018-11-30,455,451,0.9912087912087912
2018-12-31,454,451,0.9933920704845814
2019-01-31,453,450,0.9933774834437086
2019-02-28,454,451,0.9933920704845814
2019-03-29,455,453,0.9956043956043956
2019-04-30,455,453,0.9956043956043956
2019-05-31,455,453,0.9956043956043956
2019-06-28,456,454,0.9956140350877193
2019-07-31,458,456,0.9956331877729258
2019-08-30,460,458,0.9956521739130435
2019-09-30,461,459,0.9956616052060737
2019-10-31,461,459,0.9956616052060737
2019-11-29,462,460,0.9956709956709957
2019-12-31,465,464,0.9978494623655914
2020-01-31,466,465,0.9978540772532188
2020-02-28,466,465,0.9978540772532188
2020-03-31,467,466,0.9978586723768736
2020-04-30,469,468,0.997867803837953
2020-05-29,469,468,0.997867803837953
2020-06-30,473,472,0.9978858350951374
2020-07-31,473,472,0.9978858350951374
2020-08-31,474,473,0.9978902953586498
2020-09-30,474,473,0.9978902953586498
2020-10-30,477,476,0.9979035639412998
2020-11-30,477,476,0.9979035639412998
2020-12-31,478,477,0.997907949790795
2021-01-29,480,479,0.9979166666666667
2021-02-26,480,479,0.9979166666666667
2021-03-31,479,478,0.9979123173277662
2021-04-30,480,479,0.9979166666666667
2021-05-28,481,480,0.997920997920998
2021-06-30,482,481,0.9979253112033195
2021-07-30,482,481,0.9979253112033195
2021-08-31,484,483,0.9979338842975206
2021-09-30,482,481,0.9979253112033195
2021-10-29,482,481,0.9979253112033195
2021-11-30,482,481,0.9979253112033195
2021-12-31,487,485,0.9958932238193019
2022-01-31,486,484,0.9958847736625515
2022-02-28,489,487,0.9959100204498977
2022-03-31,489,488,0.9979550102249489
2022-04-29,491,490,0.9979633401221996
2022-05-31,491,490,0.9979633401221996
2022-06-30,491,490,0.9979633401221996
2022-07-29,491,490,0.9979633401221996
2022-08-31,491,490,0.9979633401221996
2022-09-30,491,490,0.9979633401221996
2022-10-31,494,493,0.9979757085020243
2022-11-30,494,493,0.9979757085020243
2022-12-30,495,494,0.997979797979798
2023-01-31,495,494,0.997979797979798
2023-02-28,495,494,0.997979797979798
2023-03-31,496,496,1.0
2023-04-28,496,496,1.0
2023-05-31,497,497,1.0
2023-06-30,496,496,1.0
2023-07-31,497,497,1.0
2023-08-31,497,497,1.0
2023-09-29,497,497,1.0
2023-10-31,497,497,1.0
2023-11-30,497,497,1.0
2023-12-29,499,499,1.0
2024-01-31,499,499,1.0
2024-02-29,499,499,1.0
2024-03-28,499,499,1.0
2024-04-30,501,501,1.0
2024-05-31,502,502,1.0
2024-06-28,504,504,1.0
2024-07-31,505,505,1.0
2024-08-30,505,505,1.0
2024-09-30,506,506,1.0
2024-10-31,505,505,1.0
2024-11-29,507,507,1.0
2024-12-31,507,507,1.0
2025-01-31,507,507,1.0
2025-02-28,507,507,1.0
2025-03-31,506,506,1.0
2025-04-30,506,506,1.0
2025-05-30,507,507,1.0
2025-06-30,507,507,1.0
2025-07-31,509,509,1.0
2025-08-29,510,510,1.0
2025-09-30,509,509,1.0
2025-10-31,509,509,1.0
2025-11-28,509,509,1.0
2025-12-31,512,512,1.0
