universe,universe_size,period,baseline_return,candidate_return,return_delta,baseline_drawdown,candidate_drawdown,drawdown_delta,baseline_sharpe,candidate_sharpe,sharpe_delta,baseline_win_rate,candidate_win_rate,win_rate_delta,baseline_trades,candidate_trades,winning_symbols,winning_themes,max_symbol_profit_share,max_theme_profit_share
all_35,35,train_2024_2025,0.06309541511375305,0.1714744581601837,0.10837904304643065,-0.05323371311955594,-0.01906404624243474,0.034169666877121196,0.6447720990262337,2.187268173407402,1.5424960743811686,0.4594594594594595,0.7,0.24054054054054047,37,20,10,9,0.2788058335352093,0.36439727149010787
all_35,35,2026,-0.02181389248624299,0.006146990703419952,0.027960883189662944,-0.03893182794030525,-0.018922207487740872,0.02000962045256438,-0.8631404703910802,0.3193661683334451,1.1825066387245253,0.2222222222222222,0.5,0.2777777777777778,9,4,2,2,0.9314701729970634,0.9314701729970634
all_35,35,full,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222,45,24,10,9,0.25775637256303136,0.3368857734438143
ai_capex_broad,32,train_2024_2025,0.05780279992417836,0.15014111644767514,0.09233831652349678,-0.05890377400457869,-0.024609702212045947,0.03429407179253274,0.6058819996610354,1.8942559443848712,1.2883739447238358,0.43243243243243246,0.65,0.21756756756756757,37,20,9,8,0.24218858114157563,0.33466065245190185
ai_capex_broad,32,2026,-0.02173225639788523,0.006228626791777714,0.027960883189662944,-0.03885162045666857,-0.018842605447387473,0.020009015009281095,-0.8657636619219928,0.3262091840039179,1.1919728459259107,0.25,0.6666666666666666,0.41666666666666663,8,3,2,2,0.9314701729970634,0.9314701729970634
ai_capex_broad,32,full,0.05387871557153878,0.156834391772668,0.10295567620112922,-0.05890377400457869,-0.024609702212045947,0.03429407179253274,0.4529223324079954,1.5494362690026284,1.096513936594633,0.4318181818181818,0.6521739130434783,0.22035573122529645,44,23,9,8,0.2225529366680029,0.30752775642573427
direct_semiconductor_chain,28,train_2024_2025,0.0705791333242829,0.1162462365908441,0.045667103266561204,-0.059061643862767466,-0.03104444138234208,0.028017202480425385,0.7305633047781299,1.4080372171148234,0.6774739123366935,0.47058823529411764,0.6,0.12941176470588234,34,20,8,7,0.26179533303299346,0.3617536241746634
direct_semiconductor_chain,28,2026,-0.002279018116586373,0.015476651739797287,0.01775566985638366,-0.019738807453048346,-0.016000434547757236,0.0037383729052911097,-0.09016951099126672,0.8140652052771281,0.9042347162683948,0.3333333333333333,1.0,0.6666666666666667,6,2,2,2,0.9314701729970634,0.9314701729970634
direct_semiconductor_chain,28,full,0.0861082872529424,0.13172288833064139,0.04561460107769899,-0.059061643862767466,-0.03104444138234208,0.028017202480425385,0.7154724695406466,1.2914841675697781,0.5760116980291315,0.48717948717948717,0.6363636363636364,0.14918414918414918,39,22,8,7,0.23960942385811376,0.33109672530392925
legacy_supergroup_mapped,31,train_2024_2025,0.08027569188876527,0.14332329711239544,0.06304760522363018,-0.058847195562719556,-0.024509719937341967,0.03433747562537759,0.8501703599736253,1.75663018475814,0.9064598247845147,0.5,0.7222222222222222,0.2222222222222222,32,18,9,8,0.2425865756255765,0.3352106085772492
legacy_supergroup_mapped,31,2026,-0.02173225639788523,0.006228626791777714,0.027960883189662944,-0.03885162045666857,-0.018842605447387473,0.020009015009281095,-0.8657636619219928,0.3262091840039179,1.1919728459259107,0.25,0.6666666666666666,0.41666666666666663,8,3,2,2,0.9314701729970634,0.9314701729970634
legacy_supergroup_mapped,31,full,0.07635160753612591,0.15001657243738853,0.07366496490126262,-0.058847195562719556,-0.024509719937341967,0.03433747562537759,0.6438586552728461,1.447778998013013,0.8039203427401668,0.48717948717948717,0.7142857142857143,0.22710622710622713,39,21,9,8,0.2228889670355376,0.30799208939103234
