rsr_entries_reserved,required_immediate_cash,max_sweep_shares,sweep_notional,remaining_cash,sweep_pct_cash
1,461.14160000000004,32,3217.92,537.5699999999997,0.8566294599479835
2,922.2832000000001,28,2815.6800000000003,939.8099999999995,0.7495507774544855
3,1383.4248000000002,23,2312.88,1442.6099999999997,0.6157024243376131
