gap_bucket,trades,win_rate,average_return,net_pnl,max_gap
<=0%,9,0.8888888888888888,0.14607484717209543,694.1854477858878,-0.0004075903380489354
0-3%,13,0.5384615384615384,0.06692139825170423,396.8164220928488,0.02283425828273744
3-5%,2,0.5,0.001484115697372279,-22.233588252848335,0.04570223487575298
5-10%,0,,,0.0,
>10%,0,,,0.0,
