date,symbol,close,daily_return,week_return_from_aug7,rs20,volume_ratio,extension,atr_pct,close_location,strict_signal,pre_smh_signal,failure_count,failure_reasons,broad_healthy,above_ma20,above_ma50,breakout_20d,rs20_ge_3pct,volume_ge_1_2x,extension_le_12pct,atr_le_4pct,close_location_ge_50pct,event_gap_clear,smh_healthy
2026-08-10,DRAM,49.599998474121094,-0.01976284644576498,-0.01976284644576498,-0.10670036553360396,0.3492882591734705,-0.0676954873260257,0.085282262446038,0.24293796269356352,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,MU,861.0,-0.018881692840371778,-0.018881692840371778,-0.053429821970835234,0.6099726781198346,-0.026529617494093993,0.09197029910001349,0.162601161458349,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,WDC,438.3399963378906,0.009302345518019672,0.009302345518019672,-0.18329999573326983,0.8710689333227729,-0.13304978786178379,0.11747078102346047,0.49293742389465406,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,STX,800.989990234375,-0.014481543616601034,-0.014481543616601034,-0.04165039277575733,0.7117072368766244,-0.036373450750783354,0.09784588490326017,0.36650320993991997,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,SNDK,1237.9200439453125,0.02120926558624281,0.02120926558624281,-0.23280839670381637,0.6375539192830898,-0.09723570301118922,0.13728390901880783,0.5181430964621286,False,False,7,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct,True,False,False,False,False,False,False,False,True,True,False
2026-08-10,SKHY,135.2899932861328,-0.018997971912144918,-0.018997971912144918,-0.08429897205586057,0.3843044440544644,-0.1119003491645012,0.09817534742656256,0.2104153884789858,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,MRVL,208.55999755859375,-0.0464521013414646,-0.0464521013414646,-0.01355559414914087,0.8737043902514301,0.04745330019789873,0.0853471527148608,0.0023160270912268724,False,False,6,above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;atr_le_4pct;close_location_ge_50pct,True,True,False,False,False,False,True,False,False,True,False
2026-08-10,AVGO,422.3999938964844,-0.012530427685555345,-0.012530427685555345,0.12753691186964256,0.7268796082202806,0.07269377756252582,0.038389463483980195,0.17820118768421,False,False,3,breakout_20d;volume_ge_1_2x;close_location_ge_50pct,True,True,True,False,True,False,True,True,False,True,False
2026-08-10,ALAB,317.2300109863281,-0.05069276643839138,-0.05069276643839138,-0.09611489272156604,0.6743842996408415,0.006832486567996954,0.11261995833680971,0.017162936158672776,False,False,6,above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;atr_le_4pct;close_location_ge_50pct,True,True,False,False,False,False,True,False,False,True,False
2026-08-10,COHR,325.1499938964844,-0.14237863078922786,-0.14237863078922786,0.08545679873144651,1.8020072533464135,0.10176265541622898,0.11160562983325445,0.0024389251460873985,False,False,4,above_ma50;breakout_20d;atr_le_4pct;close_location_ge_50pct,True,True,False,False,True,True,True,False,False,True,False
2026-08-10,LITE,813.510009765625,-0.08611835336652596,-0.08611835336652596,0.08673104898416484,1.3481575909705201,0.0560902457301633,0.10449630372340633,0.020814337733536987,False,False,4,above_ma50;breakout_20d;atr_le_4pct;close_location_ge_50pct,True,True,False,False,True,True,True,False,False,True,False
2026-08-10,AAOI,132.80999755859375,-0.02079191346085474,-0.02079191346085474,0.2147555486121957,1.6914252606654778,0.2116981947897374,0.11925252596342906,0.19950230514099962,False,False,6,above_ma50;breakout_20d;extension_le_12pct;atr_le_4pct;close_location_ge_50pct;event_gap_clear,True,True,False,False,True,True,False,False,False,False,False
2026-08-10,MXL,68.44000244140625,-0.08722326784108592,-0.08722326784108592,-0.2059145203892978,0.7287352226560374,-0.07141447845874016,0.12925817119782312,0.007874693748003793,False,False,8,above_ma20;above_ma50;breakout_20d;rs20_ge_3pct;volume_ge_1_2x;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,False,False,False,False,False,False,False,False,True,False
2026-08-10,AXTI,73.80999755859375,-0.16674197298653493,-0.16674197298653493,0.4904228480268704,1.5891693104830131,0.29948323828743306,0.15012484021197098,0.03379920371510696,False,False,4,breakout_20d;extension_le_12pct;atr_le_4pct;close_location_ge_50pct,True,True,True,False,True,True,False,False,False,True,False
2026-08-10,CRDO,239.93499755859375,-0.03983753593729078,-0.03983753593729078,0.04057689753410609,0.7638893186151832,0.0969648036911932,0.09263164225598358,0.00622969115744353,False,False,4,breakout_20d;volume_ge_1_2x;atr_le_4pct;close_location_ge_50pct,True,True,True,False,True,False,True,False,False,True,False
2026-08-10,SMCI,31.459999084472656,0.01060070454874773,0.01060070454874773,0.1650625783054256,1.285145290895545,0.10911331685370196,0.0810553124190728,0.01530550679055356,False,False,4,above_ma50;breakout_20d;atr_le_4pct;close_location_ge_50pct,True,True,False,False,True,True,True,False,False,True,False
2026-08-10,ORCL,151.0500030517578,0.027411227466898946,0.027411227466898946,0.1760000878249024,0.645469259343643,0.15795930913380896,0.04707524657335313,0.8249533286543592,False,False,4,above_ma50;volume_ge_1_2x;extension_le_12pct;atr_le_4pct,True,True,False,True,True,False,False,False,True,True,False
