overlay,trigger,floor,period,filter,slippage,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,lock_activations,profit_lock_exits
frozen,,0.0,train_2024_2025,matched_baseline,0.001,6346.81679954507,0.05780279992417836,0.02855486768014659,-0.05890377400457869,0.048500195643707555,0.6058819996610354,0.5185873394742658,37,0.43243243243243246,0.13992421594745136,-0.06702168408387987,1.5531013229039556,0,,,0.0647529798630361,5.465259813279754,106.79201248849054,0,0
frozen,,0.0,train_2024_2025,risk_filter,0.001,6900.84669868605,0.15014111644767514,0.0726006747488881,-0.024609702212045947,0.03744336530924216,1.8942559443848712,2.327978545425083,20,0.65,0.18095736422791486,-0.06043230097047732,5.916269252095685,0,,,0.050845525855629216,3.227790346343301,59.36770229246081,0,0
frozen,,0.0,2026,matched_baseline,0.001,5869.606461612689,-0.02173225639788523,-0.036307118531190286,-0.03885162045666857,0.04162773682947507,-0.8657636619219928,-0.6001920918063651,8,0.25,0.10536666948789804,-0.08632980472170128,0.41593942188600114,0,,,0.03391292894852786,1.1403927415016886,22.842248897720644,0,0
frozen,,0.0,2026,risk_filter,0.001,6037.371760750666,0.006228626791777714,0.010506189595704818,-0.018842605447387473,0.03372706005366588,0.3262091840039179,0.187167045308568,3,0.6666666666666666,0.10536666948789804,-0.0838189107801222,1.6735088655995964,0,,,0.026182136884534093,0.511607664666537,9.069692429452402,0,0
frozen,,0.0,full,matched_baseline,0.001,6323.272293429233,0.05387871557153878,0.020424517814296772,-0.05890377400457869,0.047246934018939764,0.4529223324079954,0.3804243861111026,44,0.4318181818181818,0.1410968089826501,-0.07453783802790516,1.3919027769343122,0,,,0.0582994037037227,6.464568995784464,126.78786403486421,0,0
frozen,,0.0,full,risk_filter,0.001,6941.006350636008,0.156834391772668,0.05773634866032973,-0.024609702212045947,0.0367800755903497,1.5494362690026284,1.467638007502571,23,0.6521739130434783,0.17096035613448057,-0.06335562719668293,4.941783798055066,0,,,0.04497419162797737,3.785434511480531,68.71361678885064,0,0
frozen,,0.0,full,matched_baseline,0.002,6288.344542402127,0.04805742373368793,0.018249161495046407,-0.060351355675906326,0.04734571118757501,0.4068562926754143,0.3416575374837236,44,0.4318181818181818,0.13880801120223413,-0.0759323700587191,1.3428696970295861,0,,,0.0583690074516854,6.456651273752838,165.481630589726,0,0
frozen,,0.0,full,risk_filter,0.002,6806.778814272607,0.1344631357121011,0.04980806359915202,-0.024743203680815506,0.03758832736736836,1.3160891365863532,1.173458217843882,24,0.625,0.16852921817391947,-0.08435038342387578,3.2956486589198017,0,,,0.04484798300596927,3.8674547311501994,94.41306154130564,0,0
lock_12_to_0,0.12,0.0,train_2024_2025,matched_baseline,0.001,6380.071672140705,0.06334527869011763,0.03125150713515312,-0.05299115346868055,0.04928007439202736,0.6503202006167919,0.536789635092774,37,0.43243243243243246,0.13992720068227693,-0.0631761239471635,1.6383433249767445,0,,,0.06447794004477117,5.504532655270836,107.02768303098017,11,1
lock_12_to_0,0.12,0.0,train_2024_2025,risk_filter,0.001,7006.608054200607,0.16776800903343436,0.08080559364229734,-0.019123397636985007,0.03791353979779047,2.0726683482574795,2.5476784271724147,20,0.65,0.1810881164714192,-0.04903888847441683,7.948512034124015,0,,,0.050896087320346256,3.293939317051948,59.76470227506817,11,1
