date,spy_above_ma200,qqq_above_ma100,vix_below_25,vix_term_ratio_below_1,broad_gate,smh_close,smh_ma50,smh_gate,stock_level_baseline_before_market_gates,baseline_with_broad_without_smh,strict_pre_quality,final_rsr1,first_zero_step,binding_symbol_count,binding_symbols
2026-08-17,True,True,True,True,True,594.0700073242188,590.8197991943359,True,0,0,0,0,extension_0_to_12pct,1,['AXTI']
2026-08-18,True,True,True,True,True,569.77001953125,590.8213995361328,False,0,0,0,0,smh_ma50,32,"['AAOI', 'ALAB', 'AMAT', 'AMD', 'ASML', 'AVGO', 'AXTI', 'CEG', 'COHR', 'CRDO', 'DRAM', 'GLW', 'INTC', 'KLAC', 'LITE', 'LRCX', 'META', 'MRVL', 'MU', 'MXL', 'NOK', 'NVDA', 'ORCL', 'QCOM', 'SKHY', 'SMCI', 'SNDK', 'STX', 'TER', 'TSLA', 'TTMI', 'WDC']"
2026-08-19,True,True,True,True,True,560.9199829101562,590.0765997314453,False,0,0,0,0,smh_ma50,32,"['AAOI', 'ALAB', 'AMAT', 'AMD', 'ASML', 'AVGO', 'AXTI', 'CEG', 'COHR', 'CRDO', 'DRAM', 'GLW', 'INTC', 'KLAC', 'LITE', 'LRCX', 'META', 'MRVL', 'MU', 'MXL', 'NOK', 'NVDA', 'ORCL', 'QCOM', 'SKHY', 'SMCI', 'SNDK', 'STX', 'TER', 'TSLA', 'TTMI', 'WDC']"
2026-08-20,True,True,True,True,True,562.6500244140625,589.509400024414,False,0,0,0,0,smh_ma50,32,"['AAOI', 'ALAB', 'AMAT', 'AMD', 'ASML', 'AVGO', 'AXTI', 'CEG', 'COHR', 'CRDO', 'DRAM', 'GLW', 'INTC', 'KLAC', 'LITE', 'LRCX', 'META', 'MRVL', 'MU', 'MXL', 'NOK', 'NVDA', 'ORCL', 'QCOM', 'SKHY', 'SMCI', 'SNDK', 'STX', 'TER', 'TSLA', 'TTMI', 'WDC']"
