group,source_variant,filter_reason,symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,exit_date,exit_price,exit_reason,pnl,return
common,matched_baseline,,TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286
common,matched_baseline,,NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675
common,matched_baseline,,MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263
common,matched_baseline,,LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154
common,matched_baseline,,COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104
common,matched_baseline,,TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676
baseline_only,matched_baseline,atr_pct,MU,2024-12-16,2024-12-17,109.2960658270808,4,normal,True,0.06830033600829255,2.5170384111420283,2024-12-19,89.52818884476821,stop,-81.07150792925034,-0.18501693172902775
baseline_only,matched_baseline,close_location,NOK,2025-01-07,2025-01-08,4.491866020520948,108,normal,True,0.06561093614383706,1.2942156706464853,2025-01-13,4.307853710055656,signal,-21.873329530251624,-0.04499559918796595
baseline_only,matched_baseline,close_location,KLAC,2025-01-15,2025-01-16,72.76242133160433,6,normal,True,0.08422887192983652,1.2368254542167585,2025-02-18,74.89336463070873,signal,10.78565979462644,0.024648737768579957
baseline_only,matched_baseline,atr_pct,MXL,2025-01-15,2025-01-16,22.662639389038088,21,normal,True,0.06746323668845777,1.763862884283954,2025-01-27,20.828778609677126,stop,-40.5110763665802,-0.08494394196260029
baseline_only,matched_baseline,atr_pct,CRDO,2025-01-17,2025-01-21,83.83375,5,normal,True,0.10818130964419748,1.7547333015584623,2025-01-21,77.04992295,stop,-35.91913525000001,-0.0854874029779702
baseline_only,matched_baseline,atr_pct,AXTI,2025-01-21,2025-01-22,2.462460038185119,197,normal,True,0.03015924337733189,1.468868492859421,2025-01-22,2.2631977718951797,stop,-41.254666459118084,-0.08486787436972348
baseline_only,matched_baseline,close_location,LRCX,2025-01-22,2025-01-23,79.94504153295502,6,normal,True,0.04564553525296833,1.3089619232666145,2025-01-27,73.47588877210829,stop,-40.81491656508035,-0.08491250838428861
common,matched_baseline,,KO,2025-02-11,2025-02-12,64.16035428141562,7,normal,True,0.07513403853430178,1.9818299910429533,2025-03-13,67.26872215531374,signal,19.758575117286796,0.04389599719304767
