variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
abs_30,zero_return,development_2006_2014,-0.24599521442516203,-0.030926196261025884,0.14296687039287784,-0.14803057074693632,-0.21687269358695588,-0.4942972540495064,-0.06256598839597936,0.35185185185185186,-0.023741957975191567,38.62145695364239,0.5898454746136865
abs_30,zero_return,validation_2015_2019,-0.43483279826413146,-0.10801697193217097,0.14755556303580172,-0.7002703902817031,-0.9954857404879309,-0.534611387045473,-0.2020476453543689,0.4,-0.024998293610048378,46.0731319554849,0.7782193958664547
abs_30,zero_return,final_2020_2025,0.13016379634564346,0.02067219597426706,0.17574040123728726,0.20480508267152853,0.30206353834909694,-0.2582068963619585,0.08006058810020493,0.3472222222222222,-0.029130186166849842,48.293032514930324,0.7166556071665561
abs_30,zero_return,full_2006_2025,-0.5183933845485312,-0.03594218242909197,0.15463787143385208,-0.15900951939206576,-0.23164307662254707,-0.705672707333167,-0.05093321883585715,0.3625,-0.025795934864611916,43.3827435387674,0.6749502982107356
abs_35,zero_return,development_2006_2014,-0.1723464253611805,-0.02082576775369549,0.15484094538134785,-0.05817960691718435,-0.08461198256418581,-0.477860258403771,-0.04358129262153169,0.3333333333333333,-0.026251765974776287,38.30993377483445,0.5920529801324503
abs_35,zero_return,validation_2015_2019,-0.3482286973007779,-0.08217488850205246,0.15035662974856526,-0.4945876056835264,-0.7131403076681931,-0.46292485658012117,-0.1775123701698009,0.38333333333333336,-0.02543569588134243,44.951351351351356,0.7782193958664547
abs_35,zero_return,final_2020_2025,-0.0337488221584229,-0.0057244470106657674,0.19025276272615774,0.06542695009105588,0.09716580804788384,-0.41697210281997354,-0.01372860911305925,0.375,-0.03144562502951159,47.89170537491706,0.7199734571997346
abs_35,zero_return,full_2006_2025,-0.478764644735885,-0.0321154320905791,0.16522435535554134,-0.1145456144026166,-0.16741819808613775,-0.6912679769311535,-0.04645872970009953,0.35833333333333334,-0.0278270946855427,42.841669980119285,0.6769383697813122
abs_40,zero_return,development_2006_2014,-0.12078675482047951,-0.014219962136652109,0.1607794732672867,-0.008318346279275895,-0.012069692750816922,-0.46491400172357733,-0.030586220427722962,0.35185185185185186,-0.027025352386797253,37.894569536423845,0.5920529801324503
abs_40,zero_return,validation_2015_2019,-0.2577118244017661,-0.057951298932682804,0.1560115946803701,-0.30420614629931775,-0.4477157041177607,-0.36549957596095395,-0.15855366939980717,0.4166666666666667,-0.025670115091185393,44.95135135135135,0.7782193958664547
abs_40,zero_return,final_2020_2025,-0.07931852026456576,-0.013724175412278328,0.19746692863998533,0.02922913558724159,0.04382588799881228,-0.44771687690655093,-0.03065369236715838,0.3888888888888889,-0.032104282660890306,47.95859323158594,0.7199734571997346
abs_40,zero_return,full_2006_2025,-0.3991360180877458,-0.02519708740286919,0.17149875390031635,-0.06263972831298405,-0.0921886915980885,-0.6342665984905929,-0.039726335050328056,0.37916666666666665,-0.028504220326478227,42.67467196819086,0.6769383697813122
abs_45,zero_return,development_2006_2014,-0.31504191725097364,-0.04122597639345915,0.16592170737009368,-0.17033513893144767,-0.24463499420861828,-0.5714894094414338,-0.07213777843014252,0.3148148148148148,-0.02826160202333512,38.41748344370861,0.5920529801324503
abs_45,zero_return,validation_2015_2019,-0.2485645788459756,-0.05563720149216855,0.1575128461637028,-0.2842226496484013,-0.41784548033562835,-0.36466910250895646,-0.15256900326728962,0.4,-0.02603107363687126,45.111605723370424,0.7782193958664547
abs_45,zero_return,final_2020_2025,0.11456167616579771,0.018302316455018897,0.20440281967948878,0.1914051162594815,0.28939640845507564,-0.3973799788985055,0.04605746999572285,0.4166666666666667,-0.03327532392371626,47.02216323822163,0.7199734571997346
