symbol,week_end_close,week_return,prior_close,any_strict_signal
SNDK,1641.1099853515625,0.3538166144768844,1212.2099609375,False
SMCI,39.84000015258789,0.2797944499400622,31.1299991607666,False
SKHY,166.3300018310547,0.20607640790567006,137.91000366210938,False
STX,973.4400024414062,0.19769672565720398,812.760009765625,False
WDC,508.79998779296875,0.17154041467648917,434.29998779296875,False
NOK,10.760000228881836,0.14957271619191315,9.359999656677246,False
DRAM,57.31999969482422,0.1328063522401095,50.599998474121094,False
MXL,84.83999633789062,0.13150163429600936,74.9800033569336,False
AAOI,150.27999877929688,0.10801440219029934,135.6300048828125,False
MU,971.6599731445312,0.10721647849748228,877.5700073242188,False
TER,418.7900085449219,0.10408376061912117,379.30999755859375,False
LRCX,332.3599853515625,0.06748025963121917,311.3500061035156,False
AMD,514.3900146484375,0.0641965206828321,483.3599853515625,False
ASML,1844.0799560546875,0.05921341673333469,1740.989990234375,False
CEG,282.5,0.046722682082138034,269.8900146484375,False
TSLA,342.2699890136719,0.041664139633761144,328.5799865722656,False
LITE,926.1400146484375,0.04040804838272294,890.1699829101562,False
CRDO,259.8999938964844,0.04005760347066767,249.88999938964844,False
KLAC,203.72000122070312,0.0283176043262221,198.11000061035156,False
ORCL,150.52000427246094,0.023806284167382508,147.02000427246094,False
TTMI,140.0,0.020333744986624547,137.2100067138672,False
MRVL,222.02000427246094,0.015087797336046593,218.72000122070312,False
INTC,102.5,0.008362011425102622,101.6500015258789,False
KO,87.70999908447266,0.007581803671189213,87.05000305175781,False
NVDA,225.16000366210938,0.005358085873677032,223.9600067138672,False
GLW,165.99000549316406,0.0018711542195049002,165.67999267578125,False
RDW,13.579999923706055,-0.0007358520065896546,13.59000015258789,False
META,589.8499755859375,-0.0038000339347648016,592.0999755859375,False
QCOM,165.7899932861328,-0.01233174858031727,167.86000061035156,False
RKLB,80.25,-0.031148156151402984,82.83000183105469,False
ALAB,321.6099853515625,-0.03758574250076463,334.1700134277344,False
AMAT,507.17999267578125,-0.05927963257095048,539.1400146484375,False
AXTI,81.63999938964844,-0.07834728265915658,88.58000183105469,False
AVGO,392.989990234375,-0.08128394131630234,427.760009765625,False
COHR,325.8299865722656,-0.14058507009230692,379.1300048828125,False
