period,variant,total_return,max_drawdown,sharpe,turnover,trades
train_2025,current_1m,0.06948747341826023,-0.07460731565797507,0.794539826076694,2.0274113249796377,8
train_2025,confirm_2m_both,0.03775893681431075,-0.10538821451115521,0.4188092906121836,2.03154966560078,10
train_2025,confirm_2m_exit,0.0722073300315722,-0.10538821451115521,0.7250218732948807,2.03154966560078,10
train_2025,confirm_2m_entry,0.035126465063502144,-0.07460731565797507,0.4438270224412254,2.0274113249796373,8
train_2025,ma200_only,0.06948747341826023,-0.07460731565797507,0.794539826076694,2.0274113249796377,8
test_2026,current_1m,0.014125059867406087,-0.0725826187394375,0.25993734206838687,2.040421716136258,6
test_2026,confirm_2m_both,0.059895208385712495,-0.0725826187394375,0.8825301537502523,1.352408753546952,6
test_2026,confirm_2m_exit,0.059895208385712495,-0.0725826187394375,0.8825301537502523,1.352408753546952,6
test_2026,confirm_2m_entry,-0.03746703728782663,-0.09559411812549878,-0.5306455778245432,2.040421716136258,6
test_2026,ma200_only,0.014125059867406087,-0.0725826187394375,0.25993734206838687,2.040421716136258,6
