variant,null,null_rate,planning_true_rate,power_at_20,critical_wins_at_20,minimum_n_for_80pct_power,power_at_minimum_n,critical_wins_at_minimum_n
RSR1-shadow,candidate_breakeven,0.2703893956162816,0.6521739130434783,0.9490916444384812,10,11,0.8549622676177131,6
RSR1-shadow,matched_baseline_rate,0.4318181818181818,0.6521739130434783,0.6090301156784704,13,32,0.8115481364261573,19
RSR1-shadow,majority_50pct,0.5,0.6521739130434783,0.25182717008996824,15,69,0.8125685080608384,42
RSR2-profit-lock-shadow,candidate_breakeven,0.2676234800597734,0.6956521739130435,0.9808541197676265,10,10,0.8421737750342146,6
RSR2-profit-lock-shadow,matched_baseline_rate,0.4318181818181818,0.6956521739130435,0.7588326411305784,13,22,0.8009536793409658,14
RSR2-profit-lock-shadow,majority_50pct,0.5,0.6956521739130435,0.399831096340649,15,42,0.8199629891849972,27
