symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,entry_gap,exit_date,exit_price,exit_reason,pnl,return,signal_timestamp,year,quarter,smh_ma50_buffer,smh_buffer_bucket,vix,vix_bucket
TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,0.006954858561044164,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286,2024-10-16,2024,2024Q4,0.031577124739267326,3-7%,19.58,15-20
NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,8.666088580078224e-08,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675,2024-10-18,2024,2024Q4,0.04324798606487312,3-7%,18.03,15-20
MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,0.01202702133532374,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263,2024-11-06,2024,2024Q4,0.04795561384090141,3-7%,16.27,15-20
LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,0.015284124711181235,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154,2024-11-06,2024,2024Q4,0.04795561384090141,3-7%,16.27,15-20
COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,-0.0067610587885121864,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104,2024-11-07,2024,2024Q4,0.07172093296388149,>7%,15.2,15-20
TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,0.038143111228213566,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676,2024-12-13,2024,2024Q4,0.002819299554869037,0-3%,13.81,<15
META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,-0.03224775320573425,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753,2025-01-24,2025,2025Q1,0.05470958571942397,3-7%,14.85,<15
INTC,2025-02-12,2025-02-13,22.862840152740475,21,normal,True,0.15832514102223438,2.0477640622514173,0.016014262352415987,2025-03-04,21.012779127580714,stop,-40.851281528355,-0.0849087791469204,2025-02-12,2025,2025Q1,0.0018861930739311195,0-3%,15.89,15-20
MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,0.0012713738545049313,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667,2025-06-03,2025,2025Q2,0.13582304239497156,>7%,17.69,15-20
WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,0.01562220111287016,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645,2025-06-05,2025,2025Q2,0.14281918503936786,>7%,18.48,15-20
KLAC,2025-06-09,2025-06-10,82.48033538898751,6,normal,True,0.03529567925839605,1.3094071376298344,4.2374546094237076e-08,2025-07-11,91.86536976047829,signal,54.310206228944594,0.10952243654357904,2025-06-09,2025,2025Q2,0.16117326204711024,>7%,17.16,15-20
LITE,2025-07-15,2025-07-16,98.1980984725952,5,normal,True,0.05851907338361295,1.6159170396458533,-0.0004075903380489354,2025-08-14,117.19268756103517,signal,92.97294544219983,0.18897305310852863,2025-07-15,2025,2025Q3,0.13549836780393343,>7%,17.38,15-20
WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,-0.0017311720198082137,2025-08-22,74.50330922145352,signal,35.949271361793535,0.07418738786205725,2025-07-23,2025,2025Q3,0.08390803405524228,>7%,15.37,15-20
CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,0.012193366427526664,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014,2025-07-30,2025,2025Q3,0.10113450395738033,>7%,15.48,15-20
GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,-0.004224266504745833,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754,2025-08-28,2025,2025Q3,0.04104474687623516,3-7%,14.43,<15
NOK,2025-09-04,2025-09-05,4.54453996181488,114,normal,True,0.10520080259704767,2.853243812887454,-0.013043466092057199,2025-09-30,4.705290038108826,signal,16.325508697509918,0.03145100095334383,2025-09-04,2025,2025Q3,0.002868120918005701,0-3%,15.3,15-20
MU,2025-09-05,2025-09-08,130.47115444503285,3,normal,True,0.16688975317568056,1.5987176951819895,-0.006241799689386984,2025-10-07,194.4649377694192,signal,189.98134997315913,0.48413565721858526,2025-09-05,2025,2025Q3,0.013432991232064095,0-3%,15.18,15-20
NOK,2025-10-10,2025-10-13,5.2752699809074395,102,normal,True,0.1105289202279982,1.4798952658858116,-0.00939853178975536,2025-11-11,6.8931000952720645,signal,163.01867166519173,0.3024030128469159,2025-10-10,2025,2025Q4,0.060813353654331825,3-7%,21.66,20-25
AVGO,2025-10-29,2025-10-30,384.63087940227877,1,normal,True,0.0530952160516287,1.2043002456801046,0.0010881233560695591,2025-11-04,353.50654864104644,stop,-33.12433076123233,-0.08589646869715016,2025-10-29,2025,2025Q4,0.1489082981732126,>7%,16.92,15-20
TSLA,2025-12-12,2025-12-15,469.90944244384764,1,normal,True,0.11474936654233336,1.2301213960546282,0.02283425828273744,2025-12-30,460.62890634155275,signal,-11.280536102294889,-0.02395478851252809,2025-12-12,2025,2025Q4,0.012007386662457709,0-3%,15.74,15-20
KLAC,2026-01-05,2026-01-06,136.7155558124338,4,normal,True,0.07203422635182255,1.639138641895584,0.012466286440871777,2026-02-02,139.50344701172645,signal,9.151564797170636,0.016704135472029116,2026-01-05,2026,2026Q1,0.06519457014896024,3-7%,14.9,<15
TER,2026-01-05,2026-01-06,220.99503965232648,2,normal,True,0.05760035713094691,1.5546998405846684,0.006605897140861572,2026-02-05,265.2431580727787,signal,86.49623684090449,0.19525547158228646,2026-01-05,2026,2026Q1,0.06519457014896024,3-7%,14.9,<15
META,2026-07-09,2026-07-10,661.0003668823241,1,normal,True,0.05292065914532196,1.4259067324157644,0.04570223487575298,2026-07-23,607.5122171942064,stop,-55.48814968811769,-0.0838189107801222,2026-07-09,2026,2026Q3,0.03389409781498531,3-7%,15.84,15-20
