period,variant,horizon,events,mean_return,median_return,win_rate,mean_excess_qqq,mean_mae,mean_mfe,mfe_mae_ratio
development_2024_2025,hv_relaxed,5,44,0.01324511570202168,0.012098305244826357,0.5454545454545454,0.010847671717332107,-0.07550302494345162,0.08751707847355905,1.1591201615975706
development_2024_2025,hv_relaxed,10,44,0.029675466662950203,0.016206182101984545,0.5227272727272727,0.028959508943635918,-0.1061611835598718,0.14243138236297312,1.341652170660343
development_2024_2025,hv_relaxed,20,44,0.10005532137071095,0.04014091156593458,0.6590909090909091,0.08408223188390408,-0.12830480849587964,0.22634653454427509,1.7641313462662933
development_2024_2025,hv_central,5,23,0.014171773962286792,-0.011437102912064678,0.4782608695652174,0.011958070169141338,-0.08658054650032733,0.10454340941724462,1.2074699645935982
development_2024_2025,hv_central,10,23,0.01706581337795444,-0.026081408111757187,0.4782608695652174,0.018134326440259817,-0.11439610772033867,0.16263497306100047,1.421682750418311
development_2024_2025,hv_central,20,23,0.0541193922343889,0.0067956046215083,0.6086956521739131,0.04274624338828864,-0.14354211672560593,0.21288811774266514,1.4831056041177135
development_2024_2025,hv_strict,5,6,0.014302300813064791,0.024149980831095597,0.5,0.007063899628497554,-0.06745186722825113,0.06498099090600824,0.9633683035951895
development_2024_2025,hv_strict,10,6,-0.032717344402392934,-0.056103004191156214,0.3333333333333333,-0.049114295543109344,-0.11069322845119262,0.11033142126012212,0.9967314424185394
development_2024_2025,hv_strict,20,6,-0.01665132459310324,-0.01816840998698266,0.5,-0.04647487272104158,-0.1562095475463685,0.13814202788200713,0.8843379297350675
development_2024_2025,rsr1_low_vol_comparator,5,33,0.02050242256613755,0.015587919669288741,0.6666666666666666,0.01900948842344066,-0.037460817182085396,0.06509368341121628,1.7376471819826063
development_2024_2025,rsr1_low_vol_comparator,10,33,0.031894218017227104,0.021339336323155766,0.6060606060606061,0.03484265056134698,-0.04954273604168586,0.09749085577915849,1.967813317720856
development_2024_2025,rsr1_low_vol_comparator,20,33,0.07880881180696273,0.06413103147900645,0.7272727272727273,0.07220752664750875,-0.07184662594931239,0.15841933853296122,2.204965597754384
retrospective_2026,hv_relaxed,5,39,0.018620692226672352,0.0019266353811866477,0.5128205128205128,0.015792217296557172,-0.0813787296196992,0.1079637448961175,1.3266826036810349
retrospective_2026,hv_relaxed,10,39,0.07635777135963528,0.051725873437235004,0.6410256410256411,0.07101207339065645,-0.11272966915980111,0.2053827658044019,1.8219051589094921
retrospective_2026,hv_relaxed,20,39,0.1286354776934758,0.02153620196263839,0.5128205128205128,0.11938944915606925,-0.16467018270665063,0.3595572557489715,2.1834994644385604
retrospective_2026,hv_central,5,18,0.019866478790139714,0.042420396158832974,0.6666666666666666,0.00767438586717345,-0.07455831342397652,0.10728405536076661,1.4389281413957806
retrospective_2026,hv_central,10,18,0.04843291856572489,0.04145679107213451,0.6111111111111112,0.03679379540067466,-0.10542595218147827,0.1763213876872585,1.6724666369030479
retrospective_2026,hv_central,20,18,0.0429104638966166,0.0037862956951938975,0.5,0.031323689290005875,-0.1490490443489403,0.2748636665364843,1.8441155911942517
retrospective_2026,hv_strict,5,2,-0.07812148841107958,-0.07812148841107958,0.0,-0.03250539828696114,-0.10894547720657433,0.059849989446835616,0.5493572655003613
retrospective_2026,hv_strict,10,2,-0.09402324366169007,-0.09402324366169007,0.5,-0.07043486477003358,-0.18299289163381371,0.12848982094139338,0.7021574433531211
retrospective_2026,hv_strict,20,2,-0.3177311860482255,-0.3177311860482255,0.0,-0.2785095511356238,-0.34546949078326805,0.12848982094139338,0.37192812786470364
retrospective_2026,rsr1_low_vol_comparator,5,3,0.019551801877582504,0.013404568351658819,1.0,0.01783026652314923,-0.033834722544530016,0.040414719592067515,1.1944746861416564
retrospective_2026,rsr1_low_vol_comparator,10,3,0.003631939343043141,0.011688149702982376,0.6666666666666666,0.028950224787030354,-0.059971882565739154,0.09062773160460018,1.511170363966099
retrospective_2026,rsr1_low_vol_comparator,20,3,0.052564098607658795,-0.012034041725566658,0.3333333333333333,0.05827987847395496,-0.09664860475465835,0.18882295996185272,1.9537060099437356
