target_weight,trades_10bps,trades_20bps,only_10bps,only_20bps,jaccard,path_stable,rerun_10bps_return,rerun_20bps_return,fixed_path_20bps_return,fixed_path_cost_delta,only_10bps_keys,only_20bps_keys
0.04,22,23,0,1,0.9565217391304348,False,0.03984941220928806,0.027590484710598107,0.037664245588569845,-0.002185166620718215,,2025-08-07|COHR
0.06,25,26,0,1,0.9615384615384616,False,0.0999738513460624,0.08265243869715655,0.09690489745130426,-0.003068953894758142,,2025-08-07|COHR
0.08,24,25,0,1,0.96,False,0.17812804693764828,0.14456638615804174,0.1741045109693029,-0.004023535968345371,,2025-08-07|COHR
0.1,20,20,0,0,1.0,True,0.1822422048688508,0.17816737955909812,0.1780604035207798,-0.0041818013480710015,,
0.12,20,19,1,0,0.95,False,0.21758154559038534,0.22016334894514245,0.2124587706828931,-0.005122774907492245,2025-12-01|ASML,
0.15,14,14,0,0,1.0,True,0.15652369305638492,0.15204865915955534,0.152268093121676,-0.00425559993470892,,
