variant,candidate_rate,baseline_rate,power_at_equal_n_20,minimum_equal_n_for_80pct_power,power_at_minimum_equal_n
RSR1-shadow,0.6521739130434783,0.4318181818181818,0.37585201156749043,59,0.8035962251962677
RSR2-profit-lock-shadow,0.6956521739130435,0.4318181818181818,0.49378880128227914,43,0.8080707259655621
