date,version,source_complete,rsr1_signal_symbols,high_vol_central_symbols,realized_5d_leaders,high_vol_missed_leaders,rsr1_signal_count,high_vol_central_count,realized_5d_leader_count,high_vol_missed_leader_count,smh_healthy,core_month_end,spy_base_target,qqq_base_target,core_cap,spy_effective_target,qqq_effective_target,core_regime,core_fear_score,core_one_month_reversal,research_only,authorizes_trade
2026-08-17,opportunity-diagnostics-v1,True,[],[],"[""AAOI"",""AXTI"",""CRDO"",""DRAM"",""LITE"",""LRCX"",""MRVL"",""MU"",""MXL"",""NOK"",""SKHY"",""SMCI"",""SNDK"",""STX"",""TER"",""WDC""]","[""AAOI"",""AXTI"",""CRDO"",""DRAM"",""LITE"",""LRCX"",""MRVL"",""MU"",""MXL"",""NOK"",""SKHY"",""SMCI"",""SNDK"",""STX"",""TER"",""WDC""]",0,0,16,16,True,False,,,,,,,,,True,False
2026-08-18,opportunity-diagnostics-v1,True,[],[],"[""AXTI"",""NOK"",""SMCI"",""SNDK"",""STX"",""WDC""]","[""AXTI"",""NOK"",""SMCI"",""SNDK"",""STX"",""WDC""]",0,0,6,6,False,False,,,,,,,,,True,False
2026-08-19,opportunity-diagnostics-v1,True,[],[],"[""SNDK""]","[""SNDK""]",0,0,1,1,False,False,,,,,,,,,True,False
2026-08-20,opportunity-diagnostics-v1,True,[],[],"[""MRVL""]","[""MRVL""]",0,0,1,1,False,False,,,,,,,,,True,False
