initial_nav,period,architecture,date,module,symbol,action,shares,fill,cash_after,reason,source_trade_id
6000.0,train_2024_2025,formal_70_25,2024-01-03,core,QQQ,BUY,5,393.44367929077146,4031.781603546143,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-01-03,core,SPY,BUY,4,455.51731811523433,2208.7123310852057,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-08-06,core,QQQ,SELL,3,434.5333544311524,3511.312394378663,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-08-06,core,SPY,SELL,2,509.5646628112793,4529.441720001221,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-09-03,core,SPY,BUY,2,539.8519346923828,3448.737850616456,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-09-03,core,QQQ,BUY,2,457.4741069335937,2532.7896367492685,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2024-10-17,rsr2,TTMI,BUY,26,20.290270458221432,2004.2426048355114,frozen_entry,0.0
6000.0,train_2024_2025,formal_70_25,2024-10-21,rsr2,NOK,BUY,117,4.59639241140037,1465.4646927016684,frozen_entry,1.0
6000.0,train_2024_2025,formal_70_25,2024-10-22,rsr2,TTMI,SELL,26,19.25073045730591,1964.983684591622,signal,0.0
6000.0,train_2024_2025,formal_70_25,2024-11-07,rsr2,NOK,SELL,117,4.463442289010513,2486.206432405852,signal,1.0
6000.0,train_2024_2025,formal_70_25,2024-11-07,rsr2,MRVL,BUY,5,91.39130630876161,2028.249900862044,frozen_entry,2.0
6000.0,train_2024_2025,formal_70_25,2024-11-07,rsr2,LITE,BUY,7,73.14306969451904,1515.2484130004104,frozen_entry,3.0
6000.0,train_2024_2025,formal_70_25,2024-11-08,rsr2,COHR,BUY,5,108.81870908355712,970.1548675826248,frozen_entry,4.0
6000.0,train_2024_2025,formal_70_25,2024-11-14,rsr2,COHR,SELL,5,100.01309914451568,1469.2203633052031,stop,4.0
6000.0,train_2024_2025,formal_70_25,2024-12-09,rsr2,MRVL,SELL,5,111.09721993248507,2023.7064629676286,signal,2.0
6000.0,train_2024_2025,formal_70_25,2024-12-09,rsr2,LITE,SELL,7,93.28661725616453,2675.7127837607804,signal,3.0
6000.0,train_2024_2025,formal_70_25,2024-12-16,rsr2,TER,BUY,4,127.39127579622715,2165.147680575872,frozen_entry,5.0
6000.0,train_2024_2025,formal_70_25,2025-01-17,rsr2,TER,SELL,4,139.14279627465027,2720.718865674473,signal,5.0
6000.0,train_2024_2025,formal_70_25,2025-01-27,rsr2,META,BUY,1,624.1515457688685,2095.5673199056046,frozen_entry,6.0
6000.0,train_2024_2025,formal_70_25,2025-02-13,rsr2,INTC,BUY,25,22.862840152740475,1522.9963160870927,frozen_entry,7.0
6000.0,train_2024_2025,formal_70_25,2025-02-21,rsr2,META,SELL,1,692.4608383688153,2214.457154455908,signal,6.0
6000.0,train_2024_2025,formal_70_25,2025-02-24,rsr2,INTC,SELL,25,23.98197617821712,2813.006558911336,profit_lock,7.0
6000.0,train_2024_2025,formal_70_25,2025-04-01,core,QQQ,SELL,4,469.436679107666,4689.753275342,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2025-04-01,core,SPY,SELL,4,552.6337637329102,6899.288330273641,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2025-06-02,core,SPY,BUY,4,585.0711810302734,4558.003606152548,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2025-06-02,core,QQQ,BUY,4,520.6381600341796,2474.4509660158296,v9_core_rebalance,
6000.0,train_2024_2025,formal_70_25,2025-06-04,rsr2,MU,BUY,5,102.22193788042377,1962.3412766137108,frozen_entry,8.0
6000.0,train_2024_2025,formal_70_25,2025-06-06,rsr2,WDC,BUY,9,55.81465130784074,1459.009414843144,frozen_entry,9.0
6000.0,train_2024_2025,formal_70_25,2025-06-10,rsr2,KLAC,BUY,6,82.48033538898751,963.1274025092189,frozen_entry,10.0
6000.0,train_2024_2025,formal_70_25,2025-07-07,rsr2,MU,SELL,5,120.8648261777079,1566.4515333977583,signal,8.0
6000.0,train_2024_2025,formal_70_25,2025-07-09,rsr2,WDC,SELL,9,64.10193556292896,2142.368953464119,signal,9.0
6000.0,train_2024_2025,formal_70_25,2025-07-11,rsr2,KLAC,SELL,6,91.86536976047829,2692.5611720269885,signal,10.0
6000.0,train_2024_2025,formal_70_25,2025-07-16,rsr2,LITE,BUY,6,98.1980984725952,2102.3725811914173,frozen_entry,11.0
6000.0,train_2024_2025,formal_70_25,2025-07-24,rsr2,WDC,BUY,8,69.0819847411973,1548.716703261839,frozen_entry,12.0
6000.0,train_2024_2025,formal_70_25,2025-07-31,rsr2,CEG,BUY,1,348.00002547256435,1199.7166777892746,frozen_entry,13.0
6000.0,train_2024_2025,formal_70_25,2025-08-12,rsr2,CEG,SELL,1,330.9769778783613,1529.693655667636,signal,13.0
6000.0,train_2024_2025,formal_70_25,2025-08-14,rsr2,LITE,SELL,6,117.19268756103517,2231.8497810338467,signal,11.0
6000.0,train_2024_2025,formal_70_25,2025-08-22,rsr2,WDC,SELL,8,74.50330922145352,2826.8762548054747,signal,12.0
6000.0,train_2024_2025,formal_70_25,2025-08-29,rsr2,GLW,BUY,9,67.96451310413542,2214.195636868256,frozen_entry,14.0
6000.0,train_2024_2025,formal_70_25,2025-09-05,rsr2,NOK,BUY,135,4.54453996181488,1599.682742023247,frozen_entry,15.0
6000.0,train_2024_2025,formal_70_25,2025-09-08,rsr2,MU,BUY,4,130.47115444503285,1076.7981242431156,frozen_entry,16.0
6000.0,train_2024_2025,formal_70_25,2025-09-30,rsr2,GLW,SELL,9,79.6362386835006,1792.5242723946208,signal,14.0
6000.0,train_2024_2025,formal_70_25,2025-09-30,rsr2,NOK,SELL,135,4.705290038108826,2426.7384275393124,signal,15.0
6000.0,train_2024_2025,formal_70_25,2025-10-07,rsr2,MU,SELL,4,194.4649377694192,3203.598178616989,signal,16.0
6000.0,train_2024_2025,formal_70_25,2025-10-13,rsr2,NOK,BUY,124,5.2752699809074395,2548.4647009844666,frozen_entry,17.0
6000.0,train_2024_2025,formal_70_25,2025-10-30,rsr2,AVGO,BUY,1,384.63087940227877,2162.8338215821877,frozen_entry,18.0
6000.0,train_2024_2025,formal_70_25,2025-11-04,rsr2,AVGO,SELL,1,353.50654864104644,2515.340370223234,stop,18.0
6000.0,train_2024_2025,formal_70_25,2025-11-11,rsr2,NOK,SELL,124,6.8931000952720645,3369.08478203697,signal,17.0
6000.0,train_2024_2025,formal_70_25,2025-12-15,rsr2,TSLA,BUY,1,469.90944244384764,2898.1753395931223,frozen_entry,19.0
6000.0,train_2024_2025,formal_70_25,2025-12-30,rsr2,TSLA,SELL,1,460.62890634155275,3357.8042459346752,signal,19.0
5751.77,train_2024_2025,formal_70_25,2024-01-03,core,QQQ,BUY,5,393.44367929077146,3783.5516035461433,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-01-03,core,SPY,BUY,4,455.51731811523433,1960.482331085206,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-08-06,core,QQQ,SELL,3,434.5333544311524,3263.082394378663,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-08-06,core,SPY,SELL,2,509.5646628112793,4281.211720001222,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-09-03,core,SPY,BUY,2,539.8519346923828,3200.5078506164564,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-09-03,core,QQQ,BUY,2,457.4741069335937,2284.559636749269,v9_core_rebalance,
5751.77,train_2024_2025,formal_70_25,2024-10-17,rsr2,TTMI,BUY,25,20.290270458221432,1776.3028752937332,frozen_entry,0.0
5751.77,train_2024_2025,formal_70_25,2024-10-21,rsr2,NOK,BUY,113,4.59639241140037,1255.9105328054916,frozen_entry,1.0
5751.77,train_2024_2025,formal_70_25,2024-10-22,rsr2,TTMI,SELL,25,19.25073045730591,1736.1787942381393,signal,0.0
