block,start,end,sessions,baseline_return,fixed_return,return_delta,baseline_sharpe,fixed_sharpe,sharpe_delta,return_active,sharpe_active
0,2024-01-02,2024-04-05,66,0.0,0.0,0.0,,,,False,False
1,2024-04-08,2024-07-11,66,0.0,0.0,0.0,,,,False,False
2,2024-07-12,2024-10-14,66,0.0,0.0,0.0,,,,False,False
3,2024-10-15,2025-01-21,66,0.015816813688040554,0.028281131940686155,0.012464318252645601,0.9196367196034099,1.736283121895931,0.8166464022925211,True,True
4,2025-01-22,2025-04-25,66,-0.038076009478285266,0.013950082817628218,0.052026092295913484,-2.5497234427715463,3.2178028675944654,5.767526310366012,True,True
5,2025-04-28,2025-07-31,66,0.04528222970160467,0.049764956590040876,0.004482726888436206,4.699134402704954,5.744122629185454,1.0449882264805002,True,True
6,2025-08-01,2025-11-03,66,0.058218325709597396,0.0774711369192358,0.0192528112096384,2.6960697863136427,4.342629872158555,1.646560085844912,True,True
7,2025-11-04,2026-02-09,66,0.003179465968607742,0.007337059721941763,0.004157593753334021,0.19948397328490472,0.5622712085143348,0.36278723522943,True,True
8,2026-02-10,2026-05-14,66,-0.00017515327902606348,-0.0004966242777894037,-0.0003214709987633402,-0.10040644940269924,-0.2742086969178416,-0.17380224751514237,True,True
9,2026-05-15,2026-08-18,65,-0.02306878183913852,-0.0077886781401899086,0.01528010369894861,-2.8897971584757114,-2.493180549504243,0.3966166089714682,True,True
