Date,train_2025_current_1m,train_2025_confirm_2m_both,train_2025_confirm_2m_exit,train_2025_confirm_2m_entry,train_2025_ma200_only,test_2026_current_1m,test_2026_confirm_2m_both,test_2026_confirm_2m_exit,test_2026_confirm_2m_entry,test_2026_ma200_only
2025-01-02,1.0,1.0,1.0,1.0,1.0,,,,,
2025-01-03,0.9993001225,0.9993001225,0.9993001225,0.9993001225,0.9993001225,,,,,
2025-01-06,1.0053374469383705,1.0053374469383705,1.0053374469383705,1.0053374469383705,1.0053374469383705,,,,,
2025-01-07,0.9950432194071948,0.9950432194071948,0.9950432194071948,0.9950432194071948,0.9950432194071948,,,,,
2025-01-08,0.9956124043370422,0.9956124043370422,0.9956124043370422,0.9956124043370422,0.9956124043370422,,,,,
2025-01-10,0.9848396000243942,0.9848396000243942,0.9848396000243942,0.9848396000243942,0.9848396000243942,,,,,
2025-01-13,0.9842719930628703,0.9842719930628703,0.9842719930628703,0.9842719930628703,0.9842719930628703,,,,,
2025-01-14,0.9844211608754916,0.9844211608754916,0.9844211608754916,0.9844211608754916,0.9844211608754916,,,,,
2025-01-15,0.9985225553406387,0.9985225553406387,0.9985225553406387,0.9985225553406387,0.9985225553406387,,,,,
2025-01-16,0.9954061300511134,0.9954061300511134,0.9954061300511134,0.9954061300511134,0.9954061300511134,,,,,
2025-01-17,1.0047609782712459,1.0047609782712459,1.0047609782712459,1.0047609782712459,1.0047609782712459,,,,,
2025-01-21,1.0100597549054868,1.0100597549054868,1.0100597549054868,1.0100597549054868,1.0100597549054868,,,,,
2025-01-22,1.0165913892731053,1.0165913892731053,1.0165913892731053,1.0165913892731053,1.0165913892731053,,,,,
2025-01-23,1.0193107403086872,1.0193107403086872,1.0193107403086872,1.0193107403086872,1.0193107403086872,,,,,
2025-01-24,1.0162274874749029,1.0162274874749029,1.0162274874749029,1.0162274874749029,1.0162274874749029,,,,,
2025-01-27,1.0007389838220704,1.0007389838220704,1.0007389838220704,1.0007389838220704,1.0007389838220704,,,,,
2025-01-28,1.0089116511299068,1.0089116511299068,1.0089116511299068,1.0089116511299068,1.0089116511299068,,,,,
2025-01-29,1.0066481315865252,1.0066481315865252,1.0066481315865252,1.0066481315865252,1.0066481315865252,,,,,
2025-01-30,1.0100556278287058,1.0100556278287058,1.0100556278287058,1.0100556278287058,1.0100556278287058,,,,,
2025-01-31,1.007638965159162,1.007638965159162,1.007638965159162,1.007638965159162,1.007638965159162,,,,,
2025-02-03,1.0024242502903702,1.0024242502903702,1.0024242502903702,1.0024242502903702,1.0024242502903702,,,,,
2025-02-04,1.0090861345673325,1.0090861345673325,1.0090861345673325,1.0090861345673325,1.0090861345673325,,,,,
2025-02-05,1.0121345784240527,1.0121345784240527,1.0121345784240527,1.0121345784240527,1.0121345784240527,,,,,
2025-02-06,1.0152316423183512,1.0152316423183512,1.0152316423183512,1.0152316423183512,1.0152316423183512,,,,,
2025-02-07,1.0074432661828563,1.0074432661828563,1.0074432661828563,1.0074432661828563,1.0074432661828563,,,,,
