date,equity,exposure
2023-01-03,6000.0,0.0
2023-01-04,6000.0,0.0
2023-01-05,6000.0,0.0
2023-01-06,6000.0,0.0
2023-01-09,6000.0,0.0
2023-01-10,6000.0,0.0
2023-01-11,6000.0,0.0
2023-01-12,6000.0,0.0
2023-01-13,6000.0,0.0
2023-01-17,5996.528118871701,0.23116593055543447
2023-01-18,5975.738478445065,0.2284911508760435
2023-01-19,5959.9797083387075,0.15010814569194977
2023-01-20,5974.151089335412,0.1521241879870459
2023-01-23,5989.22655987069,0.22080739697537224
2023-01-24,5971.540673487633,0.21849966558725745
2023-01-25,5986.927179467393,0.1440147316843512
2023-01-26,5996.118791711046,0.1453268945927166
2023-01-27,5975.186102810966,0.174165288833123
2023-01-30,5954.864822568046,0.10574896037498765
2023-01-31,5965.061477841484,0.10727758998137839
2023-02-01,5975.816967272576,0.18472954578708936
2023-02-02,5987.565413278872,0.17559830437786825
2023-02-03,5954.005375361422,0.0
2023-02-06,5954.005375361422,0.0
2023-02-07,5954.005375361422,0.0
2023-02-08,5954.005375361422,0.0
2023-02-09,5947.746889246921,0.07459799856104439
2023-02-10,5937.184389246921,0.07295166959442141
2023-02-13,5946.0568753614225,0.07433497681993391
2023-02-14,5963.801897181491,0.07708925107612061
2023-02-15,5968.951148188571,0.14483155642993306
2023-02-16,5945.971837199191,0.2152297407642337
2023-02-17,5927.549348032931,0.21279071904549063
2023-02-21,5905.9693423871795,0.2099143104929667
2023-02-22,5963.009392893771,0.21747199230506029
2023-02-23,5976.0418521528045,0.21917851723102996
2023-02-24,5960.749379313449,0.21717529740785313
2023-02-27,5972.356831706027,0.21869674040316003
2023-02-28,5973.801842844943,0.21888573092254612
2023-03-01,5966.751843607883,0.2179628075053518
2023-03-02,5970.0118800763885,0.2183898535177339
2023-03-03,5995.40682712839,0.22170054599575073
2023-03-06,5994.181862986545,0.2215414936105269
2023-03-07,5989.249348795871,0.22090038528358963
2023-03-08,6018.071858561496,0.22463174755066062
2023-03-09,6003.184323466281,0.2227088810438082
2023-03-10,5997.831895030002,0.222015231211472
2023-03-13,5993.8425449285305,0.14302844742084478
2023-03-14,6004.792549506167,0.144591172918234
2023-03-15,6010.066461876879,0.2092218464520822
2023-03-16,6034.350107811937,0.13620888475208234
2023-03-17,6012.028923237569,0.12637554088367098
2023-03-20,6013.355980122335,0.12656833661321076
2023-03-21,6019.985801899678,0.12753024856009873
2023-03-22,6008.60832997585,0.12587820210337175
2023-03-23,6016.977939179044,0.06731011025471481
2023-03-24,6020.407809784513,0.06784147054423807
2023-03-27,6007.925507294279,0.10897580796933204
2023-03-28,6000.563065277677,0.10788255823962331
2023-03-29,6007.994650767541,0.18379671737609607
2023-03-30,6012.426779673791,0.18439839092570556
2023-03-31,6036.818961070276,0.18769388521236505
2023-04-03,6043.221152232385,0.18855444266972365
2023-04-04,6052.179968760705,0.18975559529710184
2023-04-05,6049.970892832971,0.18945974405389485
2023-04-06,6062.900153086877,0.19118823795133424
2023-04-10,6059.226416514612,0.1906978516963796
2023-04-11,6066.021231578088,0.19160438634541294
2023-04-12,6064.103796885705,0.19134877630859473
2023-04-13,6084.686148570276,0.19408415878679955
2023-04-14,6070.644119876938,0.12129922729400518
2023-04-17,6073.372739693604,0.19501760596306805
2023-04-18,6075.198293587647,0.1952594974492474
2023-04-19,6107.9504298181155,0.19957468809667755
2023-04-20,6098.643087288819,0.19835313234396743
2023-04-21,6099.698682686768,0.19849186292531237
2023-04-24,6097.398450753174,0.1981894955096309
2023-04-25,6085.252180001221,0.19658906759124375
2023-04-26,6067.992833779297,0.14622590392364568
2023-04-27,6081.542950772287,0.07936362428117529
2023-04-28,6081.49465999174,0.0
2023-05-01,6081.49465999174,0.0
2023-05-02,6085.353234457481,0.21425897351245962
2023-05-03,6109.305844473351,0.2173396096534625
2023-05-04,6102.95620839547,0.21652531433795028
2023-05-05,6110.473103689659,0.21748911813478125
2023-05-08,6115.257516073692,0.21810133352293065
2023-05-09,6110.153702902306,0.21744821333861192
2023-05-10,6117.068291830528,0.21833279131970726
2023-05-11,6114.031312155235,0.21794451927718672
2023-05-12,6115.970429586876,0.21819247623391813
2023-05-15,6113.404153036583,0.21786429012600525
2023-05-16,6110.745248007286,0.21752396754861505
2023-05-17,6101.552975821007,0.2163451311608895
2023-05-18,6106.393410849083,0.21696632115338357
2023-05-19,6111.243684701968,0.14501022059031546
2023-05-22,6098.597734384585,0.1432373280758076
2023-05-23,6084.356476210995,0.06799295225263093
2023-05-24,6086.858887099667,0.06837611615175547
2023-05-25,6090.371731612607,0.1368818193810547
2023-05-26,6085.963804205331,0.0
2023-05-30,6085.963804205331,0.0
2023-05-31,6085.963804205331,0.0
2023-06-01,6085.963804205331,0.0
2023-06-02,6094.473751621766,0.06879762446359074
2023-06-05,6092.8601782128135,0.0
2023-06-06,6092.8601782128135,0.0
2023-06-07,6092.8601782128135,0.0
2023-06-08,6092.8601782128135,0.0
2023-06-09,6092.8601782128135,0.0
2023-06-12,6092.8601782128135,0.0
2023-06-13,6092.8601782128135,0.0
2023-06-14,6092.8601782128135,0.0
2023-06-15,6092.8601782128135,0.0
2023-06-16,6092.8601782128135,0.0
2023-06-20,6092.8601782128135,0.0
2023-06-21,6092.8601782128135,0.0
2023-06-22,6092.8601782128135,0.0
