initial_nav,slippage,period_name,symbol,signal_date,group,baseline_pnl,candidate_pnl,pnl_delta,partial_exit_status
5751.77,0.002,development_2024_2025,GLW,2025-08-28,common,78.6687910576756,75.76560919652599,-2.903181861149619,executed
5751.77,0.002,development_2024_2025,INTC,2025-02-12,common,19.92448158647153,38.38583469582363,18.461353109352103,executed
5751.77,0.002,development_2024_2025,KLAC,2025-06-09,common,44.05339553475835,44.05339553475835,0.0,
5751.77,0.002,development_2024_2025,LITE,2024-11-06,common,117.8625853881835,94.88663635253906,-22.975949035644447,executed
5751.77,0.002,development_2024_2025,LITE,2025-07-15,common,91.89589546203626,70.87920611572267,-21.016689346313598,executed
5751.77,0.002,development_2024_2025,META,2025-01-24,common,64.99261058983438,64.99261058983438,0.0,ineligible_whole_shares
5751.77,0.002,development_2024_2025,MRVL,2024-11-06,common,76.01362075624053,84.70948030204528,8.695859545804751,executed
5751.77,0.002,development_2024_2025,MU,2025-06-03,common,71.67913066892822,67.30636013780128,-4.372770531126946,executed
5751.77,0.002,development_2024_2025,MU,2025-09-05,common,189.0063487401644,189.0063487401644,0.0,ineligible_min_notional
5751.77,0.002,development_2024_2025,NOK,2024-10-18,common,-16.058973486785874,-16.058973486785874,0.0,
5751.77,0.002,development_2024_2025,NOK,2025-09-04,common,14.362008239746046,14.210508163452118,-0.15150007629392803,
5751.77,0.002,development_2024_2025,NOK,2025-10-10,common,153.74903108596789,115.21537097167962,-38.53366011428827,executed
5751.77,0.002,development_2024_2025,TER,2024-12-13,common,32.45492316485701,32.45492316485701,0.0,
5751.77,0.002,development_2024_2025,TSLA,2025-12-12,common,-12.211066101074323,-12.211066101074323,0.0,
5751.77,0.002,development_2024_2025,TTMI,2024-10-16,common,-25.739760040283215,-25.739760040283215,0.0,
5751.77,0.002,development_2024_2025,WDC,2025-02-18,candidate_only,0.0,-37.37174610702476,-37.37174610702476,
5751.77,0.002,development_2024_2025,WDC,2025-06-05,common,63.338874088065495,68.66901865894636,5.3301445708808615,executed
5751.77,0.002,development_2024_2025,WDC,2025-07-23,common,34.94413534964758,34.94413534964758,0.0,
5751.77,0.002,full,AVGO,2025-10-29,common,-33.50963791470832,-33.50963791470832,0.0,
5751.77,0.002,full,CEG,2025-07-30,common,-30.50877395488908,-30.50877395488908,0.0,
5751.77,0.002,full,COHR,2024-11-07,common,-37.65847991089356,-37.65847991089356,0.0,
5751.77,0.002,full,COHR,2025-08-07,common,-96.16265954589846,-96.16265954589846,0.0,
5751.77,0.002,full,GLW,2025-08-28,common,78.6687910576756,75.76560919652599,-2.903181861149619,executed
5751.77,0.002,full,INTC,2025-02-12,common,19.92448158647153,38.38583469582363,18.461353109352103,executed
5751.77,0.002,full,KLAC,2025-06-09,common,44.05339553475835,44.05339553475835,0.0,
5751.77,0.002,full,KLAC,2026-01-05,common,17.66565176921796,17.66565176921796,0.0,ineligible_min_notional
5751.77,0.002,full,LITE,2024-11-06,common,117.8625853881835,94.88663635253906,-22.975949035644447,executed
5751.77,0.002,full,LITE,2025-07-15,common,91.89589546203626,70.87920611572267,-21.016689346313598,executed
5751.77,0.002,full,META,2025-01-24,common,64.99261058983438,64.99261058983438,0.0,ineligible_whole_shares
5751.77,0.002,full,META,2026-07-09,common,-56.46755371093752,-56.46755371093752,0.0,
5751.77,0.002,full,MRVL,2024-11-06,common,76.01362075624053,84.70948030204528,8.695859545804751,executed
5751.77,0.002,full,MU,2025-06-03,common,71.67913066892822,67.30636013780128,-4.372770531126946,executed
5751.77,0.002,full,MU,2025-09-05,common,189.0063487401644,189.0063487401644,0.0,ineligible_min_notional
5751.77,0.002,full,NOK,2024-10-18,common,-16.058973486785874,-16.058973486785874,0.0,
5751.77,0.002,full,NOK,2025-09-04,common,14.362008239746046,14.210508163452118,-0.15150007629392803,
5751.77,0.002,full,NOK,2025-10-10,common,153.74903108596789,115.21537097167962,-38.53366011428827,executed
5751.77,0.002,full,TER,2024-12-13,common,32.45492316485701,32.45492316485701,0.0,
