variant,extension_days,minimum_return,period,cost_bps,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,cash_yield_earned,cash_return_days,cash_return_missing_days,gross_profit_concentration
rsr2_frozen,,0.0,train_2024_2025,10,7030.590030378825,0.1717650050631374,0.08265749154931856,-0.01905940928066363,0.037698352362547496,2.129797859633683,2.6244152273053825,20,0.7,0.1713454858660155,-0.056352887941070136,8.23797130303449,0,,,0.05061436710146251,3.297936313081651,59.78870825722854,0.0,0,0,0.27839147145708376
rsr2_frozen,,0.0,retrospective_2026,10,6049.084766523843,0.00818079442064068,0.01380819337045347,-0.016939078104330263,0.03361401423182759,0.42406340554718064,0.24724815170228373,3,0.6666666666666666,0.11961098508236183,-0.0838189107801222,1.8845990864668132,0,,,0.02569575073452043,0.5135598322954,9.081417159956084,0.0,0,0,0.8271380389314571
rsr2_frozen,,0.0,full,10,7086.367023359687,0.18106117055994786,0.0662166364734671,-0.023258890167864976,0.03680664541014721,1.7660328347281216,1.6895428685706777,23,0.6956521739130435,0.16495639834852616,-0.06027660548950615,6.490175460207313,0,,,0.04456301086886087,3.8581833683906988,69.15025572762329,0.0,0,0,0.2542719732800218
rsr2_frozen,,0.0,full,20,6883.0195698391035,0.14716992830651732,0.05432296875732412,-0.023283363964951898,0.03703133139569531,1.4515992754106126,1.2806846396155354,24,0.6666666666666666,0.16257120296142388,-0.08416631931518637,3.847476261341552,0,,,0.04378353295588171,3.8834380637255035,94.60516726365447,0.0,0,0,0.21848955265624226
extend30_any_winner,30.0,0.0,train_2024_2025,10,6956.811609048581,0.15946860150809683,0.07695016287299428,-0.02558836309502044,0.04166298605841491,1.803778630957384,1.7854317167137046,20,0.65,0.18592864401394196,-0.06051050493087643,6.359101861809938,0,,,0.05929256383231091,3.222720478306782,59.33733901878878,0.0,0,0,0.2420396770196094
extend30_any_winner,30.0,0.0,retrospective_2026,10,6155.879561249216,0.025979926874869275,0.04411590150778788,-0.015684732327769124,0.03728930036792519,1.174297589777971,0.8099340711629193,3,0.6666666666666666,0.2401495701597128,-0.0838189107801222,3.809240569840009,0,,,0.0321928447582596,0.5313589647496287,9.18831885637788,0.0,0,0,0.9144775742193881
extend30_any_winner,30.0,0.0,full,10,7119.383396754815,0.18656389945913587,0.06812786341865151,-0.027506039297375273,0.04055831149731831,1.650576320864974,1.4607841559626713,23,0.6521739130434783,0.19324100758587667,-0.06342405566203214,5.783123626992789,0,,,0.05259974530390762,3.800766666070059,68.80578818560531,0.0,0,0,0.20304254071414118
extend30_any_winner,30.0,0.0,full,20,7106.219686678501,0.18436994777975002,0.06736650694415758,-0.02918688378088885,0.043732208449105706,1.5174964833954439,1.2582800885998466,24,0.5833333333333334,0.22576252577916384,-0.076320439056369,4.173810828323021,0,,,0.05269371394508633,3.96180722042908,95.5464937098705,0.0,0,0,0.2021031961183436
extend30_gain8,30.0,0.08,train_2024_2025,10,6956.811609048581,0.15946860150809683,0.07695016287299428,-0.02558836309502044,0.04166298605841491,1.803778630957384,1.7854317167137046,20,0.65,0.18592864401394196,-0.06051050493087643,6.359101861809938,0,,,0.05929256383231091,3.222720478306782,59.33733901878878,0.0,0,0,0.2420396770196094
extend30_gain8,30.0,0.08,retrospective_2026,10,6155.879561249216,0.025979926874869275,0.04411590150778788,-0.015684732327769124,0.03728930036792519,1.174297589777971,0.8099340711629193,3,0.6666666666666666,0.2401495701597128,-0.0838189107801222,3.809240569840009,0,,,0.0321928447582596,0.5313589647496287,9.18831885637788,0.0,0,0,0.9144775742193881
