omitted_symbol,baseline_return,candidate_return,return_delta,baseline_drawdown,candidate_drawdown,drawdown_delta,baseline_sharpe,candidate_sharpe,sharpe_delta,baseline_win_rate,candidate_win_rate,win_rate_delta
DRAM,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
MU,0.05373348041824899,0.13520387572873815,0.08147039531048916,-0.04132747116765534,-0.02296120286334702,0.01836626830430832,0.44193788016666946,1.4694816763973448,1.0275437962306753,0.40425531914893614,0.6666666666666666,0.2624113475177305
WDC,0.05856384077166754,0.13828134603645958,0.07971750526479204,-0.051403643679140854,-0.023023685943229233,0.02837995773591162,0.4886478943289858,1.4218081342816908,0.933160239952705,0.4444444444444444,0.625,0.18055555555555558
STX,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
SNDK,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
SKHY,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
MRVL,0.045269163637970955,0.1431749295282585,0.09790576589028754,-0.05045383336003395,-0.02292650065118007,0.02752733270885388,0.4053906998224923,1.6796988374904658,1.2743081376679735,0.4318181818181818,0.625,0.19318181818181818
AVGO,0.07030499087212139,0.18364876873118696,0.11334377785906558,-0.05323371311955594,-0.019970313963982855,0.03326339915557308,0.5845359047476179,1.8328056079311643,1.2482697031835466,0.46511627906976744,0.6956521739130435,0.23053589484327602
ALAB,0.06441754461793159,0.17812804693764828,0.11371050231971669,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.5261768787936569,1.7734446039927196,1.2472677251990627,0.45454545454545453,0.6666666666666666,0.2121212121212121
COHR,0.05208838497273005,0.1848195270157309,0.13273114204300085,-0.053007948531133886,-0.02325378816685797,0.029754160364275917,0.44481520620748655,1.8197847841580255,1.3749695779505389,0.425531914893617,0.6666666666666666,0.2411347517730496
