window,baseline_cagr,candidate_cagr,baseline_max_drawdown,candidate_max_drawdown,baseline_sharpe,candidate_sharpe,baseline_monthly_win_rate,candidate_monthly_win_rate
2008-2010,-0.028304146903612937,-0.025383682003549457,-0.30908161286156954,-0.3088846027575284,-0.05822461203218306,-0.04777075116532808,0.3333333333333333,0.2777777777777778
2009-2011,-0.1749122577654646,-0.1733935237960953,-0.5641167597913859,-0.5651185281691196,-0.7713026496492027,-0.7791761053543733,0.3611111111111111,0.3055555555555556
2010-2012,-0.19799450144173913,-0.20129397702374352,-0.595206199998646,-0.587771299922226,-1.0825032238623882,-1.1276699837264599,0.3611111111111111,0.3055555555555556
2011-2013,-0.1293302517623609,-0.13401477529987504,-0.4965864573842501,-0.5036229524162497,-0.6276287755162027,-0.6605254683722461,0.3611111111111111,0.3888888888888889
2012-2014,0.04353473041854761,0.04045842607697114,-0.20088120484687588,-0.20244387226665483,0.32676467697097805,0.3115219119199174,0.5,0.5277777777777778
2013-2015,0.027294756876210524,0.027030542987417805,-0.17062172076979876,-0.1682315566310867,0.2399598436543194,0.2389922711361923,0.5,0.5555555555555556
2014-2016,-0.06447747190803865,-0.06883317949017043,-0.2546684058981845,-0.26397164475839896,-0.3690310748850008,-0.40686724466354146,0.4166666666666667,0.4166666666666667
2015-2017,-0.009390063273556848,-0.01977048686976346,-0.25678586492648126,-0.273912497842409,0.016706029729732567,-0.053292682841189695,0.4444444444444444,0.4444444444444444
2016-2018,0.01398533058371787,0.0006278735965101756,-0.18811009602918005,-0.20630951949067045,0.16704082766896106,0.08587998622359878,0.4722222222222222,0.4444444444444444
2017-2019,-0.014806027099103947,-0.017989297943564075,-0.3755141372505645,-0.36403511796000043,0.0021012688999530664,-0.018185331659311535,0.4722222222222222,0.4722222222222222
2018-2020,0.05631558933252068,0.04932345530221971,-0.37551413725056493,-0.36403511796000043,0.36078001817258976,0.33303929197726334,0.4444444444444444,0.4444444444444444
2019-2021,0.06165892024137176,0.06411425814769278,-0.3168436879186849,-0.3077804635920146,0.36298284114910867,0.3745512904451867,0.4444444444444444,0.4444444444444444
2020-2022,0.09891607717298023,0.09421821141202935,-0.240936931024053,-0.22324392048104524,0.5146616842581584,0.5028011979737508,0.3333333333333333,0.3333333333333333
2021-2023,-0.019642575741927626,-0.011359340710654586,-0.31213463771345573,-0.30478446384473323,0.009546771752379165,0.046836804425295975,0.3055555555555556,0.3055555555555556
2022-2024,-0.056671818248315575,-0.06175547060593767,-0.26979968119889064,-0.2680576505821679,-0.19596932870159728,-0.23256050831347483,0.25,0.25
2023-2025,0.010851635220100686,0.007333394030592633,-0.23488492385133808,-0.23976966213351858,0.17200298716667464,0.15560749201742025,0.4166666666666667,0.4166666666666667
