Date,development_2024_2025_10bps,development_2024_2025_20bps,retrospective_2026_10bps,retrospective_2026_20bps
2024-01-02,6000.0,6000.0,,
2024-01-03,6000.0,6000.0,,
2024-01-04,6000.0,6000.0,,
2024-01-05,6000.0,6000.0,,
2024-01-08,6000.0,6000.0,,
2024-01-09,6000.0,6000.0,,
2024-01-10,6000.0,6000.0,,
2024-01-11,6000.0,6000.0,,
2024-01-12,6000.0,6000.0,,
2024-01-16,6000.0,6000.0,,
2024-01-17,6000.0,6000.0,,
2024-01-18,6000.0,6000.0,,
2024-01-19,6000.0,6000.0,,
2024-01-22,6000.0,6000.0,,
2024-01-23,6000.0,6000.0,,
2024-01-24,6000.0,6000.0,,
2024-01-25,6000.0,6000.0,,
2024-01-26,6000.0,6000.0,,
2024-01-29,6000.0,6000.0,,
2024-01-30,6000.0,6000.0,,
2024-01-31,6000.0,6000.0,,
2024-02-01,6000.0,6000.0,,
2024-02-02,6000.0,6000.0,,
2024-02-05,6000.0,6000.0,,
2024-02-06,6000.0,6000.0,,
2024-02-07,6000.0,6000.0,,
2024-02-08,6000.0,6000.0,,
2024-02-09,6000.0,6000.0,,
2024-02-12,6000.0,6000.0,,
2024-02-13,6000.0,6000.0,,
2024-02-14,6000.0,6000.0,,
2024-02-15,6000.0,6000.0,,
2024-02-16,6000.0,6000.0,,
2024-02-20,6000.0,6000.0,,
2024-02-21,6000.0,6000.0,,
2024-02-22,6000.0,6000.0,,
2024-02-23,6000.0,6000.0,,
2024-02-26,6000.0,6000.0,,
2024-02-27,6000.0,6000.0,,
2024-02-28,6000.0,6000.0,,
2024-02-29,6000.0,6000.0,,
2024-03-01,6000.0,6000.0,,
2024-03-04,6000.0,6000.0,,
2024-03-05,6000.0,6000.0,,
2024-03-06,6000.0,6000.0,,
2024-03-07,6000.0,6000.0,,
2024-03-08,6000.0,6000.0,,
2024-03-11,6000.0,6000.0,,
2024-03-12,6000.0,6000.0,,
2024-03-13,6000.0,6000.0,,
2024-03-14,6000.0,6000.0,,
2024-03-15,6000.0,6000.0,,
2024-03-18,6000.0,6000.0,,
2024-03-19,6000.0,6000.0,,
2024-03-20,6000.0,6000.0,,
2024-03-21,6000.0,6000.0,,
2024-03-22,6000.0,6000.0,,
2024-03-25,6000.0,6000.0,,
2024-03-26,6000.0,6000.0,,
2024-03-27,6000.0,6000.0,,
2024-03-28,6000.0,6000.0,,
2024-04-01,6000.0,6000.0,,
2024-04-02,6000.0,6000.0,,
2024-04-03,6000.0,6000.0,,
2024-04-04,6000.0,6000.0,,
2024-04-05,6000.0,6000.0,,
2024-04-08,6000.0,6000.0,,
2024-04-09,6000.0,6000.0,,
2024-04-10,6000.0,6000.0,,
2024-04-11,6000.0,6000.0,,
2024-04-12,6000.0,6000.0,,
2024-04-15,6000.0,6000.0,,
2024-04-16,6000.0,6000.0,,
2024-04-17,6000.0,6000.0,,
2024-04-18,6000.0,6000.0,,
2024-04-19,6000.0,6000.0,,
2024-04-22,6000.0,6000.0,,
2024-04-23,6000.0,6000.0,,
2024-04-24,6000.0,6000.0,,
2024-04-25,6000.0,6000.0,,
2024-04-26,6000.0,6000.0,,
2024-04-29,6000.0,6000.0,,
2024-04-30,6000.0,6000.0,,
2024-05-01,6000.0,6000.0,,
2024-05-02,6000.0,6000.0,,
2024-05-03,6000.0,6000.0,,
2024-05-06,6000.0,6000.0,,
2024-05-07,6000.0,6000.0,,
2024-05-08,6000.0,6000.0,,
2024-05-09,6000.0,6000.0,,
2024-05-10,6000.0,6000.0,,
2024-05-13,6000.0,6000.0,,
2024-05-14,6000.0,6000.0,,
2024-05-15,6000.0,6000.0,,
2024-05-16,6000.0,6000.0,,
2024-05-17,6000.0,6000.0,,
2024-05-20,6000.0,6000.0,,
2024-05-21,6000.0,6000.0,,
2024-05-22,6000.0,6000.0,,
2024-05-23,6000.0,6000.0,,
2024-05-24,6000.0,6000.0,,
2024-05-28,6000.0,6000.0,,
2024-05-29,6000.0,6000.0,,
2024-05-30,6000.0,6000.0,,
2024-05-31,6000.0,6000.0,,
2024-06-03,6000.0,6000.0,,
2024-06-04,6000.0,6000.0,,
2024-06-05,6000.0,6000.0,,
2024-06-06,6000.0,6000.0,,
2024-06-07,6000.0,6000.0,,
2024-06-10,6000.0,6000.0,,
2024-06-11,6000.0,6000.0,,
2024-06-12,6000.0,6000.0,,
2024-06-13,6000.0,6000.0,,
2024-06-14,6000.0,6000.0,,
2024-06-17,6000.0,6000.0,,
2024-06-18,6000.0,6000.0,,
2024-06-20,6000.0,6000.0,,
2024-06-21,6000.0,6000.0,,
2024-06-24,6000.0,6000.0,,
2024-06-25,6000.0,6000.0,,
2024-06-26,6000.0,6000.0,,
2024-06-27,6000.0,6000.0,,
2024-06-28,6000.0,6000.0,,
2024-07-01,6000.0,6000.0,,
2024-07-02,6000.0,6000.0,,
2024-07-03,6000.0,6000.0,,
2024-07-05,6000.0,6000.0,,
2024-07-08,6000.0,6000.0,,
2024-07-09,6000.0,6000.0,,
2024-07-10,6000.0,6000.0,,
2024-07-11,6000.0,6000.0,,
2024-07-12,6000.0,6000.0,,
2024-07-15,6000.0,6000.0,,
2024-07-16,6000.0,6000.0,,
2024-07-17,6000.0,6000.0,,
2024-07-18,6000.0,6000.0,,
2024-07-19,6000.0,6000.0,,
2024-07-22,6000.0,6000.0,,
2024-07-23,6000.0,6000.0,,
2024-07-24,6000.0,6000.0,,
2024-07-25,6000.0,6000.0,,
2024-07-26,6000.0,6000.0,,
2024-07-29,6000.0,6000.0,,
2024-07-30,6000.0,6000.0,,
2024-07-31,6000.0,6000.0,,
2024-08-01,6000.0,6000.0,,
2024-08-02,6000.0,6000.0,,
2024-08-05,6000.0,6000.0,,
2024-08-06,6000.0,6000.0,,
2024-08-07,6000.0,6000.0,,
2024-08-08,6000.0,6000.0,,
2024-08-09,6000.0,6000.0,,
2024-08-12,6000.0,6000.0,,
2024-08-13,6000.0,6000.0,,
2024-08-14,6000.0,6000.0,,
2024-08-15,6000.0,6000.0,,
2024-08-16,6000.0,6000.0,,
2024-08-19,6000.0,6000.0,,
2024-08-20,6000.0,6000.0,,
2024-08-21,6000.0,6000.0,,
2024-08-22,6000.0,6000.0,,
2024-08-23,6000.0,6000.0,,
2024-08-26,6000.0,6000.0,,
2024-08-27,6000.0,6000.0,,
