date,symbol,weight
2006-11-21,MS,0.2
2006-11-21,NEE,0.2
2006-11-22,ADBE,0.2
2006-11-22,CNP,0.2
2006-11-22,MAT,0.2
2006-11-22,MS,0.2
2006-11-22,NEE,0.2
2006-11-24,ADBE,0.2
2006-11-24,CNP,0.2
2006-11-24,MAT,0.2
2006-11-24,MS,0.2
2006-11-24,NEE,0.2
2006-11-27,CNP,0.2
2006-11-27,HAS,0.2
2006-11-27,LOGI,0.2
2006-11-27,NEE,0.2
2006-11-27,VNO,0.2
2006-11-28,CNP,0.2
2006-11-28,HAS,0.2
2006-11-28,LOGI,0.2
2006-11-28,NEE,0.2
2006-11-28,VNO,0.2
2006-11-29,CNP,0.2
2006-11-29,HAS,0.2
2006-11-29,LOGI,0.2
2006-11-29,NEE,0.2
2006-11-29,VNO,0.2
2006-11-30,CNP,0.2
2006-11-30,HAS,0.2
2006-11-30,LOGI,0.2
2006-11-30,NEE,0.2
2006-11-30,VNO,0.2
2006-12-01,CNP,0.2
2006-12-01,HAS,0.2
2006-12-01,LOGI,0.2
2006-12-01,NEE,0.2
2006-12-01,VNO,0.2
2006-12-04,CI,0.2
2006-12-04,CNP,0.2
2006-12-04,IFF,0.2
2006-12-04,MCO,0.2
2006-12-04,NEE,0.2
2006-12-05,CI,0.2
2006-12-05,CNP,0.2
2006-12-05,IFF,0.2
2006-12-05,MCO,0.2
2006-12-05,NEE,0.2
2006-12-06,CI,0.2
2006-12-06,CNP,0.2
2006-12-06,IFF,0.2
2006-12-06,MCO,0.2
2006-12-06,NEE,0.2
2006-12-07,CI,0.2
2006-12-07,CNP,0.2
2006-12-07,IFF,0.2
2006-12-07,MCO,0.2
2006-12-07,NEE,0.2
2006-12-08,CI,0.2
2006-12-08,CNP,0.2
2006-12-08,IFF,0.2
2006-12-08,MCO,0.2
2006-12-08,NEE,0.2
2006-12-11,CI,0.2
2006-12-11,IFF,0.2
2006-12-11,MCD,0.2
2006-12-11,MSFT,0.2
2006-12-11,SHW,0.2
2006-12-12,CI,0.2
2006-12-12,IFF,0.2
2006-12-12,MCD,0.2
2006-12-12,MSFT,0.2
2006-12-12,SHW,0.2
2006-12-13,CI,0.2
2006-12-13,IFF,0.2
2006-12-13,MCD,0.2
2006-12-13,MSFT,0.2
2006-12-13,SHW,0.2
2006-12-14,CI,0.2
2006-12-14,IFF,0.2
2006-12-14,MCD,0.2
2006-12-14,MSFT,0.2
2006-12-14,SHW,0.2
2006-12-15,CI,0.2
2006-12-15,IFF,0.2
2006-12-15,MCD,0.2
2006-12-15,MSFT,0.2
2006-12-15,SHW,0.2
2006-12-18,HAS,0.2
2006-12-18,IFF,0.2
2006-12-18,MAT,0.2
2006-12-18,MS,0.2
2006-12-18,TPR,0.2
2006-12-19,HAS,0.2
2006-12-19,IFF,0.2
2006-12-19,MAT,0.2
2006-12-19,MS,0.2
2006-12-19,TPR,0.2
2006-12-20,HAS,0.2
2006-12-20,IFF,0.2
2006-12-20,MAT,0.2
2006-12-20,MS,0.2
2006-12-20,TPR,0.2
2006-12-21,HAS,0.2
2006-12-21,IFF,0.2
2006-12-21,MAT,0.2
2006-12-21,MS,0.2
2006-12-21,TPR,0.2
2006-12-22,HAS,0.2
2006-12-22,IFF,0.2
2006-12-22,MAT,0.2
2006-12-22,MS,0.2
2006-12-22,TPR,0.2
2006-12-26,CI,0.2
2006-12-26,HAS,0.2
2006-12-26,IFF,0.2
2006-12-26,MAT,0.2
2006-12-26,SPGI,0.2
2006-12-27,CI,0.2
2006-12-27,HAS,0.2
2006-12-27,IFF,0.2
2006-12-27,MAT,0.2
2006-12-27,SPGI,0.2
2006-12-28,CI,0.2
2006-12-28,HAS,0.2
2006-12-28,IFF,0.2
2006-12-28,MAT,0.2
2006-12-28,SPGI,0.2
2006-12-29,CI,0.2
2006-12-29,HAS,0.2
2006-12-29,IFF,0.2
2006-12-29,MAT,0.2
2006-12-29,SPGI,0.2
2007-01-03,CSCO,0.2
2007-01-03,HAS,0.2
