cell_id,atr_cap,close_location_floor,trade_count,full_return,full_sharpe,full_win_rate
atr_03_loc_00,0.03,0.0,22,0.0741149084649868,1.1161570213302272,0.5454545454545454
atr_03_loc_25,0.03,0.25,19,0.08203140786369922,1.2670046504916608,0.631578947368421
atr_03_loc_50,0.03,0.5,16,0.08752161695391658,1.3557296165238497,0.6875
atr_03_loc_75,0.03,0.75,12,0.048944571369035295,0.9703442759563174,0.6666666666666666
atr_04_loc_00,0.04,0.0,34,0.11885844875693197,1.1409178657870538,0.5294117647058824
atr_04_loc_25,0.04,0.25,28,0.16361172228823762,1.6041472758405009,0.6071428571428571
atr_04_loc_50,0.04,0.5,24,0.1781196877193416,1.7640990067382811,0.6666666666666666
atr_04_loc_75,0.04,0.75,23,0.0978380470585869,1.2012512660833499,0.5217391304347826
atr_05_loc_00,0.05,0.0,39,0.08374515602049759,0.7187427275886186,0.48717948717948717
atr_05_loc_25,0.05,0.25,36,0.09700248106540044,0.8879622905085972,0.5
atr_05_loc_50,0.05,0.5,32,0.12747263267743336,1.1453864369545168,0.5625
atr_05_loc_75,0.05,0.75,27,0.09592110858881941,1.0986735746816485,0.5185185185185185
atr_06_loc_00,0.06,0.0,41,0.08232734233046557,0.6884018127628959,0.4878048780487805
atr_06_loc_25,0.06,0.25,38,0.10256430256854632,0.8912629518758567,0.5
atr_06_loc_50,0.06,0.5,34,0.12441045486942137,1.0867743040911493,0.5588235294117647
atr_06_loc_75,0.06,0.75,29,0.09468575662360745,1.0314876675365228,0.5172413793103449
atr_100_loc_00,1.0,0.0,45,0.059086776796761775,0.4830237441167233,0.4444444444444444
atr_100_loc_25,1.0,0.25,44,0.04324529175156977,0.37212244739274664,0.4090909090909091
atr_100_loc_50,1.0,0.5,39,0.10280880783754287,0.8782337186183424,0.48717948717948717
atr_100_loc_75,1.0,0.75,30,0.08954386270398063,0.944991810203379,0.5
