period,core_cap,start,end,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,monthly_win_rate,positive_year_rate,expected_shortfall_95,sessions,average_gross,max_gross,turnover,transactions
development_2006_2014,0.5,2006-01-03,2014-12-31,9867.33891904452,0.6445564865074198,0.05688851505988879,-0.11804894278219835,0.06685500459554236,0.861790434623822,1.0414982786339961,0.4819061799210582,0.5555555555555556,0.7777777777777778,-0.010586218451118106,2265,0.41155858581522464,0.6209768125518924,7.195031907179251,46
validation_2015_2019,0.5,2015-01-02,2019-12-31,7499.136978571661,0.2498561630952767,0.045673022212372016,-0.12363857619310392,0.06428300094252361,0.7278272185093707,0.8293530050585951,0.3694075394481895,0.65,0.8,-0.0107737452452383,1258,0.44391200560064104,0.604094056571538,5.302083643844668,30
final_2020_2025,0.5,2020-01-02,2025-12-31,8583.39843819112,0.4305664063651866,0.06153851456988502,-0.1244048802786043,0.07546089248515345,0.8313758218683692,0.9815628835164648,0.49466318710383167,0.5416666666666666,0.8333333333333334,-0.011858260572134016,1508,0.4048412950000233,0.5598062465169675,7.750020439938657,44
heldout_2026,0.5,2026-01-02,2026-08-07,6062.78957348157,0.010464928913594962,0.017677253084442013,-0.05202160770982067,0.0840888348644876,0.25144196176309946,0.37151776671725506,0.33980597414533364,0.5,1.0,-0.011018032949097048,150,0.43044736681639373,0.5195123516612861,1.462606342035063,6
full_2006_2025,0.5,2006-01-03,2025-12-31,17465.637682353234,1.9109396137255388,0.05489975661836777,-0.1321008637620722,0.0696104980503344,0.8039376413518421,0.9448163392393506,0.4155896869625933,0.575,0.8,-0.011211806390332457,5031,0.42141266814955236,0.6308264313034535,30.031981855997557,116
development_2006_2014,0.6,2006-01-03,2014-12-31,10754.588899430939,0.7924314832384898,0.06705831301931964,-0.13130329743038782,0.07599794180749678,0.892852790340504,1.0893892363481672,0.5107130919912464,0.5555555555555556,0.8888888888888888,-0.011972155470417732,2265,0.47530691644300077,0.7112387528509596,8.95171445596786,54
validation_2015_2019,0.6,2015-01-02,2019-12-31,7781.566564011142,0.29692776066852367,0.0534429348614045,-0.14840535020459789,0.07617951727813198,0.7224865114057245,0.8226182943170931,0.36011461034070413,0.65,0.8,-0.012781874478881164,1258,0.5268770473095956,0.6973906194899714,6.534643512003841,30
final_2020_2025,0.6,2020-01-02,2025-12-31,9079.838288525414,0.5133063814209022,0.0715399075129115,-0.14406709748207724,0.08836104581178444,0.8284347485708995,0.9752088405397148,0.49657353249454805,0.5416666666666666,0.8333333333333334,-0.013942179765532393,1508,0.4771543974206374,0.6561276254494546,10.090466169938338,45
heldout_2026,0.6,2026-01-02,2026-08-07,6073.995256650012,0.012332542775002064,0.020845218664191423,-0.06231961988783741,0.100753038377605,0.2561407102434892,0.3790496731084954,0.3344888608388267,0.5,1.0,-0.013198352344272288,150,0.5156723239655266,0.6186751942443582,1.7520300957737973,6
full_2006_2025,0.6,2006-01-03,2025-12-31,20872.730748025864,2.4787884580043107,0.0643452423973645,-0.15623758016304956,0.08059936084720505,0.8153959041115596,0.9596113322625941,0.4118422874331118,0.575,0.85,-0.012975564532585946,5031,0.49230245547409923,0.7198065528888096,41.557006381090545,125
development_2006_2014,0.7,2006-01-03,2014-12-31,11826.292466443621,0.9710487444072702,0.07839175009118571,-0.14800401354323767,0.08713378641017964,0.9105614655050207,1.1108990749818564,0.5296596235093616,0.5555555555555556,0.8888888888888888,-0.013730370144755802,2265,0.5460555526982648,0.7936374641197022,11.423434294278797,58
validation_2015_2019,0.7,2015-01-02,2019-12-31,8062.711346017149,0.3437852243361914,0.06095663375119287,-0.17258626682128708,0.08802607763208824,0.7172041134851054,0.8158137446812783,0.35319515784134436,0.65,0.8,-0.014771513395827149,1258,0.6085184661836293,0.7838654800882053,7.775390413741929,30
final_2020_2025,0.7,2020-01-02,2025-12-31,9591.024195808026,0.5985040326346711,0.08137305618753832,-0.1633290175164155,0.10121913449181949,0.8257999753728754,0.9691025290819784,0.4982155493549079,0.5416666666666666,0.8333333333333334,-0.01600993668222703,1508,0.5482339651624725,0.7480659672071512,12.436972466713867,45
heldout_2026,0.7,2026-01-02,2026-08-07,6084.750359204437,0.014125059867406087,0.023889557937033512,-0.0725826187394375,0.11737344206267605,0.2608083910355804,0.38654598002639323,0.32913607075536955,0.5,1.0,-0.015371685324703482,150,0.6006283764241531,0.7163416877632323,2.040421716136258,6
full_2006_2025,0.7,2006-01-03,2025-12-31,25100.45019165739,3.1834083652762315,0.07421022191560245,-0.17936039836929207,0.09237577371411769,0.8225638338949954,0.9671674090493647,0.4137492032260552,0.575,0.85,-0.014883119545087623,5031,0.5654199857026025,0.8004506318517236,56.165919144640455,129
development_2006_2014,0.8,2006-01-03,2014-12-31,12660.514839211824,1.110085806535304,0.08659826320527775,-0.16191384954812604,0.09593544420115994,0.914542525215283,1.1131988595425655,0.5348416052546384,0.5555555555555556,0.8888888888888888,-0.015116799234684938,2265,0.601735017851365,0.8610061619054848,13.910297429985949,68
validation_2015_2019,0.8,2015-01-02,2019-12-31,8275.068540300463,0.37917809005007697,0.0664942435202478,-0.1915857687365602,0.09809292108717,0.7063452138684968,0.8013762599963807,0.3470729791609973,0.65,0.8,-0.0164830195042071,1258,0.6767287821991987,0.8539409343319189,9.274016020217648,41
final_2020_2025,0.8,2020-01-02,2025-12-31,10149.361386260141,0.6915602310433568,0.09162625196875629,-0.17454122746625433,0.11130615162164038,0.8456764525331435,0.9906717674366805,0.5249547817375768,0.5416666666666666,0.8333333333333334,-0.017535709112926845,1508,0.6059774903968745,0.8353803456826142,14.698125807192296,52
heldout_2026,0.8,2026-01-02,2026-08-07,6098.2565141980795,0.016376085699679965,0.02771781997522127,-0.0790895741524359,0.13180686278117523,0.2743540111830586,0.4058329476912315,0.3504611103582176,0.5,1.0,-0.017295313187605965,150,0.6761202805490735,0.812545482723475,2.388836040903246,10
full_2006_2025,0.8,2006-01-03,2025-12-31,29237.014627675657,3.8728357712792763,0.08243846655763831,-0.19291876048113565,0.10144013604932825,0.8331163148001866,0.9790559970089643,0.42732218656204496,0.575,0.85,-0.01633339735128124,5031,0.62240964372262,0.8610061619054848,71.58425876608209,156
development_2006_2014,0.9,2006-01-03,2014-12-31,13566.413410279722,1.261068901713287,0.09498245441155806,-0.1783971647968451,0.10614687665539485,0.9087912297201122,1.1007113728270266,0.5324213225009605,0.5555555555555556,0.8888888888888888,-0.016758425038119317,2265,0.6643549561620635,0.9345023924963942,17.217091776962576,74
validation_2015_2019,0.9,2015-01-02,2019-12-31,8142.566112109975,0.3570943520183292,0.06305252875061385,-0.21238240134611808,0.10669089523142984,0.6274023654139553,0.6970766494778344,0.29688207851015674,0.65,0.6,-0.01812941783768934,1258,0.7201558074866381,0.9274275389725659,11.82041991618048,51
final_2020_2025,0.9,2020-01-02,2025-12-31,10604.183104127556,0.7673638506879261,0.09963670593364982,-0.18672602351413758,0.12302271219098808,0.8359659289475471,0.973288034659394,0.5335983922246704,0.5416666666666666,0.8333333333333334,-0.019467428911053054,1508,0.6693622204139412,0.9196743678833843,17.73815323304405,59
heldout_2026,0.9,2026-01-02,2026-08-07,6117.832140144803,0.019638690024133876,0.0332767362894304,-0.081645012373319,0.14426615146795085,0.30017575879562897,0.4416059557597677,0.40757831154796903,0.5,1.0,-0.01902879663962251,150,0.742303765772978,0.9073192281474969,2.780137072468433,10
full_2006_2025,0.9,2006-01-03,2025-12-31,32189.410791586262,4.36490179859771,0.08765979615551123,-0.21238240134611563,0.11170908423964629,0.8095298566587561,0.9427473584411058,0.41274510317196056,0.575,0.8,-0.018074618260344788,5031,0.6802412005049908,0.9345023924963942,92.67125896428173,180
development_2006_2014,1.0,2006-01-03,2014-12-31,14015.609828358263,1.3359349713930437,0.09895674624050499,-0.18592185906152514,0.11099223850565494,0.9065443056775062,1.095544838147957,0.5322491219698825,0.5555555555555556,0.8888888888888888,-0.017542188586103357,2265,0.6938599384634142,0.969398536566801,18.79572492154619,74
validation_2015_2019,1.0,2015-01-02,2019-12-31,8111.811156252882,0.351968526042147,0.06224727850988354,-0.22262840877258472,0.11148061807619208,0.5983661995906379,0.660820107694332,0.27960168629453414,0.6333333333333333,0.6,-0.019009314077878762,1258,0.7516117328648702,0.9643236460608162,12.799108757879614,51
final_2020_2025,1.0,2020-01-02,2025-12-31,10859.093882869009,0.8098489804781681,0.10400184912190169,-0.19202031895856775,0.12851449163505196,0.8365710345739207,0.9714949040070332,0.5416189791057591,0.5416666666666666,0.8333333333333334,-0.020368614730162587,1508,0.6990381707262603,0.9604817151718299,19.17769169571472,59
heldout_2026,1.0,2026-01-02,2026-08-07,6127.597820885932,0.02126630348098879,0.036054458492704056,-0.08291947033422897,0.15057160866647837,0.3117066931202486,0.4571709527439541,0.43481293775004803,0.5,1.0,-0.019944512442801918,150,0.7752725794210519,0.9541797703945647,2.9756194633576,10
full_2006_2025,1.0,2006-01-03,2025-12-31,33916.77440226367,4.652795733710612,0.09050740219210729,-0.22262840877258283,0.11673593518356501,0.8020534621864848,0.9311617347476384,0.4065402196022589,0.5708333333333333,0.8,-0.018923427431652262,5031,0.710266809956121,0.969398536566801,102.9711721631574,180
