rs20_min,volume_ratio_min,max_extension,max_hold_days,exception_target_weight,stop_loss,repair_rs10_min,breadth_min,breadth_count_min,max_atr_pct,min_close_location,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,quality_score
0.05,1.2,0.12,20,0.05,0.08,0.02,0.6,3,1.0,0.0,6516.494105422477,0.08608235090374627,0.042241289047727726,-0.03682612353692083,0.04476897935462613,0.9483514191301532,0.8228015448469815,34,0.5,0.1342856414622323,-0.06647686512639649,2.0745100880318526,2,0.0,-0.036998821636866505,0.06364357567291841,4.913018988135905,97.47872790164874,0.11866336919228265
0.05,1.2,0.12,20,0.05,0.08,0.04,0.6,3,1.0,0.0,6516.494105422477,0.08608235090374627,0.042241289047727726,-0.03682612353692083,0.04476897935462613,0.9483514191301532,0.8228015448469815,34,0.5,0.1342856414622323,-0.06647686512639649,2.0745100880318526,2,0.0,-0.036998821636866505,0.06364357567291841,4.913018988135905,97.47872790164874,0.11866336919228265
0.05,1.2,0.12,20,0.03,0.08,0.02,0.6,2,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.02,0.4,2,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.02,0.6,3,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.04,0.6,2,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.04,0.4,2,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.02,0.4,3,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.04,0.4,3,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.03,0.08,0.04,0.6,3,1.0,0.0,6494.438807723084,0.08240646795384743,0.04047241435310833,-0.03995528755129685,0.04636024716109665,0.8806397261869446,0.7920501685426169,33,0.5151515151515151,0.1342856414622323,-0.07132370388098724,1.9834998552650691,0,,,0.06340190849401137,4.905954370504449,95.43631609815051,0.10931631895373015
0.05,1.2,0.12,20,0.05,0.08,0.04,0.4,3,1.0,0.0,6458.242554760986,0.07637375912683098,0.037562900699339874,-0.03682612353692083,0.04407754423277117,0.8602536544930024,0.7378896196128368,34,0.5,0.13593594803289294,-0.06647686512639649,1.9533240412364647,3,0.3333333333333333,0.14606736899689068,0.06264995544341775,4.858938724129564,97.15418774151988,0.1051752043801797
0.05,1.2,0.12,20,0.05,0.08,0.04,0.6,2,1.0,0.0,6478.195578008744,0.07969926300145724,0.039167760585396616,-0.042649440958022256,0.04680520382718685,0.8458510149619439,0.7577892330641787,34,0.5,0.1342856414622323,-0.07131229049123411,1.9214192041687361,1,0.0,-0.07109209158391903,0.06442663765656517,4.978773174682896,97.87321511689049,0.10242814160257989
0.05,1.2,0.12,20,0.05,0.08,0.02,0.6,2,1.0,0.0,6478.195578008744,0.07969926300145724,0.039167760585396616,-0.042649440958022256,0.04680520382718685,0.8458510149619439,0.7577892330641787,34,0.5,0.1342856414622323,-0.07131229049123411,1.9214192041687361,1,0.0,-0.07109209158391903,0.06442663765656517,4.978773174682896,97.87321511689049,0.10242814160257989
0.05,1.2,0.12,20,0.05,0.08,0.02,0.4,3,1.0,0.0,6449.898510334883,0.07498308505581397,0.036891039682413806,-0.0368749431025146,0.04417211121226806,0.8438121491569387,0.7224110839818749,35,0.4857142857142857,0.1359337191106367,-0.06430779463373812,1.9202975919259986,4,0.25,0.10269212768303157,0.0628936696481066,4.955464745575105,99.73333810529905,0.10212049733256467
0.05,1.2,0.12,20,0.05,0.08,0.04,0.4,2,1.0,0.0,6405.065334552314,0.06751088909205238,0.03327363120721083,-0.04503056207877765,0.046267071184768874,0.7319552425116751,0.6495320707033729,35,0.4857142857142857,0.1359337191106367,-0.07088420188763528,1.758982584151761,3,0.3333333333333333,0.12583365435134367,0.06357446411946825,4.997828226432862,99.98747441140614,0.08323958870470381
0.05,1.2,0.12,20,0.05,0.08,0.02,0.4,2,1.0,0.0,6396.721290126209,0.06612021502103493,0.032598990867468425,-0.04509025808443856,0.04636297466215573,0.7164209618360448,0.6346591139451472,36,0.4722222222222222,0.13593144861178402,-0.06859732790715689,1.7321222760876105,4,0.25,0.08751684169887129,0.0638196557845033,5.094354247878404,102.56662477518535,0.08030706911996474
0.05,1.0,0.12,10,0.05,0.08,0.02,0.4,2,1.0,0.0,6356.561179593815,0.05942686326563584,0.029345768735570044,-0.0390965385466836,0.042919760228225495,0.696679235660815,0.59615822133898,51,0.5098039215686274,0.09920729434765992,-0.0627326251325985,1.5230488193188019,4,0.75,0.14784154383312764,0.05871392758636129,7.239086547489402,145.43502128113732,0.07995561910674112
0.05,1.0,0.12,10,0.05,0.08,0.02,0.6,2,1.0,0.0,6356.149807995836,0.05935830133263931,0.029312392060979908,-0.03949733269115596,0.04286920801558918,0.6966925904321651,0.5925625538877269,49,0.5102040816326531,0.10260309177582394,-0.06491396223629475,1.524081227134329,2,1.0,0.2937171756664198,0.058391021324290804,7.088443648823842,140.53115857390964,0.0797431888402511
0.05,1.0,0.12,10,0.05,0.08,0.04,0.4,2,1.0,0.0,6342.168155509535,0.05702802591825584,0.02817734776136338,-0.041466757942859145,0.04275576575978018,0.6725694201529667,0.571154223786027,50,0.5,0.10104423014730597,-0.0627373918366049,1.502163960004647,3,0.6666666666666666,0.1793607586586675,0.058309510611523764,7.140025392404729,142.84063736322128,0.07470091080523049
0.05,1.0,0.12,10,0.05,0.08,0.04,0.6,2,1.0,0.0,6340.238292309612,0.056706382051602056,0.02802058154606457,-0.04211452921481429,0.04267798412575991,0.6701376053484273,0.5652825346467321,48,0.5,0.10463221377212288,-0.06491892755296809,1.5008959055225264,1,1.0,0.5335301874681905,0.05795442133258962,6.980797755367955,137.8852646557647,0.07397707747350016
0.05,1.0,0.12,10,0.05,0.08,0.02,0.4,3,1.0,0.0,6329.220068835331,0.054870011472555325,0.02712509530340923,-0.041466757942859145,0.04320972779147751,0.6422090112521576,0.5488153986908774,51,0.5098039215686274,0.09856407335747251,-0.06485440535571098,1.468189274618413,4,0.75,0.1436606073969095,0.05816311734970254,7.207023775280509,145.242617114369,0.0711028135356268
0.05,1.0,0.12,10,0.05,0.08,0.04,0.4,3,1.0,0.0,6329.220068835331,0.054870011472555325,0.02712509530340923,-0.041466757942859145,0.04320972779147751,0.6422090112521576,0.5488153986908774,51,0.5098039215686274,0.09856407335747251,-0.06485440535571098,1.468189274618413,4,0.75,0.1436606073969095,0.05816311734970254,7.207023775280509,145.242617114369,0.0711028135356268
0.05,1.0,0.12,10,0.05,0.08,0.04,0.6,3,1.0,0.0,6327.290205635409,0.05454836760590154,0.02696816912231359,-0.04211452921481429,0.04313305511077871,0.6397246491944525,0.5431082120685354,49,0.5102040816326531,0.10190933136570339,-0.06712414996870357,1.4668575129920798,2,1.0,0.285045170539913,0.057808007265668745,7.0477961382437355,140.28724440691246,0.07039357351598435
0.05,1.0,0.12,10,0.05,0.08,0.02,0.6,3,1.0,0.0,6327.290205635409,0.05454836760590154,0.02696816912231359,-0.04211452921481429,0.04313305511077871,0.6397246491944525,0.5431082120685354,49,0.5102040816326531,0.10190933136570339,-0.06712414996870357,1.4668575129920798,2,1.0,0.285045170539913,0.057808007265668745,7.0477961382437355,140.28724440691246,0.07039357351598435
0.05,1.2,0.12,10,0.03,0.08,0.04,0.4,2,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.04,0.4,3,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.04,0.6,3,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.04,0.6,2,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.02,0.6,2,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.02,0.6,3,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.02,0.4,3,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.03,0.08,0.02,0.4,2,1.0,0.0,6217.616503027602,0.03626941717126697,0.01801050371765256,-0.0432214675192919,0.036157048228725994,0.5127663859976025,0.37953807695075675,40,0.475,0.09727013518076133,-0.06568338800330512,1.3678371527294992,0,,,0.050365623198216504,5.783100800260963,114.69893711700591,0.04642640855776686
0.05,1.2,0.12,10,0.05,0.08,0.04,0.6,2,1.0,0.0,6216.869684189205,0.03614494736486762,0.01794923774919277,-0.0433448904098237,0.036238315358086914,0.5100336055753926,0.3844675573977968,41,0.4634146341463415,0.09727013518076133,-0.06284468873408795,1.3661126434314732,1,0.0,-0.0032320040805274256,0.05120043145211382,5.859999628258908,117.16033179956943,0.045450884809137254
0.05,1.2,0.12,10,0.05,0.08,0.02,0.6,2,1.0,0.0,6216.869684189205,0.03614494736486762,0.01794923774919277,-0.0433448904098237,0.036238315358086914,0.5100336055753926,0.3844675573977968,41,0.4634146341463415,0.09727013518076133,-0.06284468873408795,1.3661126434314732,1,0.0,-0.0032320040805274256,0.05120043145211382,5.859999628258908,117.16033179956943,0.045450884809137254
