cost_bps,variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
0.0,baseline,zero_return,validation_2015_2019,0.011496519954370621,0.0022924457108524088,0.16187246037290667,0.0954394591965304,0.14232227981056417,-0.3428161826420565,0.006687098879594061,0.45,-0.026221631724851337,45.43211446740859,0.7782193958664547
0.0,baseline,zero_return,final_2020_2025,0.8109649178289653,0.10440311778790701,0.24825048540745284,0.5251283587445024,0.8011379756146022,-0.28805607884389817,0.36244025193609813,0.3888888888888889,-0.03924552329160382,46.620836098208365,0.7199734571997346
0.0,baseline,zero_return,full_2006_2025,0.7389111886064306,0.028105670561342277,0.19879330087260935,0.2394611503025316,0.35601075599031096,-0.552017220223143,0.0509144815264659,0.4041666666666667,-0.03241945077958255,42.70974155069583,0.6769383697813122
10.0,baseline,zero_return,validation_2015_2019,-0.19406172629893015,-0.04229762727960695,0.1622934409405949,-0.18474618701061024,-0.2729688050544771,-0.37551413725056426,-0.11263924066694614,0.43333333333333335,-0.02650052634287369,45.43211446740859,0.7782193958664547
10.0,baseline,zero_return,final_2020_2025,0.3704488510445685,0.05411053449525993,0.2482106957182841,0.3373848722312113,0.5110550755612145,-0.35039553930786593,0.15442700726768419,0.375,-0.03946960211062303,46.620836098208365,0.7199734571997346
10.0,baseline,zero_return,full_2006_2025,-0.2588899642165803,-0.014898000465253136,0.19885997589643903,0.024607922869531583,0.03630574257256497,-0.6495798817303351,-0.02293482431378294,0.38333333333333336,-0.032639882696984444,42.70974155069583,0.6769383697813122
20.0,baseline,zero_return,validation_2015_2019,-0.35802719034069386,-0.08495569198024544,0.16300822501093853,-0.46264664775629877,-0.6777888398754597,-0.45671260840533523,-0.18601564838964713,0.4,-0.0268341630708265,45.43211446740859,0.7782193958664547
20.0,baseline,zero_return,final_2020_2025,0.03669435962507284,0.006044313000208135,0.24839171696300028,0.14944821114407178,0.22482840026042566,-0.45952289452775086,0.013153453445273584,0.3472222222222222,-0.0397143389527283,46.620836098208365,0.7199734571997346
20.0,baseline,zero_return,full_2006_2025,-0.6844989108362798,-0.05615595072949697,0.19917187008136766,-0.18986722666484127,-0.27807224087022936,-0.7956741241707936,-0.07057657026112231,0.3625,-0.03289591561596316,42.70974155069583,0.6769383697813122
50.0,baseline,zero_return,validation_2015_2019,-0.6760913035545701,-0.20213603080993647,0.1668698900046427,-1.2687223096650366,-1.8126111854224196,-0.7173990721056565,-0.2817623254190193,0.31666666666666665,-0.02794947349853138,45.43211446740859,0.7782193958664547
50.0,baseline,zero_return,final_2020_2025,-0.5522659321720844,-0.12573375058559766,0.2502519321687027,-0.41054951960266717,-0.605208747708959,-0.7126171563660548,-0.17643940994456098,0.2777777777777778,-0.040630252373990365,46.620836098208365,0.7199734571997346
50.0,baseline,zero_return,full_2006_2025,-0.9758221092533103,-0.17012969135351497,0.20156300986310505,-0.8232931000920829,-1.1799330861876376,-0.9800256220228916,-0.17359718718613365,0.25833333333333336,-0.0339154966001697,42.70974155069583,0.6769383697813122
0.0,dual_rv40_p60,zero_return,validation_2015_2019,0.05947583349299079,0.011640456931272247,0.12836177606133897,0.1545743184806418,0.22972183894366663,-0.2617481670420039,0.04447197114241588,0.5166666666666667,-0.020728635488190504,45.35198728139905,0.7782193958664547
0.0,dual_rv40_p60,zero_return,final_2020_2025,0.585299549460254,0.08009646807658988,0.16604341977627332,0.547388374294914,0.8369592388473801,-0.2469805286596829,0.32430276391122176,0.4305555555555556,-0.026622930689303635,47.42349037823491,0.7199734571997346
0.0,dual_rv40_p60,zero_return,full_2006_2025,1.852664933410546,0.05392035341916834,0.14084442945195752,0.44353785150130454,0.6688299133487636,-0.3047875468587875,0.17691127467274909,0.4625,-0.022849722889126917,43.10218687872764,0.6759443339960238
10.0,dual_rv40_p60,zero_return,validation_2015_2019,-0.15556085036364675,-0.033303105893502716,0.12903585069349965,-0.19770128294305073,-0.29056649659566264,-0.32482438047033435,-0.10252649707291363,0.45,-0.021044144429210418,45.35198728139905,0.7782193958664547
10.0,dual_rv40_p60,zero_return,final_2020_2025,0.19390382642104087,0.03007959947693606,0.16602174953514057,0.2618135717589644,0.39573215940313405,-0.2763818939459871,0.10883346606928769,0.4027777777777778,-0.02683994846484256,47.42349037823491,0.7199734571997346
10.0,dual_rv40_p60,zero_return,full_2006_2025,0.20629041369962509,0.009440419244023168,0.14098951792780068,0.13736942320945184,0.20466929028322664,-0.38663060495340396,0.024417154573577824,0.42916666666666664,-0.023122740464097465,43.10218687872764,0.6759443339960238
20.0,dual_rv40_p60,zero_return,validation_2015_2019,-0.3271418650088277,-0.07630203423057091,0.13007466278481644,-0.5447835803839857,-0.7920126467043479,-0.3825788562204051,-0.19944132559854022,0.38333333333333336,-0.021390048179949304,45.35198728139905,0.7782193958664547
