symbol,theme,coverage,has_point_in_time_event,technical_valid_days,breakout_days,pullback_days,trend_days,chased_days,latest_close,latest_ma20,latest_ma50,latest_ma200,latest_rs20_vs_qqq,latest_technical_valid,latest_path,latest_reason,latest_chased,v9_status
ALAB,interconnect_custom_silicon,covered,True,47,4,7,36,37,412.9700012207031,405.95449981689455,325.16659973144533,199.76365016937257,0.2011515161522961,True,trend,,False,event_and_technical_candidate
AMD,ai_compute,covered,True,44,1,0,43,26,557.8900146484375,530.9534957885742,481.8955993652344,287.6637496185303,0.18615867719876134,True,trend,,False,event_and_technical_candidate
SNDK,memory_storage,covered,True,43,3,2,38,33,1915.9200439453125,1982.3455017089843,1688.243798828125,745.2264503860474,0.11892762028897197,False,none,technical_not_confirmed,False,not_technically_confirmed
MU,memory_storage,covered,True,42,7,4,31,36,979.2999877929688,1053.437222290039,898.9240441894531,464.30017684936524,0.051166546137244584,False,none,technical_not_confirmed,False,not_technically_confirmed
STX,memory_storage,covered,True,42,8,5,29,29,910.3400268554688,952.8077789306641,868.2855505371094,472.2589469909668,0.06940197742102572,False,none,technical_not_confirmed,False,not_technically_confirmed
WDC,memory_storage,covered,True,42,5,2,35,28,582.5850219726562,622.1347503662109,546.2102398681641,301.87881092071535,0.14171072020313202,False,none,technical_not_confirmed,False,not_technically_confirmed
CRDO,interconnect_transmission,covered,True,41,4,4,33,27,257.7900085449219,259.8787483215332,224.89919982910158,161.01495018005372,0.03758965362099187,True,trend,,False,event_and_technical_candidate
MRVL,interconnect_custom_silicon,covered,True,40,4,0,36,30,235.80999755859372,272.10828018188477,231.41367462158203,126.6773723602295,-0.11322141527713303,False,none,technical_not_confirmed,False,not_technically_confirmed
TTMI,pcb_electronics_manufacturing,covered,True,36,0,0,36,27,146.44000244140625,184.88750152587892,176.02660095214844,106.94869998931885,-0.19621817029409627,False,none,technical_not_confirmed,False,not_technically_confirmed
COHR,optical_interconnect,covered,True,34,2,3,29,11,324.5,370.35049896240236,368.39840026855467,242.18935012817383,-0.13234283174850914,False,none,technical_not_confirmed,False,not_technically_confirmed
INTC,ai_compute_foundry,covered,False,34,3,2,29,26,109.83999633789062,124.57599983215331,117.00339981079101,62.46519995689392,-0.020861572372588677,False,none,technical_not_confirmed,False,not_technically_confirmed
LRCX,semiconductor_equipment,covered,True,34,4,1,29,22,350.3299865722656,374.3116424560547,329.1420672607422,227.93478630065917,0.04240447934678815,False,none,technical_not_confirmed,False,not_technically_confirmed
AMAT,semiconductor_equipment,covered,True,33,5,2,26,21,602.5,608.7169952392578,507.9907421875,348.6583238220215,0.16522925187477222,False,none,technical_not_confirmed,False,not_technically_confirmed
ASML,semiconductor_equipment,covered,True,30,3,3,24,14,1797.3199462890625,1839.542498779297,1683.27759765625,1333.7880395507811,-0.010616808495304886,False,none,technical_not_confirmed,False,not_technically_confirmed
MXL,optical_interconnect,covered,True,30,3,2,25,23,91.3000030517578,93.42850074768066,90.02940032958985,36.402000050544736,0.22191688305279444,False,none,technical_not_confirmed,False,not_technically_confirmed
QCOM,edge_inference,covered,False,26,5,0,21,22,189.16000366210935,198.71650009155275,206.43517486572264,167.54503105163573,-0.05768939594701772,False,none,technical_not_confirmed,False,not_technically_confirmed
GLW,optical_network,covered,False,25,4,2,19,13,190.88999938964844,201.30900039672852,190.6975485229492,129.67102378845215,0.088081419408365,False,none,technical_not_confirmed,False,not_technically_confirmed
NOK,network_infrastructure,covered,False,25,2,0,23,21,12.4399995803833,13.343999910354615,13.925799980163575,8.787999992370606,-0.11866177075520046,False,none,technical_not_confirmed,False,not_technically_confirmed
SMCI,ai_server_rack,covered,False,25,2,1,22,19,28.309999465942383,29.749499797821045,33.421599807739256,34.566099910736085,-0.07981809497472547,False,none,technical_not_confirmed,False,not_technically_confirmed
KLAC,semiconductor_equipment,covered,True,23,5,0,18,19,231.5200042724609,248.1577003479004,212.84340698242187,154.80321441650392,0.03705790956246813,False,none,technical_not_confirmed,False,not_technically_confirmed
ORCL,ai_factory_cloud,covered,True,23,2,1,20,12,140.63999938964844,159.6470588684082,182.4422756958008,194.30337509155274,-0.34579127410510446,False,none,technical_not_confirmed,False,not_technically_confirmed
RDW,space_satellite,covered,False,22,8,1,13,19,10.18000030517578,12.380000066757201,14.122800083160401,10.079250009059907,-0.3624200835314736,False,none,technical_not_confirmed,False,not_technically_confirmed
RKLB,space_satellite,covered,False,22,2,0,20,15,81.04000091552734,95.79750061035156,107.09419982910157,76.79390008926391,-0.2755778181247375,False,none,technical_not_confirmed,False,not_technically_confirmed
TER,semiconductor_test,covered,True,22,2,1,19,12,359.6000061035156,411.30049896240234,380.8338464355469,273.7488339233398,-0.012467744057554464,False,none,technical_not_confirmed,False,not_technically_confirmed
AAOI,optical_interconnect,covered,False,21,3,5,13,11,119.91999816894533,146.2900005340576,165.89940048217773,84.4709252166748,-0.36227153180783067,False,none,technical_not_confirmed,False,not_technically_confirmed
AXTI,optical_interconnect,covered,True,20,1,0,19,17,57.209999084472656,75.62099990844726,94.94580001831055,43.37970004081726,-0.3762496797090771,False,none,technical_not_confirmed,False,not_technically_confirmed
KO,consumer_defensive_beverages,covered,False,19,0,0,19,2,83.48999786376953,81.69852867126465,80.26379272460937,73.91012401580811,-0.041767643945579636,False,none,technical_not_confirmed,False,not_technically_confirmed
TSLA,physical_ai_autonomy,covered,False,19,0,0,19,6,407.760009765625,400.8754959106446,409.1963989257813,418.1399000549316,0.021561522801283983,False,none,technical_not_confirmed,False,not_technically_confirmed
NVDA,ai_compute,covered,True,14,0,0,14,3,210.9600067138672,201.95149917602538,209.0737417602539,191.468422164917,0.005569630211362364,True,trend,,False,event_and_technical_candidate
LITE,optical_interconnect,covered,True,10,1,1,8,7,802.010009765625,828.5519958496094,887.5180004882812,557.3540000152587,-0.1070837296156969,False,none,technical_not_confirmed,False,not_technically_confirmed
AVGO,interconnect_custom_silicon,covered,True,9,1,0,8,4,399.9700012207031,382.57791900634766,405.9760382080078,361.2549252319336,0.02958044578729435,False,none,technical_not_confirmed,False,not_technically_confirmed
DRAM,memory_storage,covered,False,0,0,0,0,0,63.040000915527344,68.58450050354004,60.0710001373291,,0.0518122038268356,False,unready,missing_data,False,not_technically_confirmed
