date,v7_full_hybrid
2000-01-03,1.0
2000-01-04,1.0
2000-01-05,1.0
2000-01-06,1.0
2000-01-07,1.0
2000-01-10,1.0
2000-01-11,1.0
2000-01-12,1.0
2000-01-13,1.0
2000-01-14,1.0
2000-01-18,1.0
2000-01-19,1.0
2000-01-20,1.0
2000-01-21,1.0
2000-01-24,1.0
2000-01-25,1.0
2000-01-26,1.0
2000-01-27,1.0
2000-01-28,1.0
2000-01-31,1.0
2000-02-01,0.99965
2000-02-02,0.99965
2000-02-03,0.99965
2000-02-04,0.99965
2000-02-07,0.99965
2000-02-08,0.99965
2000-02-09,0.99965
2000-02-10,0.99965
2000-02-11,0.99965
2000-02-14,0.99965
2000-02-15,0.99965
2000-02-16,0.99965
2000-02-17,0.99965
2000-02-18,0.99965
2000-02-22,0.99965
2000-02-23,0.99965
2000-02-24,0.99965
2000-02-25,0.99965
2000-02-28,0.99965
2000-02-29,0.99965
2000-03-01,0.99965
2000-03-02,0.99965
2000-03-03,0.99965
2000-03-06,0.99965
2000-03-07,0.99965
2000-03-08,0.99965
2000-03-09,0.99965
2000-03-10,0.99965
2000-03-13,0.99965
2000-03-14,0.99965
2000-03-15,0.99965
2000-03-16,0.99965
2000-03-17,0.99965
2000-03-20,0.99965
2000-03-21,0.99965
2000-03-22,0.99965
2000-03-23,0.99965
2000-03-24,0.99965
2000-03-27,0.99965
2000-03-28,0.99965
2000-03-29,0.99965
2000-03-30,0.99965
2000-03-31,0.99965
2000-04-03,0.99965
2000-04-04,0.99965
2000-04-05,0.99965
2000-04-06,0.99965
2000-04-07,0.99965
2000-04-10,0.99965
2000-04-11,0.99965
2000-04-12,0.99965
2000-04-13,0.99965
2000-04-14,0.99965
2000-04-17,0.99965
2000-04-18,0.99965
2000-04-19,0.99965
2000-04-20,0.99965
2000-04-24,0.99965
2000-04-25,0.99965
2000-04-26,0.99965
2000-04-27,0.99965
2000-04-28,0.99965
2000-05-01,0.99965
2000-05-02,0.99965
2000-05-03,0.99965
2000-05-04,0.99965
2000-05-05,0.99965
2000-05-08,0.99965
2000-05-09,0.99965
2000-05-10,0.99965
2000-05-11,0.99965
2000-05-12,0.99965
2000-05-15,0.99965
2000-05-16,0.99965
2000-05-17,0.99965
2000-05-18,0.99965
2000-05-19,0.99965
2000-05-22,0.99965
2000-05-23,0.99965
2000-05-24,0.99965
2000-05-25,0.99965
2000-05-26,0.99965
2000-05-30,1.0009962022244474
2000-05-31,1.0018413193234106
2000-06-01,1.0029070635514485
2000-06-02,1.0050217059223636
2000-06-05,1.0043908766085365
2000-06-06,1.0040740647091555
2000-06-07,1.0042646510956716
2000-06-08,1.0035034131235478
2000-06-09,1.0034715502376654
2000-06-12,1.0037587031835862
2000-06-13,1.0039178908674204
2000-06-14,1.0041405249670647
2000-06-15,1.002997633541103
2000-06-16,1.0012683218076472
2000-06-19,1.0020145761488122
2000-06-20,1.000756230485248
2000-06-21,1.0008350207278018
2000-06-22,1.00005267355927
2000-06-23,0.999855866375846
2000-06-26,1.0000857357330206
2000-06-27,1.0000530242314802
2000-06-28,0.9996594877824877
2000-06-29,0.9992318933562307
2000-06-30,0.9984070058776151
2000-07-03,0.997610085889933
2000-07-05,0.9986456630165993
2000-07-06,0.9984136766263074
2000-07-07,0.9997418854800023
2000-07-10,0.9998733338245606
2000-07-11,1.0003660556663891
2000-07-12,1.0004314209733045
2000-07-13,1.0006603553460494
2000-07-14,1.0008235607959033
2000-07-17,0.9996498064335908
2000-07-18,0.9993536289547621
2000-07-19,0.9994855721181933
2000-07-20,1.0003749998011124
2000-07-21,0.9994915194550129
2000-07-24,0.9988326865500586
2000-07-25,0.9990644512127844
2000-07-26,0.9986348236029278
2000-07-27,0.9992316542857632
2000-07-28,0.9972513226766122
2000-07-31,0.9982900392506713
2000-08-01,0.9992542872213932
2000-08-02,1.0004424445318525
2000-08-03,1.0007369322295072
2000-08-04,1.0021077362782496
2000-08-07,1.0032062580720147
2000-08-08,1.0028537445055676
2000-08-09,1.0021470097742113
2000-08-10,1.0024053323524078
2000-08-11,1.0035657399481794
2000-08-14,1.0045883859391063
2000-08-15,1.0042078045599163
2000-08-16,1.00319019760012
2000-08-17,1.0039593201863137
2000-08-18,1.0038000172684503
2000-08-21,1.004150927400084
2000-08-22,1.0045327207318282
2000-08-23,1.0042154450984528
2000-08-24,1.0039610517456121
2000-08-25,1.0038336588358643
2000-08-28,1.004407657735112
2000-08-29,1.0038361317829847
2000-08-30,1.003931789299605
2000-08-31,1.0051109769039692
2000-09-01,1.0048582363536416
2000-09-05,1.004984902534198
2000-09-06,1.005301081336166
2000-09-07,1.0050486873178144
2000-09-08,1.0058072297380491
2000-09-11,1.0066242877750784
2000-09-12,1.0068116848263418
2000-09-13,1.0063750673848404
2000-09-14,1.0059369297226761
2000-09-15,1.0050578366290284
2000-09-18,1.0033511929774859
2000-09-19,1.0030949750885731
2000-09-20,1.00180863343103
2000-09-21,1.0014835526763743
2000-09-22,1.0030475148276339
2000-09-25,1.0033372911133116
2000-09-26,1.0031124044094963
2000-09-27,1.0031767987395006
2000-09-28,1.0058790892500513
2000-09-29,1.0056268237989785
2000-10-02,1.0059427692959526
2000-10-03,1.0060688830219993
2000-10-04,1.0061318461410682
2000-10-05,1.0063206053172344
2000-10-06,1.0041837043102568
2000-10-09,1.0040559166316836
2000-10-10,1.0032887406194029
2000-10-11,1.0021310464901143
2000-10-12,0.9991465030268353
2000-10-13,1.0010383973320198
2000-10-16,1.0011038931165375
2000-10-17,0.9999264203576167
2000-10-18,0.9994974365103692
2000-10-19,1.0014508029488258
2000-10-20,1.002233843121258
2000-10-23,1.0023311519090021
2000-10-24,1.0030117781488428
2000-10-25,1.0025925401438112
2000-10-26,1.002333811842434
2000-10-27,1.0045053553961685
2000-10-30,1.0075029653892709
2000-10-31,1.0087815418945407
2000-11-01,1.0072583606080834
2000-11-02,1.0068019190836908
2000-11-03,1.0049657391342468
2000-11-06,1.0063573055223638
2000-11-07,1.0080866265395716
2000-11-08,1.0107414658596678
2000-11-09,1.0087067032384551
2000-11-10,1.0070454363214982
2000-11-13,0.9989325717619348
2000-11-14,1.0026840232802052
2000-11-15,1.0042429974386962
2000-11-16,1.0005966399800752
2000-11-17,1.0033049950061301
2000-11-20,0.9977611583214259
2000-11-21,0.9972254382150737
2000-11-22,0.9951285896542877
2000-11-24,0.9972214639757869
2000-11-27,0.9974034197893135
2000-11-28,0.9959104183838682
2000-11-29,0.997231621068547
2000-11-30,0.9960811761464883
2000-12-01,0.9993839745729015
2000-12-04,0.9987075065768998
2000-12-05,0.9998002442064937
2000-12-06,0.9990047423469651
2000-12-07,0.9993723974946019
2000-12-08,1.0008189138140664
2000-12-11,1.0007444030631898
2000-12-12,1.000142174633799
2000-12-13,0.99979105475498
2000-12-14,0.9992613234027947
2000-12-15,0.9992557325023986
2000-12-18,1.0014320527759941
2000-12-19,1.0012317237715502
2000-12-20,1.0014926836649567
2000-12-21,1.0026724758821695
2000-12-22,1.0033864939471733
2000-12-26,1.0047848348639228
2000-12-27,1.0064519533061702
2000-12-28,1.0067445161221187
2000-12-29,1.0061917005112866
2001-01-02,1.0039430427778426
2001-01-03,1.0044927974111648
2001-01-04,0.9977095802975781
2001-01-05,0.9974664821102276
2001-01-08,1.000448466567673
2001-01-09,1.0019586099991038
2001-01-10,1.002608917916313
2001-01-11,0.9991136084058179
2001-01-12,0.9959804024506157
2001-01-16,0.9955302933234804
2001-01-17,0.9943382795592541
2001-01-18,0.9908686256081385
2001-01-19,0.9867905556063136
2001-01-22,0.9909559477870765
