date,Combined 75% V5 + 25% Radar,V5 S&P500 approx,Radar Top5 gated,SPY,QQQ,50/50 SPY/QQQ
2016-01-04,1.0,0.999,0.9996,0.986020597589368,0.9789027308377687,0.9824616642135684
2016-01-05,1.010945923193725,1.0075067751710294,1.0178305262618708,0.9876881834117716,0.9772038594293677,0.982439923697882
2016-01-06,1.0009129617490886,0.9964259700721819,1.011008424868342,0.9752292841955157,0.9678171139744619,0.9715250545885221
2016-01-07,0.9781667326885624,0.9707848012804854,0.9971550750011375,0.9518319889573799,0.9375112246074232,0.9446598428706762
2016-01-08,0.9641722460197923,0.9563395999505183,0.9846032414874619,0.9413841635310881,0.9298231302906173,0.9356019344367874
2016-01-11,0.9639992171798925,0.9573319380792192,0.9808314630600569,0.9423158934601095,0.9326840009603784,0.937504263354959
2016-01-12,0.9714455876118029,0.9668458505827247,0.9818946761238236,0.9499190292865333,0.9435009614798638,0.9467228519602503
2016-01-13,0.9433190716824517,0.9350638453837,0.965008535230322,0.9262272145897467,0.9109605033323224,0.9185910132908838
2016-01-14,0.9578032550814711,0.9522864927014544,0.9709548239760916,0.9414335747932432,0.9303595618970562,0.9359122854073794
2016-01-15,0.9382670478003876,0.9277103859584779,0.9669106579789394,0.9212242800212381,0.9014840344414643,0.9113429658912957
2016-01-19,0.9401631461019201,0.929929206092999,0.9677888609042519,0.9224506179595594,0.9034511216530846,0.9129438578035981
2016-01-20,0.9357357031706366,0.9235092549072756,0.9696026745056541,0.910629106314972,0.9006796073021074,0.9056937005339603
2016-01-21,0.9368044603808892,0.9246632929761021,0.970397516610644,0.9157304206545454,0.9015737578774167,0.9086800978738921
2016-01-22,0.9541883590584236,0.944614585779049,0.97961232630074,0.9345169721486959,0.9276776975585975,0.931155901049296
2016-01-25,0.9426172301089591,0.931596765563873,0.9725949599472559,0.9203901329074404,0.9139103632036997,0.9172084090609767
2016-01-26,0.9483333385544339,0.936550490986831,0.9806713487769784,0.932947323344112,0.9221351093972452,0.9275925131144258
2016-01-27,0.935794459386172,0.9214809066716991,0.9761440728354119,0.9227937517245242,0.8991599624953103,0.9109893068788099
2016-01-28,0.9445142270497512,0.934616448697514,0.970782793872457,0.9276007237067445,0.9118541399435963,0.9197926382967385
2016-01-29,0.9588786211605832,0.9487824211565985,0.9856959282336301,0.9502134601945355,0.9308959935034948,0.9406076499937326
2016-02-01,0.960186345200464,0.9501442312391761,0.9868287400038732,0.9498699722269748,0.9333991452043855,0.9417022752168729
2016-02-02,0.9590432477909018,0.9486360414801516,0.9868287400038732,0.9327511836565259,0.9131953658065605,0.9230247291445716
