date,regime,risk_multiplier,core_val,core_grow,satellite,cash
2023-12-29,normal,1.0,SCHD|VTV,COIN|CRWD|FICO|GDDY|INTC|KKR|MSTR|NRG|PDD|XYZ,ANET|MSTR|PDD|VRT|ZS,0.0
2024-01-31,normal,1.0,IWD|VTV,AMD|CRWD|FICO|GDDY|KKR|NRG|SHOP|UBER|VRT|VST,AMD|DELL|KEY|PANW|VRT,0.0
2024-02-29,normal,1.0,IWD|VTV,ALL|AMD|COST|CRWD|CVNA|KKR|NVDA|SMCI|VRT|VST,AMD|APP|COIN|NVDA|VRT,0.0
2024-03-28,normal,1.0,IWD|VTV,CMG|COIN|EME|FIX|HIG|MSTR|NVDA|SMCI|VRT|VST,APP|NVDA|PLTR|SMCI|VRT,0.0
2024-04-30,normal,1.0,IWD|VTV,APP|CVNA|EME|FIX|GE|NRG|NVDA|VRT|VST|WSM,APP|CVNA|DELL|NVDA|VRT,0.0
2024-05-31,normal,1.0,IWD|VTV,APH|EME|FSLR|GE|IBKR|NEE|NRG|NVDA|VRT|VST,APP|CVNA|MSTR|VRT|VST,0.0
2024-06-28,normal,1.0,IWD|VTV,APH|APP|BSX|CVNA|DELL|IBKR|INSM|LDOS|NVDA|TRGP,APP|CRWD|CVNA|DELL|NVDA,0.0
2024-07-31,normal,1.0,IWD|VTV,ALNY|CVNA|HWM|INSM|IRM|MSTR|NTAP|PEG|TPL|TRGP,ANET|COHR|CVNA|INSM|MSTR,0.0
2024-08-30,normal,1.0,SCHD|VTV,ALNY|CVNA|INSM|IRM|LMT|MMM|NEM|PM|TPL|TRGP,ALNY|CVNA|INSM|PLTR|TPL,0.0
2024-09-30,normal,1.0,SCHD|VTV,AFL|CBRE|ERIE|FOX|IRM|LMT|MMM|PM|VTR|WELL,COHR|CVNA|PLTR|SATS|TPL,0.0
2024-10-31,normal,1.0,SCHD|VTV,APP|COHR|CVNA|FICO|IRM|PLTR|TPL|UAL|VST|VTR,APP|ARM|COHR|PLTR|VST,0.0
2024-11-29,normal,1.0,IWD|SCHD,APP|AXON|CVNA|FICO|FISV|MSTR|PLTR|TPL|TRGP|UAL,AXON|CVNA|HOOD|UAL|VST,0.0
2024-12-31,normal,1.0,IWD|SCHD,APP|AXON|FOX|HOOD|KMI|PLTR|RCL|SHOP|TPR|UAL,APP|AXON|HOOD|PLTR|UAL,0.0
2025-01-31,normal,1.0,IWD|VTV,APP|AXON|DASH|HOOD|IBKR|PLTR|SHOP|TPR|TSLA|UAL,APP|HOOD|PLTR|TSLA|VST,0.0
2025-02-28,normal,1.0,IWD|VTV,BSX|FFIV|FOX|FOXA|GILD|HOOD|RL|T|TPR|VRSN,HOOD|NRG|SATS|TPR,0.0
2025-03-31,stress,0.5,SCHD|VTV,CVS|FOX|FOXA|GILD|PM|RSG|T|TMUS|VRSN|WELL,,0.5
2025-04-30,stress,0.5,,CME|CNP|MCK|PLTR|PM|RSG|T|TTWO|VRSN|WRB,,0.85
2025-05-30,normal,1.0,IWD|VTV,CAH|CME|DG|MOS|NFLX|NRG|PLTR|PM|VRSN|ZS,CVNA|GEV|HOOD|NRG|PLTR,0.0
2025-06-30,normal,1.0,IWD|VTV,CAH|GEV|HOOD|HWM|MOS|NRG|PM|STX|VRSN|ZS,CVNA|GEV|NRG|PLTR|STX,0.0
2025-07-31,normal,1.0,IWD|VTV,APH|GEV|HOOD|JBL|LITE|NRG|ORCL|SMCI|STX|WDC,CVNA|GEV|HOOD|PLTR|SMCI,0.0
2025-08-29,normal,1.0,IWD|VTV,ALNY|AMD|FIX|GEV|HOOD|INSM|LITE|NEM|SATS|WDC,FIX|GEV|HOOD|LITE|PLTR,0.0
2025-09-30,normal,1.0,IWD|VTV,APH|APP|CIEN|FIX|GLW|HOOD|LITE|SATS|STX|WDC,FIX|HOOD|LITE|PLTR|STX,0.0
2025-10-31,normal,1.0,IWD|VTV,APP|CIEN|HOOD|INTC|LITE|LRCX|MU|SATS|STX|WDC,APP|HOOD|LITE|SATS|STX,0.0
2025-11-28,normal,1.0,IWD|VTV,CIEN|INSM|INTC|LITE|LRCX|MU|SNDK|STX|WBD|WDC,CIEN|MU|SATS|SNDK|WDC,0.0
2025-12-30,normal,1.0,IWD|VTV,ALB|CIEN|COHR|GOOG|GOOGL|LITE|MU|SNDK|WBD|WDC,CIEN|LITE|SATS|SNDK|WDC,0.0
