date,dual_sleeve_v6_multifactor_aggressive
2000-01-03,1.0
2000-01-04,1.0
2000-01-05,1.0
2000-01-06,1.0
2000-01-07,1.0
2000-01-10,1.0
2000-01-11,1.0
2000-01-12,1.0
2000-01-13,1.0
2000-01-14,1.0
2000-01-18,1.0
2000-01-19,1.0
2000-01-20,1.0
2000-01-21,1.0
2000-01-24,1.0
2000-01-25,1.0
2000-01-26,1.0
2000-01-27,1.0
2000-01-28,1.0
2000-01-31,1.0
2000-02-01,0.9996
2000-02-02,0.9996
2000-02-03,0.9996
2000-02-04,0.9996
2000-02-07,0.9996
2000-02-08,0.9996
2000-02-09,0.9996
2000-02-10,0.9996
2000-02-11,0.9996
2000-02-14,0.9996
2000-02-15,0.9996
2000-02-16,0.9996
2000-02-17,0.9996
2000-02-18,0.9996
2000-02-22,0.9996
2000-02-23,0.9996
2000-02-24,0.9996
2000-02-25,0.9996
2000-02-28,0.9996
2000-02-29,0.9996
2000-03-01,0.9996
2000-03-02,0.9996
2000-03-03,0.9996
2000-03-06,0.9996
2000-03-07,0.9996
2000-03-08,0.9996
2000-03-09,0.9996
2000-03-10,0.9996
2000-03-13,0.9996
2000-03-14,0.9996
2000-03-15,0.9996
2000-03-16,0.9996
2000-03-17,0.9996
2000-03-20,0.9996
2000-03-21,0.9996
2000-03-22,0.9996
2000-03-23,0.9996
2000-03-24,0.9996
2000-03-27,0.9996
2000-03-28,0.9996
2000-03-29,0.9996
2000-03-30,0.9996
2000-03-31,0.9996
2000-04-03,0.9996
2000-04-04,0.9996
2000-04-05,0.9996
2000-04-06,0.9996
2000-04-07,0.9996
2000-04-10,0.9996
2000-04-11,0.9996
2000-04-12,0.9996
2000-04-13,0.9996
2000-04-14,0.9996
2000-04-17,0.9996
2000-04-18,0.9996
2000-04-19,0.9996
2000-04-20,0.9996
2000-04-24,0.9996
2000-04-25,0.9996
2000-04-26,0.9996
2000-04-27,0.9996
2000-04-28,0.9996
2000-05-01,0.9996
2000-05-02,0.9996
2000-05-03,0.9996
2000-05-04,0.9996
2000-05-05,0.9996
2000-05-08,0.9996
2000-05-09,0.9996
2000-05-10,0.9996
2000-05-11,0.9996
2000-05-12,0.9996
2000-05-15,0.9996
2000-05-16,0.9996
2000-05-17,0.9996
2000-05-18,0.9996
2000-05-19,0.9996
2000-05-22,0.9996
2000-05-23,0.9996
2000-05-24,0.9996
2000-05-25,0.9996
2000-05-26,0.9996
2000-05-30,1.001138439875165
2000-05-31,1.0021044252315106
2000-06-01,1.003322738507256
2000-06-02,1.0057404743093998
2000-06-05,1.0050190109169088
2000-06-06,1.0046567137399511
2000-06-07,1.0048746531467179
2000-06-08,1.0040041384530742
2000-06-09,1.0039677055562328
2000-06-12,1.004296042613939
2000-06-13,1.004478068786906
2000-06-14,1.0047326497327795
2000-06-15,1.0034257178815815
2000-06-16,1.0014485180961656
2000-06-19,1.0023015336882677
2000-06-20,1.0008630125118616
2000-06-21,1.000953068111379
2000-06-22,1.0000588516022193
2000-06-23,0.9998339277173698
2000-06-26,1.0000966297898526
2000-06-27,1.000059244809429
2000-06-28,0.9996094860701298
2000-06-29,0.9991208311689634
2000-06-30,0.9981782074039522
2000-07-03,0.9972676504180269
2000-07-05,0.9984507608852115
2000-07-06,0.998185685325976
2000-07-07,0.9997032916716875
2000-07-10,0.9998535125518659
2000-07-11,1.0004166120652571
2000-07-12,1.0004913190485034
2000-07-13,1.0007529739965717
2000-07-14,1.0009395117745685
2000-07-17,0.9995979228050978
2000-07-18,0.9992594518260313
2000-07-19,0.9994102298024495
2000-07-20,1.0004266419588923
2000-07-21,0.9994168980116602
2000-07-24,0.998664002335225
2000-07-25,0.9989288315032208
2000-07-26,0.9984378951725656
2000-07-27,0.9991198528745466
2000-07-28,0.9968568699773616
2000-07-31,0.9980435050861591
2000-08-01,0.9991452306215486
2000-08-02,1.000502976492822
2000-08-03,1.0008395542250381
2000-08-04,1.0024063480762357
2000-08-07,1.0036621756595312
2000-08-08,1.0032591199224705
2000-08-09,1.0024510965979085
2000-08-10,1.0027464119835054
2000-08-11,1.0040730433405805
2000-08-14,1.0052423724141843
2000-08-15,1.0048071391142368
2000-08-16,1.0036434656384907
2000-08-17,1.004522860034209
2000-08-18,1.0043406973629345
2000-08-21,1.0047419535269442
2000-08-22,1.005178545582709
2000-08-23,1.0048157117389602
2000-08-24,1.0045248026924785
2000-08-25,1.0043791290418849
2000-08-28,1.0050354842451004
2000-08-29,1.0043819034489179
2000-08-30,1.0044912857623742
2000-08-31,1.0058396797873044
2000-09-01,1.005550624031214
2000-09-05,1.0056954851268043
2000-09-06,1.0060570878224755
2000-09-07,1.0057684205953978
2000-09-08,1.0066359470250907
2000-09-11,1.007570497011054
2000-09-12,1.0077848663838722
2000-09-13,1.0072853926984031
2000-09-14,1.0067842110030951
2000-09-15,1.0057786869610257
2000-09-18,1.0038268381665427
2000-09-19,1.0035338789086259
2000-09-20,1.0020631309133803
2000-09-21,1.001691515670492
2000-09-22,1.0034792721455847
2000-09-25,1.0038105875953955
2000-09-26,1.0035534529806898
2000-09-27,1.0036270788583015
2000-09-28,1.006716797081152
2000-09-29,1.0064282536060878
2000-10-02,1.0067896219356047
2000-10-03,1.0069338732440067
2000-10-04,1.0070058929617425
2000-10-05,1.0072218051389206
2000-10-06,1.0047774454975797
2000-10-09,1.0046313160858378
2000-10-10,1.0037540410438288
2000-10-11,1.0024303484277133
2000-10-12,0.9990184228924583
2000-10-13,1.0011803106457347
2000-10-16,1.0012551735824202
2000-10-17,0.9999092870782715
2000-10-18,0.9994190282247783
2000-10-19,1.0016512718834432
2000-10-20,1.002546354078016
2000-10-23,1.0026575987980462
2000-10-24,1.0034357106967995
2000-10-25,1.0029563790396618
2000-10-26,1.0026605822472299
2000-10-27,1.0051431553874497
2000-10-30,1.0085711705802318
2000-10-31,1.0100339501416349
2000-11-01,1.0084640423826978
2000-11-02,1.0084640423826978
2000-11-03,1.0084640423826978
2000-11-06,1.0084640423826978
2000-11-07,1.0084640423826978
2000-11-08,1.0084640423826978
2000-11-09,1.0084640423826978
2000-11-10,1.0084640423826978
2000-11-13,1.0084640423826978
2000-11-14,1.0084640423826978
2000-11-15,1.0084640423826978
2000-11-16,1.0084640423826978
2000-11-17,1.0084640423826978
2000-11-20,1.0084640423826978
2000-11-21,1.0084640423826978
2000-11-22,1.0084640423826978
2000-11-24,1.0084640423826978
2000-11-27,1.0084640423826978
2000-11-28,1.0084640423826978
2000-11-29,1.0084640423826978
2000-11-30,1.0084640423826978
2000-12-01,1.0084640423826978
2000-12-04,1.0084640423826978
2000-12-05,1.0084640423826978
2000-12-06,1.0084640423826978
2000-12-07,1.0084640423826978
2000-12-08,1.0084640423826978
2000-12-11,1.0084640423826978
2000-12-12,1.0084640423826978
2000-12-13,1.0084640423826978
2000-12-14,1.0084640423826978
2000-12-15,1.0084640423826978
2000-12-18,1.0084640423826978
2000-12-19,1.0084640423826978
2000-12-20,1.0084640423826978
2000-12-21,1.0084640423826978
2000-12-22,1.0084640423826978
2000-12-26,1.0084640423826978
2000-12-27,1.0084640423826978
2000-12-28,1.0084640423826978
2000-12-29,1.0084640423826978
2001-01-02,1.0084640423826978
2001-01-03,1.0084640423826978
2001-01-04,1.0084640423826978
2001-01-05,1.0084640423826978
2001-01-08,1.0084640423826978
2001-01-09,1.0084640423826978
2001-01-10,1.0084640423826978
2001-01-11,1.0084640423826978
2001-01-12,1.0084640423826978
2001-01-16,1.0084640423826978
2001-01-17,1.0084640423826978
2001-01-18,1.0084640423826978
2001-01-19,1.0084640423826978
