date,hold_end,winner_leg,loser_leg,WML_approx,n_winners,n_losers
2007-02-05,2007-03-07,-0.06996585003223525,-0.03053937931128286,-0.03942647072095239,31,31
2007-03-07,2007-04-05,0.052369227185499634,0.03235998143912789,0.020009245746371744,31,31
2007-04-05,2007-05-07,0.005450978559963929,0.03032203729399003,-0.024871058734026102,31,31
2007-05-07,2007-06-06,-0.006510332690764359,-0.006665906017090989,0.00015557332632663064,31,31
2007-06-06,2007-07-06,0.012507060487829676,0.0006378977544267471,0.01186916273340293,31,31
2007-07-06,2007-08-06,-0.04279385792620653,-0.053945178107444605,0.011151320181238072,31,31
2007-08-06,2007-09-05,0.010811413920834794,0.003031323790759848,0.007780090130074946,31,31
2007-09-05,2007-10-04,0.054035071590627815,0.010875812727353933,0.04315925886327388,32,32
2007-10-04,2007-11-02,0.01744472557370371,-0.043394220820373045,0.060838946394076755,32,32
2007-11-02,2007-12-04,-0.020417173626803734,-0.07213474272869935,0.05171756910189562,32,32
2007-12-04,2008-01-04,-0.04499789902341996,-0.14727235225868265,0.10227445323526269,32,32
2008-01-04,2008-02-05,-0.12362598744976441,0.07370571857540553,-0.19733170602516995,32,32
2008-02-05,2008-03-06,0.05762793407645087,-0.07072917139941307,0.12835710547586393,32,32
2008-03-06,2008-04-07,0.09299402538488909,0.058775695513529125,0.03421832987135996,32,32
2008-04-07,2008-05-06,0.07829945027774109,0.03395914248137656,0.044340307796364525,32,32
2008-05-06,2008-06-05,0.024397398531321866,-0.030408067598888058,0.05480546613020992,32,32
2008-06-05,2008-07-07,-0.09783566375820721,-0.22654906387247709,0.12871340011426988,32,32
2008-07-07,2008-08-05,-0.04529364790331701,0.17870482166077645,-0.22399846956409347,32,32
2008-08-05,2008-09-04,-0.05396010006400377,0.03365664951256141,-0.08761674957656518,32,32
2008-09-04,2008-10-03,-0.17295703053220934,-0.1395878394229052,-0.03336919110930414,32,32
2008-10-03,2008-11-03,-0.1008445020387938,-0.16388809164631354,0.06304358960751974,33,33
2008-11-03,2008-12-03,-0.12307161004005328,-0.302153350041909,0.17908174000185573,33,33
2008-12-03,2009-01-05,0.028184909812754653,0.2638176240876091,-0.23563271427485447,33,33
2009-01-05,2009-02-04,-0.09264323335658708,-0.0475634823566341,-0.04507975099995298,34,34
2009-02-04,2009-03-06,-0.1505497482832736,-0.23844122405709953,0.08789147577382592,34,34
2009-03-06,2009-04-06,0.09234794786881542,0.814281958357601,-0.7219340104887856,34,34
2009-04-06,2009-05-06,-0.0001463003014880024,0.5811059292799151,-0.5812522295814031,34,34
2009-05-06,2009-06-05,0.019322948634124794,0.047746724593382084,-0.02842377595925729,34,34
2009-06-05,2009-07-07,-0.03723491079723105,-0.15415949103990872,0.11692458024267768,34,34
2009-07-07,2009-08-05,0.11295161982183691,0.37428271280519226,-0.26133109298335533,34,34
2009-08-05,2009-09-03,-0.006247694979979202,0.045650912943069735,-0.051898607923048935,34,34
2009-09-03,2009-10-05,0.03255447222569941,0.10223759918237901,-0.06968312695667961,34,34
2009-10-05,2009-11-03,-0.012297094631423857,-0.06549732783019918,0.05320023319877532,35,35
2009-11-03,2009-12-03,0.06900598827133002,0.03725899369081412,0.0317469945805159,35,35
2009-12-03,2010-01-05,0.07466185496393883,0.06061021357243054,0.014051641391508295,35,35
2010-01-05,2010-02-04,-0.07065480820828667,-0.02756701879457734,-0.043087789413709325,35,35
2010-02-04,2010-03-08,0.17871754928467856,0.06637934009861031,0.11233820918606825,34,34
2010-03-08,2010-04-07,0.06817962349183115,0.05089487658700013,0.017284746904831026,34,34
2010-04-07,2010-05-06,-0.054061944947469784,-0.05286666998687616,-0.0011952749605936216,35,35
2010-05-06,2010-06-07,-0.11194119099257067,-0.0809153777632276,-0.03102581322934307,35,35
2010-06-07,2010-07-07,0.020801341547051756,0.029203050609004563,-0.008401709061952808,35,35
2010-07-07,2010-08-05,0.06903255713849367,0.07788164048968772,-0.008849083351194054,35,35
2010-08-05,2010-09-03,-0.01154053143880064,-0.011588488971156649,4.795753235600948e-05,35,35
2010-09-03,2010-10-05,0.06361341059483297,0.03224069414287128,0.03137271645196169,35,35
2010-10-05,2010-11-03,0.03511910451735129,0.06265204590554883,-0.027532941388197542,35,35
2010-11-03,2010-12-03,0.04477121466871174,0.02865843572097399,0.016112778947737754,35,35
2010-12-03,2011-01-04,0.00796298423483076,0.09845550334618429,-0.09049251911135353,35,35
2011-01-04,2011-02-03,0.02944466741293658,0.05011951775001501,-0.02067485033707843,35,35
2011-02-03,2011-03-07,-0.0245231174290317,0.0021904378433612974,-0.026713555272392997,35,35
2011-03-07,2011-04-05,0.0598435727965241,0.009712866472775422,0.05013070632374868,35,35
2011-04-05,2011-05-05,-0.03402194313653099,0.026206041621105767,-0.06022798475763676,35,35
2011-05-05,2011-06-06,-0.01964017738484411,-0.0757000823524974,0.056059904967653285,35,35
2011-06-06,2011-07-06,0.08335998793241206,0.013677956019957516,0.06968203191245455,35,35
2011-07-06,2011-08-04,-0.13180560894003607,-0.13659750848920968,0.004791899549173612,35,35
2011-08-04,2011-09-02,-0.021089174278015505,0.02021093606270281,-0.041300110340718316,35,35
2011-09-02,2011-10-04,-0.07475590310341625,-0.11772244624026984,0.042966543136853594,36,36
2011-10-04,2011-11-02,0.15017641414297744,0.15834550020065416,-0.008169086057676717,36,36
2011-11-02,2011-12-02,-0.0113139255627444,-0.030493665506036334,0.019179739943291932,36,36
2011-12-02,2012-01-04,-0.008184480188502465,0.031075241765318513,-0.03925972195382098,36,36
2012-01-04,2012-02-03,0.04893451000718102,0.15894965825694007,-0.11001514824975905,36,36
2012-02-03,2012-03-06,0.031150037535085107,-0.03526700879522124,0.06641704633030635,36,36
2012-03-06,2012-04-04,0.05834200446147767,0.020054811867123778,0.0382871925943539,36,36
2012-04-04,2012-05-04,0.01068190924513583,-0.07303802411331667,0.0837199333584525,36,36
2012-05-04,2012-06-05,-0.0729664247812774,-0.0909688624583272,0.018002437677049787,36,36
2012-06-05,2012-07-05,0.05205702994710688,0.07620315858788267,-0.02414612864077579,36,36
2012-07-05,2012-08-03,0.007445739743269906,-0.04075579845900762,0.04820153820227752,36,36
2012-08-03,2012-09-04,0.020415016390898152,0.054422277866838266,-0.03400726147594012,36,36
2012-09-04,2012-10-03,0.033907903532985756,0.043878155243109465,-0.00997025171012371,36,36
2012-10-03,2012-11-05,-0.03323554499170309,0.0049550101906419165,-0.03819055518234501,36,36
2012-11-05,2012-12-05,-0.0008793303419529867,0.009338415997123758,-0.010217746339076744,36,36
2012-12-05,2013-01-07,0.06498325125705767,0.06619020078292404,-0.0012069495258663632,36,36
2013-01-07,2013-02-06,0.054562316308877666,0.06795290662676463,-0.013390590317886968,36,36
2013-02-06,2013-03-08,0.048061833905885816,-0.0006576423025785992,0.04871947620846442,37,37
2013-03-08,2013-04-09,-0.00331394567561278,0.021302952586731178,-0.024616898262343957,37,37
2013-04-09,2013-05-08,0.08741074523254798,0.05949928144385046,0.02791146378869752,37,37
2013-05-08,2013-06-07,-0.013750952837997306,0.009246537518323803,-0.022997490356321107,37,37
2013-06-07,2013-07-09,-0.015284437067399228,-0.021073528601915956,0.0057890915345167274,37,37
2013-07-09,2013-08-07,0.03950334376143614,0.058955837231699434,-0.019452493470263295,37,37
2013-08-07,2013-09-06,0.005404193161044541,0.010364362227871743,-0.004960169066827201,37,37
2013-09-06,2013-10-07,0.03934951936529528,0.013281320547947622,0.026068198817347656,37,37
2013-10-07,2013-11-05,0.04621784802044037,0.029977611548199067,0.016240236472241303,38,38
2013-11-05,2013-12-05,0.0012848422886104684,-0.016085002922725737,0.017369845211336207,38,38
2013-12-05,2014-01-07,0.036144045064553765,0.0394050579410662,-0.0032610128765124327,38,38
2014-01-07,2014-02-06,-0.024113194336140675,-0.008849273747729836,-0.01526392058841084,38,38
2014-02-06,2014-03-10,0.09913047621201167,0.05866965612690448,0.04046082008510719,38,38
2014-03-10,2014-04-08,-0.06394822521724441,0.02401289582259489,-0.0879611210398393,38,38
2014-04-08,2014-05-08,-0.012185252257087767,-0.0051389083464051825,-0.007046343910682584,38,38
2014-05-08,2014-06-09,0.08550530577461174,0.03298762071231391,0.05251768506229783,38,38
2014-06-09,2014-07-09,0.018868515321208854,0.012562772106842856,0.006305743214365998,38,38
2014-07-09,2014-08-07,-0.025035138042646822,-0.0018346667381940814,-0.02320047130445274,38,38
2014-08-07,2014-09-08,0.06184344255895638,0.055241561614620426,0.006601880944335954,38,38
2014-09-08,2014-10-07,-0.07121613149619223,-0.0556432704477204,-0.015572861048471831,38,38
2014-10-07,2014-11-05,0.02417109735296839,0.045690177402108054,-0.021519080049139664,38,38
2014-11-05,2014-12-05,0.042641786110555795,0.009386833570404526,0.03325495254015127,38,38
2014-12-05,2015-01-07,-0.03226745629494005,-0.02855994243909445,-0.003707513855845602,38,38
2015-01-07,2015-02-06,0.010573632715314266,0.03595588659780144,-0.025382253882487174,38,38
2015-02-06,2015-03-10,0.00030414120034863223,-0.023241252308845512,0.023545393509194143,39,39
2015-03-10,2015-04-09,0.023133595101505047,0.050418223092188116,-0.02728462799068307,39,39
2015-04-09,2015-05-08,-0.01534062715126284,0.03894185329503596,-0.0542824804462988,39,39
2015-05-08,2015-06-09,0.005644305672751329,-0.0491714022694469,0.05481570794219823,39,39
2015-06-09,2015-07-09,0.005311868268374723,-0.07124275368482626,0.07655462195320098,39,39
2015-07-09,2015-08-07,0.025640590745953012,-0.08665480218469693,0.11229539293064994,39,39
2015-08-07,2015-09-08,-0.03821165376157842,-0.02994004345478415,-0.008271610306794266,39,39
2015-09-08,2015-10-07,-0.008913204695418375,0.028703312581788078,-0.037616517277206454,40,40
2015-10-07,2015-11-05,0.04935192575699036,0.0020433156235114018,0.04730861013347896,40,40
2015-11-05,2015-12-07,0.0021817727610483396,-0.06645215309074334,0.06863392585179168,40,40
2015-12-07,2016-01-07,-0.060530554614041686,-0.0936184375940549,0.033087882980013215,40,40
2016-01-07,2016-02-08,-0.10515108272408588,-0.03941839522685486,-0.06573268749723102,40,40
2016-02-08,2016-03-09,0.10724271745704139,0.1925899395251811,-0.08534722206813972,40,40
2016-03-09,2016-04-08,0.051065412004041626,0.012816214341860494,0.03824919766218113,41,41
2016-04-08,2016-05-09,0.0002651637188811272,0.02865434742541255,-0.028389183706531422,41,41
2016-05-09,2016-06-08,0.01823278747491029,0.08481239252372072,-0.06657960504881043,41,41
2016-06-08,2016-07-08,0.03767724441863679,-0.037371170535837134,0.07504841495447392,41,41
2016-07-08,2016-08-08,-0.004243036282405556,0.07985820385589688,-0.08410124013830245,42,42
2016-08-08,2016-09-07,-0.004960475421217155,0.03974041236230056,-0.04470088778351772,42,42
2016-09-07,2016-10-06,-0.01925182524308881,0.0077150062419243355,-0.026966831485013144,42,42
2016-10-06,2016-11-04,-0.04168997298588551,-0.06385327071702539,0.022163297731139876,42,42
2016-11-04,2016-12-06,0.03882459575472833,0.11029412822093422,-0.07146953246620588,42,42
2016-12-06,2017-01-06,0.025968563557243397,0.01859582830973878,0.007372735247504616,42,42
2017-01-06,2017-02-07,0.020985853395744485,-0.019301066721890192,0.04028692011763468,43,43
2017-02-07,2017-03-09,-0.0018369052231773523,0.014118668455738346,-0.0159555736789157,43,43
2017-03-09,2017-04-07,0.009740799895007734,-0.009314093810263357,0.01905489370527109,43,43
2017-04-07,2017-05-09,0.010930103463429923,0.003778637730075164,0.007151465733354759,43,43
2017-05-09,2017-06-08,0.03316102756945087,-0.026133148967148113,0.059294176536598985,43,43
2017-06-08,2017-07-10,-0.014284633373155631,-0.010915632505576055,-0.0033690008675795764,43,43
2017-07-10,2017-08-08,0.030219770605711842,0.02347703696966352,0.006742733636048322,43,43
2017-08-08,2017-09-07,-0.0366345269955104,-0.00913616377240939,-0.027498363223101008,44,44
2017-09-07,2017-10-06,0.06887531713751537,0.024529477245755917,0.04434583989175945,44,44
2017-10-06,2017-11-06,0.0408005244475993,-0.041528068058085316,0.08232859250568461,44,44
2017-11-06,2017-12-06,0.00046868101658521663,0.05497935986342964,-0.05451067884684442,44,44
2017-12-06,2018-01-08,0.08191995823389706,0.07537877985888745,0.006541178375009601,44,44
2018-01-08,2018-02-07,-0.030049049047172358,-0.08073326295200435,0.05068421390483199,44,44
2018-02-07,2018-03-09,0.08549259584823309,0.030395832624757833,0.05509676322347525,44,44
2018-03-09,2018-04-10,-0.04197704866517832,-0.035755989052850615,-0.0062210596123277034,44,44
2018-04-10,2018-05-09,0.03201206498830538,0.01933216226860192,0.012679902719703463,45,45
2018-05-09,2018-06-08,0.03793729351146765,0.04664872185316208,-0.00871142834169443,45,45
2018-06-08,2018-07-10,-0.015463848445446769,0.0396113967590024,-0.055075245204449175,45,45
2018-07-10,2018-08-08,0.03140078792704843,-0.004308214447646108,0.035709002374694536,45,45
2018-08-08,2018-09-07,0.012698369481118039,0.0001556474097140745,0.012542722071403964,45,45
2018-09-07,2018-10-08,-0.02766562830336383,0.004523034725118353,-0.03218866302848218,45,45
2018-10-08,2018-11-06,-0.05878088342163616,-0.01837391821279051,-0.04040696520884565,45,45
2018-11-06,2018-12-07,-0.07330383260201467,-0.07240256456285211,-0.0009012680391625588,45,45
