date,Mom
1927-01-01,-0.0023
1927-01-02,0.0311
1928-01-01,0.0187
1928-01-02,0.0144
1929-01-01,-0.0204
1929-01-02,0.0542
1930-01-01,-0.0134
1930-01-02,0.1251
1931-01-01,0.0803
1931-01-02,0.1292
1932-01-01,-0.0096
1932-01-02,0.0464
1933-01-01,0.0646
1933-01-02,0.0401
1934-01-01,0.0377
1934-01-02,0.0453
1935-01-01,-0.07139999999999999
1935-01-02,0.037000000000000005
1936-01-01,0.0204
1936-01-02,0.0213
1937-01-01,-0.0132
1937-01-02,0.048499999999999995
1938-01-01,0.0332
1938-01-02,0.0231
1939-01-01,-0.0029
1939-01-02,0.0542
1940-01-01,0.0131
1940-01-02,0.0354
1941-01-01,0.0441
1941-01-02,0.004
1942-01-01,-0.010700000000000001
1942-01-02,0.030899999999999997
1943-01-01,-0.0447
1943-01-02,0.0592
1944-01-01,0.013600000000000001
1944-01-02,0.0335
1945-01-01,0.0431
1945-01-02,0.0125
1946-01-01,0.0028000000000000004
1946-01-02,0.0009
1947-01-01,0.0426
1947-01-02,0.0362
1948-01-01,0.0058
1948-01-02,0.0466
1949-01-01,0.012199999999999999
1949-01-02,-0.008199999999999999
1950-01-01,0.0352
1950-01-02,0.0495
1951-01-01,0.004699999999999999
1951-01-02,0.0175
1952-01-01,0.0036
1952-01-02,0.0154
1953-01-01,0.0196
1953-01-02,0.0521
1954-01-01,0.0187
1954-01-02,-0.013999999999999999
1955-01-01,0.025699999999999997
1955-01-02,-0.0126
1956-01-01,0.0342
1956-01-02,0.0379
1957-01-01,0.0127
1957-01-02,0.0781
1958-01-01,0.015300000000000001
1958-01-02,-0.0070999999999999995
1959-01-01,0.0229
1959-01-02,0.0103
1960-01-01,0.0363
1960-01-02,0.013600000000000001
1961-01-01,0.013500000000000002
1961-01-02,-0.0218
1962-01-01,-0.0721
1962-01-02,0.059000000000000004
1963-01-01,-0.0078000000000000005
1963-01-02,0.0184
1964-01-01,0.011000000000000001
1964-01-02,-0.006999999999999999
1965-01-01,0.044000000000000004
1965-01-02,-0.001
1966-01-01,0.0574
1966-01-02,0.009899999999999999
1967-01-01,0.012199999999999999
1967-01-02,0.032
1968-01-01,0.0174
1968-01-02,0.0034000000000000002
1969-01-01,0.036699999999999997
1969-01-02,0.0527
1970-01-01,0.026000000000000002
1970-01-02,-0.023
1971-01-01,0.0151
1971-01-02,-0.0062
1972-01-01,-0.0508
1972-01-02,0.0495
1973-01-01,0.0892
1973-01-02,0.1016
1974-01-01,0.022000000000000002
1974-01-02,0.0298
1975-01-01,-0.005
1975-01-02,-0.001
1976-01-01,0.0281
1976-01-02,0.0073
1977-01-01,0.021400000000000002
1977-01-02,0.0159
1978-01-01,0.0545
1978-01-02,0.0301
1979-01-01,0.08039999999999999
1979-01-02,0.0472
1980-01-01,0.1515
1980-01-02,-0.0669
1981-01-01,-0.002
1981-01-02,0.0127
1982-01-01,0.0591
1982-01-02,-0.0002
1983-01-01,-0.0013
1983-01-02,0.008199999999999999
1984-01-01,0.015700000000000002
1984-01-02,0.013999999999999999
1985-01-01,-0.005699999999999999
1985-01-02,-0.0023
1986-01-01,-0.0025
1986-01-02,0.0046
1987-01-01,-0.0123
1987-01-02,0.0587
1988-01-01,0.002
1988-01-02,0.0032
1989-01-01,0.026699999999999998
1989-01-02,0.0276
1990-01-01,-0.0546
1990-01-02,0.0022
1991-01-01,0.0118
1991-01-02,0.0827
1992-01-01,-0.0024
1992-01-02,0.0446
1993-01-01,-0.048
1993-01-02,0.0235
1994-01-01,-0.0015
1994-01-02,0.0345
1995-01-01,-0.0072
1995-01-02,0.024900000000000002
1996-01-01,-0.023399999999999997
1996-01-02,0.005699999999999999
1997-01-01,0.0040999999999999995
1997-01-02,0.0392
1998-01-01,0.0113
1998-01-02,0.08869999999999999
1999-01-01,0.0548
1999-01-02,0.13119999999999998
2000-01-01,-0.0218
2000-01-02,0.0665
2001-01-01,-0.0863
2001-01-02,0.0004
2002-01-01,-0.16449999999999998
2002-01-02,0.0971
2003-01-01,0.0137
2003-01-02,-0.0553
2004-01-01,0.030699999999999998
2004-01-02,-0.0285
2005-01-01,0.0033
2005-01-02,0.0079
2006-01-01,-0.0103
2006-01-02,0.0078000000000000005
2007-01-01,0.0109
2007-01-02,0.06559999999999999
2008-01-01,0.0726
2008-01-02,-0.0508
2009-01-01,0.0039000000000000003
2009-01-02,0.0297
2010-01-01,0.0271
2010-01-02,-0.0301
2011-01-01,0.0385
2011-01-02,0.0183
2012-01-01,0.0053
2012-01-02,-0.0294
2013-01-01,0.0038
2013-01-02,0.0002
2014-01-01,0.0069
2014-01-02,0.0105
2015-01-01,0.023
2015-01-02,0.0333
2016-01-01,-0.047
2016-01-02,-0.0026
2017-01-01,-0.009399999999999999
2017-01-02,-0.015700000000000002
2018-01-01,-0.014199999999999999
2018-01-02,0.0175
2019-01-01,-0.026099999999999998
2019-01-02,-0.022400000000000003
2020-01-01,-0.126
2020-01-02,-0.0227
2021-01-01,0.0097
2021-01-02,-0.024
2022-01-01,-0.0171
2022-01-02,0.049400000000000006
2023-01-01,0.0253
2023-01-02,-0.0548
2024-01-01,0.009399999999999999
2024-01-02,-0.0034000000000000002
2025-01-01,-0.0171
2025-01-02,-0.023399999999999997
