Date,XLU
2000-01-03,5.51305627822876
2000-01-04,5.346752166748047
2000-01-05,5.481677532196045
2000-01-06,5.472265720367432
2000-01-07,5.519330024719238
2000-01-10,5.5381550788879395
2000-01-11,5.47853946685791
2000-01-12,5.422060489654541
2000-01-13,5.371855735778809
2000-01-14,5.4157867431640625
2000-01-18,5.393819808959961
2000-01-19,5.3969597816467285
2000-01-20,5.422060489654541
2000-01-21,5.597777843475342
2000-01-24,5.522468090057373
2000-01-25,5.393819808959961
2000-01-26,5.36871862411499
2000-01-27,5.334203720092773
2000-01-28,5.305965900421143
2000-01-31,5.550707817077637
2000-02-01,5.509918689727783
2000-02-02,5.481677532196045
2000-02-03,5.472265720367432
2000-02-04,5.444024085998535
2000-02-07,5.4283342361450195
2000-02-08,5.4408860206604
2000-02-09,5.4408860206604
2000-02-10,5.3624420166015625
2000-02-11,5.268312454223633
2000-02-14,5.274587631225586
2000-02-15,5.262032985687256
2000-02-16,5.240070343017578
2000-02-17,5.208693504333496
2000-02-18,5.0172858238220215
2000-02-22,4.998462200164795
2000-02-23,4.8949151039123535
2000-02-24,4.731751441955566
2000-02-25,4.7066497802734375
2000-02-28,4.841575622558594
2000-02-29,4.876091003417969
2000-03-01,5.089455604553223
2000-03-02,5.221240997314453
2000-03-03,5.268312454223633
2000-03-06,5.120833873748779
2000-03-07,5.06121826171875
2000-03-08,5.095731258392334
2000-03-09,5.136524200439453
2000-03-10,5.136524200439453
2000-03-13,5.152213096618652
2000-03-14,5.117701530456543
2000-03-15,5.145938396453857
2000-03-16,5.346752166748047
2000-03-17,5.389770984649658
2000-03-20,5.367642879486084
2000-03-21,5.3328680992126465
2000-03-22,5.209583282470703
2000-03-23,5.298098087310791
2000-03-24,5.247520446777344
2000-03-27,5.320226669311523
2000-03-28,5.294936180114746
2000-03-29,5.389770984649658
2000-03-30,5.377126693725586
2000-03-31,5.408738136291504
2000-04-03,5.443509101867676
2000-04-04,5.519377708435059
2000-04-05,5.592083930969238
2000-04-06,5.626857280731201
2000-04-07,5.611052989959717
2000-04-10,5.5984063148498535
2000-04-11,5.743818283081055
2000-04-12,5.794396877288818
2000-04-13,5.800724506378174
2000-04-14,5.588922500610352
2000-04-17,5.503572940826416
2000-04-18,5.519377708435059
2000-04-19,5.5699567794799805
2000-04-20,5.588922500610352
2000-04-24,5.740658283233643
2000-04-25,5.911357879638672
2000-04-26,5.898718357086182
2000-04-27,5.7659454345703125
2000-04-28,5.762787818908691
2000-05-01,5.762787818908691
2000-05-02,5.554152011871338
2000-05-03,5.573118209838867
2000-05-04,5.563633918762207
2000-05-05,5.5762763023376465
2000-05-08,5.614212989807129
2000-05-09,5.595246315002441
2000-05-10,5.702723979949951
2000-05-11,5.788078784942627
2000-05-12,5.696403503417969
2000-05-15,5.8070454597473145
2000-05-16,5.7817535400390625
2000-05-17,5.693239688873291
2000-05-18,5.740658283233643
2000-05-19,5.633179664611816
2000-05-22,5.671114921569824
2000-05-23,5.566795349121094
