Date,LLY
2000-01-03,32.50004196166992
2000-01-04,31.4776554107666
2000-01-05,31.880403518676758
2000-01-06,32.80988311767578
2000-01-07,35.2264518737793
2000-01-10,33.770301818847656
2000-01-11,33.95620346069336
2000-01-12,33.46049118041992
2000-01-13,33.05772399902344
2000-01-14,33.863243103027344
2000-01-18,33.3675422668457
2000-01-19,33.58441162109375
2000-01-20,33.10419464111328
2000-01-21,32.0972785949707
2000-01-24,30.79604148864746
2000-01-25,30.888980865478516
2000-01-26,31.105850219726562
2000-01-27,31.84942626953125
2000-01-28,32.37611770629883
2000-01-31,33.150665283203125
2000-02-01,32.50004196166992
2000-02-02,32.25218200683594
2000-02-03,32.34513473510742
2000-02-04,32.159244537353516
2000-02-07,31.384700775146484
2000-02-08,31.384700775146484
2000-02-09,30.610153198242188
2000-02-10,30.888980865478516
2000-02-11,30.67618751525879
2000-02-14,30.2406063079834
2000-02-15,30.458391189575195
2000-02-16,30.489513397216797
2000-02-17,29.960609436035156
2000-02-18,29.120590209960938
2000-02-22,29.61838722229004
2000-02-23,30.022846221923828
2000-02-24,29.151697158813477
2000-02-25,28.21834945678711
2000-02-28,28.622798919677734
2000-02-29,29.587268829345703
2000-03-01,29.30726432800293
2000-03-02,28.716140747070312
2000-03-03,28.87169647216797
2000-03-06,28.685043334960938
2000-03-07,27.129446029663086
2000-03-08,27.627225875854492
2000-03-09,29.898391723632812
2000-03-10,30.458391189575195
2000-03-13,29.493938446044922
2000-03-14,28.59169578552246
2000-03-15,31.23618507385254
2000-03-16,32.23175811767578
2000-03-17,30.551725387573242
2000-03-20,30.2406063079834
2000-03-21,30.70730209350586
2000-03-22,31.64063835144043
2000-03-23,32.045108795166016
2000-03-24,30.925073623657227
2000-03-27,30.11616325378418
2000-03-28,29.99172592163086
2000-03-29,30.365070343017578
2000-03-30,30.2406063079834
2000-03-31,31.173973083496094
2000-04-03,32.542884826660156
2000-04-04,34.34735870361328
2000-04-05,33.58513641357422
2000-04-06,32.79178237915039
2000-04-07,32.01397705078125
2000-04-10,32.29399871826172
2000-04-11,33.28956604003906
2000-04-12,32.418434143066406
2000-04-13,34.84516143798828
2000-04-14,33.5695686340332
2000-04-17,34.84516143798828
2000-04-18,36.46297073364258
2000-04-19,37.64521026611328
2000-04-20,37.707462310791016
2000-04-24,38.578548431396484
2000-04-25,38.32966995239258
2000-04-26,38.734127044677734
2000-04-27,38.79634475708008
2000-04-28,38.39189147949219
2000-05-01,38.516361236572266
2000-05-02,38.82746505737305
2000-05-03,39.32525634765625
2000-05-04,39.44970703125
2000-05-05,39.698585510253906
2000-05-08,40.071929931640625
2000-05-09,39.6363525390625
2000-05-10,38.45412826538086
2000-05-11,37.39773941040039
2000-05-12,37.6786994934082
2000-05-15,38.17815399169922
2000-05-16,37.428958892822266
2000-05-17,36.89826202392578
2000-05-18,36.83584976196289
2000-05-19,37.928436279296875
2000-05-22,37.5538215637207
2000-05-23,37.74114227294922
2000-05-24,38.52154541015625
2000-05-25,39.27077102661133
2000-05-26,39.36439514160156
2000-05-30,38.20936965942383
2000-05-31,38.02210235595703
2000-06-01,38.49032974243164
2000-06-02,36.523685455322266
2000-06-05,36.18029022216797
2000-06-06,37.02314376831055
2000-06-07,37.39773941040039
2000-06-08,37.428958892822266
