Date,ITA
2006-05-05,20.974346160888672
2006-05-08,20.893638610839844
2006-05-09,20.87346839904785
2006-05-10,20.97031021118164
2006-05-11,20.736270904541016
2006-05-12,20.29241180419922
2006-05-15,20.239965438842773
2006-05-16,20.20768165588379
2006-05-17,19.73154067993164
2006-05-18,19.533824920654297
2006-05-19,19.63469696044922
2006-05-22,19.6790828704834
2006-05-23,19.529783248901367
2006-05-24,19.37241554260254
2006-05-25,19.465221405029297
2006-05-26,19.578201293945312
2006-05-30,19.323999404907227
2006-05-31,19.424877166748047
2006-06-01,19.703289031982422
2006-06-02,19.691184997558594
2006-06-05,19.42083168029785
2006-06-06,19.0213565826416
2006-06-07,19.081890106201172
2006-06-08,19.037504196166992
2006-06-09,18.964874267578125
2006-06-12,18.464527130126953
2006-06-13,18.198200225830078
2006-06-14,18.436281204223633
2006-06-15,19.045578002929688
2006-06-16,19.009265899658203
2006-06-19,18.730831146240234
2006-06-20,18.666271209716797
2006-06-21,18.96084213256836
2006-06-22,18.83847999572754
2006-06-23,18.83847999572754
2006-06-26,18.781940460205078
2006-06-27,18.56791114807129
2006-06-28,18.49925422668457
2006-06-29,18.995967864990234
2006-06-30,19.04846954345703
2006-07-03,19.12922477722168
2006-07-05,19.008085250854492
2006-07-06,19.10500717163086
2006-07-07,18.919240951538086
2006-07-10,18.979816436767578
2006-07-11,19.327112197875977
2006-07-12,19.161537170410156
2006-07-13,18.858665466308594
2006-07-14,18.580032348632812
2006-07-17,18.454849243164062
2006-07-18,18.507343292236328
2006-07-19,19.044429779052734
2006-07-20,18.777904510498047
2006-07-21,18.680980682373047
2006-07-24,19.01616668701172
2006-07-25,19.428062438964844
2006-07-26,19.258455276489258
2006-07-27,19.12922477722168
2006-07-28,19.226160049438477
2006-07-31,19.18173599243164
2006-08-01,19.07673454284668
2006-08-02,19.10500717163086
2006-08-03,19.12922477722168
2006-08-04,19.04846954345703
2006-08-07,18.96769905090332
2006-08-08,18.737518310546875
2006-08-09,18.462913513183594
2006-08-10,18.62848472595215
2006-08-11,18.48715591430664
