Date,META
2012-05-18,37.93232727050781
2012-05-21,33.76502990722656
2012-05-22,30.758623123168945
2012-05-23,31.750839233398438
2012-05-24,32.77281188964844
2012-05-25,31.661537170410156
2012-05-29,28.615440368652344
2012-05-30,27.970502853393555
2012-05-31,29.369522094726562
2012-06-01,27.504159927368164
2012-06-04,26.690547943115234
2012-06-05,25.66856575012207
2012-06-06,26.60124969482422
2012-06-07,26.105138778686523
2012-06-08,26.88899040222168
2012-06-11,26.799694061279297
2012-06-12,27.1866512298584
2012-06-13,27.05766487121582
2012-06-14,28.069725036621094
2012-06-15,29.776330947875977
2012-06-18,31.16542625427246
2012-06-19,31.661537170410156
2012-06-20,31.35395050048828
2012-06-21,31.592082977294922
2012-06-22,32.79265594482422
2012-06-25,31.81037139892578
2012-06-26,32.84226608276367
2012-06-27,31.979042053222656
2012-06-28,31.11581802368164
2012-06-29,30.85784339904785
2012-07-02,30.530414581298828
2012-07-03,30.95706558227539
2012-07-05,31.22496223449707
2012-07-06,31.482934951782227
2012-07-09,31.919509887695312
2012-07-10,31.22496223449707
2012-07-11,30.728853225708008
2012-07-12,30.570100784301758
2012-07-13,30.480804443359375
2012-07-16,28.0300350189209
2012-07-17,27.871278762817383
2012-07-18,28.88334083557129
2012-07-19,28.774194717407227
2012-07-20,28.53606414794922
2012-07-23,28.526142120361328
2012-07-24,28.228477478027344
2012-07-25,29.11154556274414
2012-07-26,26.64093780517578
2012-07-27,23.52538299560547
2012-07-30,22.96974754333496
2012-07-31,21.54095458984375
2012-08-01,20.717416763305664
2012-08-02,19.883960723876953
2012-08-03,20.925785064697266
2012-08-06,21.74932289123535
2012-08-07,20.558666229248047
2012-08-08,20.558666229248047
2012-08-09,20.84640884399414
2012-08-10,21.640174865722656
2012-08-13,21.431814193725586
2012-08-14,20.221311569213867
2012-08-15,21.034931182861328
2012-08-16,19.715282440185547
2012-08-17,18.901668548583984
2012-08-20,19.854196548461914
2012-08-21,19.010814666748047
2012-08-22,19.288633346557617
2012-08-23,19.288633346557617
2012-08-24,19.258867263793945
2012-08-27,19.000890731811523
2012-08-28,19.18941307067871
2012-08-29,18.951282501220703
2012-08-30,18.94135856628418
2012-08-31,17.91937828063965
2012-09-04,17.591947555541992
2012-09-05,18.43532943725586
2012-09-06,18.812366485595703
2012-09-07,18.83221435546875
2012-09-10,18.663537979125977
2012-09-11,19.278711318969727
2012-09-12,20.767032623291016
2012-09-13,20.548742294311523
2012-09-14,21.828702926635742
2012-09-17,21.35243797302246
2012-09-18,21.6997127532959
2012-09-19,23.10865592956543
2012-09-20,22.414104461669922
2012-09-21,22.682004928588867
2012-09-24,20.628122329711914
2012-09-25,20.122093200683594
2012-09-26,20.45944595336914
2012-09-27,20.161779403686523
2012-09-28,21.49134635925293
2012-10-01,21.818777084350586
2012-10-02,22.096599578857422
2012-10-03,21.660022735595703
2012-10-04,21.779090881347656
2012-10-05,20.7471866607666
2012-10-08,20.24115562438965
2012-10-09,20.07248306274414
2012-10-10,19.487075805664062
2012-10-11,19.59621810913086
2012-10-12,19.368011474609375
2012-10-15,19.368011474609375
2012-10-16,19.32832145690918
2012-10-17,19.725204467773438
2012-10-18,18.83221435546875
2012-10-19,18.85205841064453
2012-10-22,19.169567108154297
2012-10-23,19.348169326782227
2012-10-24,23.049121856689453
2012-10-25,22.384340286254883
2012-10-26,21.769168853759766
