Date,GD
2000-01-03,14.204941749572754
2000-01-04,14.802104949951172
2000-01-05,15.815447807312012
2000-01-06,15.869736671447754
2000-01-07,16.285930633544922
2000-01-10,16.141178131103516
2000-01-11,15.924018859863281
2000-01-12,15.412219047546387
2000-01-13,15.412219047546387
2000-01-14,15.52127456665039
2000-01-18,15.066899299621582
2000-01-19,14.757927894592285
2000-01-20,14.344452857971191
2000-01-21,14.358083724975586
2000-01-24,13.503864288330078
2000-01-25,13.68561840057373
2000-01-26,13.649260520935059
2000-01-27,13.667436599731445
2000-01-28,13.740141868591309
2000-01-31,13.703782081604004
2000-02-01,14.04910945892334
2000-02-02,13.812846183776855
2000-02-03,13.449348449707031
2000-02-04,13.249420166015625
2000-02-07,12.940449714660645
2000-02-08,12.504256248474121
2000-02-09,12.140759468078613
2000-02-10,12.267980575561523
2000-02-11,12.049880981445312
2000-02-14,12.086236953735352
2000-02-15,12.013528823852539
2000-02-16,12.086236953735352
2000-02-17,12.540605545043945
2000-02-18,12.177101135253906
2000-02-22,12.504256248474121
2000-02-23,12.540605545043945
2000-02-24,12.286153793334961
2000-02-25,12.486079216003418
2000-02-28,12.522431373596191
2000-02-29,12.576955795288086
2000-03-01,12.322504043579102
2000-03-02,11.959010124206543
2000-03-03,11.304718971252441
2000-03-06,10.995745658874512
2000-03-07,10.759472846984863
2000-03-08,10.90487003326416
2000-03-09,11.577338218688965
2000-03-10,11.43193531036377
2000-03-13,11.359245300292969
2000-03-14,11.668210983276367
2000-03-15,12.613303184509277
2000-03-16,13.122188568115234
2000-03-17,13.303943634033203
2000-03-20,13.394816398620605
2000-03-21,13.5220365524292
2000-03-22,13.358469009399414
2000-03-23,13.503864288330078
2000-03-24,14.030937194824219
2000-03-27,13.903711318969727
2000-03-28,13.703782081604004
2000-03-29,13.68561840057373
2000-03-30,14.04910945892334
2000-03-31,14.467124938964844
2000-04-03,14.794276237487793
2000-04-04,15.10324478149414
2000-04-05,14.868708610534668
2000-04-06,14.941777229309082
2000-04-07,14.83217716217041
2000-04-10,14.83217716217041
2000-04-11,14.96003532409668
2000-04-12,15.28884220123291
2000-04-13,15.416696548461914
2000-04-14,15.01484489440918
2000-04-17,14.740846633911133
2000-04-18,14.686042785644531
2000-04-19,15.197505950927734
2000-04-20,15.654160499572754
