Date,XLY
2000-01-03,11.15102767944336
2000-01-04,10.815573692321777
2000-01-05,10.682551383972168
2000-01-06,10.804009437561035
2000-01-07,11.31297492980957
2000-01-10,11.25514030456543
2000-01-11,11.191518783569336
2000-01-12,11.12789249420166
2000-01-13,11.185730934143066
2000-01-14,11.156819343566895
2000-01-18,11.093193054199219
2000-01-19,11.070060729980469
2000-01-20,10.919683456420898
2000-01-21,10.694120407104492
2000-01-24,10.295042037963867
2000-01-25,10.358665466308594
2000-01-26,10.43385124206543
2000-01-27,10.404932975769043
2000-01-28,9.994287490844727
2000-01-31,10.069474220275879
2000-02-01,10.43385124206543
2000-02-02,10.364448547363281
2000-02-03,10.404932975769043
2000-02-04,10.387577056884766
2000-02-07,10.167794227600098
2000-02-08,10.399147033691406
2000-02-09,10.225637435913086
2000-02-10,10.133099555969238
2000-02-11,9.988503456115723
2000-02-14,10.04055404663086
2000-02-15,10.063691139221191
2000-02-16,9.670395851135254
2000-02-17,9.392780303955078
2000-02-18,9.253969192504883
2000-02-22,9.27710247039795
2000-02-23,9.248186111450195
2000-02-24,8.953214645385742
2000-02-25,8.98791790008545
2000-02-28,9.311803817749023
2000-02-29,9.508454322814941
2000-03-01,9.3985595703125
2000-03-02,9.386992454528809
2000-03-03,9.560510635375977
2000-03-06,9.334942817687988
2000-03-07,9.074674606323242
2000-03-08,9.184563636779785
2000-03-09,9.369641304016113
2000-03-10,9.242402076721191
2000-03-13,9.16721248626709
2000-03-14,9.184563636779785
2000-03-15,9.739800453186035
2000-03-16,10.456987380981445
2000-03-17,10.483177185058594
2000-03-20,10.38466739654541
2000-03-21,10.500564575195312
2000-03-22,10.454205513000488
2000-03-23,10.483177185058594
2000-03-24,10.51794719696045
2000-03-27,10.488972663879395
2000-03-28,10.523744583129883
2000-03-29,10.732365608215332
2000-03-30,10.969956398010254
2000-03-31,10.854059219360352
2000-04-03,11.178583145141602
2000-04-04,11.039502143859863
2000-04-05,11.056880950927734
2000-04-06,11.17278003692627
2000-04-07,11.17278003692627
2000-04-10,11.433563232421875
2000-04-11,11.514690399169922
2000-04-12,11.491510391235352
2000-04-13,11.277095794677734
2000-04-14,10.38466739654541
2000-04-17,10.396254539489746
2000-04-18,10.616466522216797
2000-04-19,10.697590827941895
2000-04-20,10.83667278289795
2000-04-24,10.952576637268066
2000-04-25,11.1496000289917
2000-04-26,11.13801383972168
2000-04-27,10.90621280670166
2000-04-28,10.62805461883545
2000-05-01,10.952576637268066
2000-05-02,10.877241134643555
2000-05-03,10.361480712890625
2000-05-04,10.193428039550781
2000-05-05,10.320919036865234
2000-05-08,10.291942596435547
2000-05-09,10.396254539489746
2000-05-10,10.396254539489746
2000-05-11,10.488972663879395
2000-05-12,10.6396484375
2000-05-15,10.67441177368164
2000-05-16,10.755545616149902
2000-05-17,10.500564575195312
2000-05-18,10.709183692932129
2000-05-19,10.43681812286377
2000-05-22,10.280354499816895
2000-05-23,10.233994483947754
2000-05-24,10.048552513122559
2000-05-25,9.955830574035645
2000-05-26,9.747214317321777
2000-05-30,9.822545051574707
2000-05-31,10.054347038269043
2000-06-01,10.129682540893555
2000-06-02,10.407840728759766
2000-06-05,10.34989070892334
2000-06-06,10.01957893371582
2000-06-07,10.01957893371582
2000-06-08,9.92106819152832
