Date,XLK
2000-01-03,20.626375198364258
2000-01-04,19.5799560546875
2000-01-05,19.289270401000977
2000-01-06,18.649782180786133
2000-01-07,18.97534942626953
2000-01-10,19.696226119995117
2000-01-11,19.138120651245117
2000-01-12,19.056734085083008
2000-01-13,19.231136322021484
2000-01-14,19.67296600341797
2000-01-18,19.777612686157227
2000-01-19,19.8124942779541
2000-01-20,19.928762435913086
2000-01-21,19.95201873779297
2000-01-24,19.3009033203125
2000-01-25,19.71366310119629
2000-01-26,19.068361282348633
2000-01-27,18.882335662841797
2000-01-28,18.207962036132812
2000-01-31,18.81256866455078
2000-02-01,19.20789337158203
2000-02-02,19.347415924072266
2000-02-03,19.905508041381836
2000-02-04,20.1380558013916
2000-02-07,20.37059211730957
2000-02-08,20.556617736816406
2000-02-09,20.30082893371582
2000-02-10,20.78335189819336
2000-02-11,20.231067657470703
2000-02-14,20.242694854736328
2000-02-15,20.30082893371582
2000-02-16,20.196184158325195
2000-02-17,20.649633407592773
2000-02-18,19.95201873779297
2000-02-22,19.905508041381836
2000-02-23,20.510114669799805
2000-02-24,20.765907287597656
2000-02-25,20.56825065612793
2000-02-28,20.32408905029297
2000-02-29,20.78916358947754
2000-03-01,20.998449325561523
2000-03-02,21.207748413085938
2000-03-03,21.794904708862305
2000-03-06,21.760025024414062
2000-03-07,21.161239624023438
2000-03-08,21.533300399780273
2000-03-09,22.18441390991211
2000-03-10,22.230915069580078
2000-03-13,21.905363082885742
2000-03-14,21.405405044555664
2000-03-15,21.033334732055664
2000-03-16,21.76584243774414
2000-03-17,22.27743148803711
2000-03-20,22.18441390991211
2000-03-21,22.76576805114746
2000-03-22,23.161075592041016
2000-03-23,23.602907180786133
2000-03-24,23.806386947631836
2000-03-27,23.998228073120117
2000-03-28,23.41687774658203
2000-03-29,22.730884552001953
2000-03-30,22.114652633666992
2000-03-31,22.533226013183594
2000-04-03,21.579805374145508
2000-04-04,21.370515823364258
2000-04-05,21.510047912597656
2000-04-06,21.78908920288086
2000-04-07,22.533226013183594
2000-04-10,21.71932601928711
2000-04-11,21.18448257446289
2000-04-12,19.8124942779541
2000-04-13,19.434619903564453
2000-04-14,18.4172420501709
2000-04-17,19.41717529296875
2000-04-18,20.521753311157227
2000-04-19,19.847375869750977
2000-04-20,19.67296600341797
2000-04-24,19.068361282348633
2000-04-25,20.172927856445312
2000-04-26,19.78923988342285
2000-04-27,20.405473709106445
2000-04-28,20.46360969543457
2000-05-01,20.75428009033203
2000-05-02,20.37059211730957
2000-05-03,19.486940383911133
2000-05-04,19.347415924072266
2000-05-05,19.876447677612305
2000-05-08,19.173006057739258
2000-05-09,18.81838035583496
2000-05-10,17.90566062927246
2000-05-11,18.411436080932617
2000-05-12,18.649782180786133
2000-05-15,18.998594284057617
2000-05-16,19.56831932067871
2000-05-17,19.289270401000977
2000-05-18,18.80094337463379
2000-05-19,18.068435668945312
2000-05-22,17.987045288085938
2000-05-23,17.11501693725586
2000-05-24,17.789384841918945
2000-05-25,17.49870491027832
2000-05-26,17.556842803955078
2000-05-30,18.69629669189453
2000-05-31,18.335859298706055
2000-06-01,19.161373138427734
2000-06-02,20.033411026000977
2000-06-05,20.091541290283203
2000-06-06,19.8124942779541
2000-06-07,20.184555053710938
2000-06-08,20.091541290283203
2000-06-09,20.1380558013916
2000-06-12,19.7194766998291
2000-06-13,20.1380558013916
2000-06-14,19.765975952148438
2000-06-15,20.161304473876953
2000-06-16,20.231067657470703
2000-06-19,20.87055015563965
2000-06-20,20.928693771362305
2000-06-21,21.114728927612305
2000-06-22,20.46360969543457
2000-06-23,20.027584075927734
2000-06-26,20.161304473876953
2000-06-27,19.963638305664062
2000-06-28,20.161304473876953
2000-06-29,19.765975952148438
2000-06-30,20.161304473876953
2000-07-03,20.30082893371582
2000-07-05,19.64971923828125
2000-07-06,19.95201873779297
2000-07-07,20.277572631835938
