Date,GE
2000-01-03,129.43792724609375
2000-01-04,124.2603759765625
2000-01-05,124.0446548461914
2000-01-06,125.70307922363281
2000-01-07,130.570556640625
2000-01-10,130.5165252685547
2000-01-11,130.73233032226562
2000-01-12,131.16371154785156
2000-01-13,132.6739501953125
2000-01-14,130.3008270263672
2000-01-18,127.71214294433594
2000-01-19,128.3323516845703
2000-01-20,125.93224334716797
2000-01-21,124.3681869506836
2000-01-24,119.19071960449219
2000-01-25,119.5142593383789
2000-01-26,122.04917907714844
2000-01-27,122.3188247680664
2000-01-28,115.63123321533203
2000-01-31,115.63123321533203
2000-02-01,117.35706329345703
2000-02-02,115.68513488769531
2000-02-03,120.16156768798828
2000-02-04,122.15702056884766
2000-02-07,117.78851318359375
2000-02-08,118.27383422851562
2000-02-09,115.68513488769531
2000-02-10,116.87165069580078
2000-02-11,115.41547393798828
2000-02-14,115.95474243164062
2000-02-15,118.65138244628906
2000-02-16,117.06043243408203
2000-02-17,113.0424575805664
2000-02-18,107.97283172607422
2000-02-22,111.85590362548828
2000-02-23,112.61094665527344
2000-02-24,113.0424575805664
2000-02-25,108.8357162475586
2000-02-28,111.69415283203125
2000-02-29,114.22901153564453
2000-03-01,113.36603546142578
2000-03-02,116.70989227294922
2000-03-03,120.26939392089844
2000-03-06,118.94738006591797
2000-03-07,112.45639038085938
2000-03-08,112.78093719482422
2000-03-09,111.64508056640625
2000-03-10,113.970947265625
2000-03-13,112.023681640625
2000-03-14,109.91409301757812
2000-03-15,115.59371948242188
2000-03-16,120.29972076416016
2000-03-17,121.0570068359375
2000-03-20,121.97651672363281
2000-03-21,130.25254821777344
2000-03-22,130.5771026611328
2000-03-23,138.4744415283203
2000-03-24,137.66311645507812
2000-03-27,136.68942260742188
2000-03-28,135.01254272460938
2000-03-29,141.07089233398438
2000-03-30,137.39259338378906
2000-03-31,134.6880645751953
2000-04-03,139.33995056152344
2000-04-04,133.2816619873047
2000-04-05,132.68666076660156
2000-04-06,135.7698974609375
2000-04-07,137.44668579101562
2000-04-10,137.9876251220703
2000-04-11,139.8808135986328
2000-04-12,135.6616973876953
2000-04-13,130.25254821777344
2000-04-14,126.14153289794922
2000-04-17,131.55072021484375
2000-04-18,135.44532775878906
2000-04-19,134.57984924316406
2000-04-20,137.17623901367188
2000-04-24,140.25950622558594
2000-04-25,143.66729736328125
2000-04-26,141.28726196289062
2000-04-27,139.77264404296875
2000-04-28,136.0944061279297
2000-05-01,137.93353271484375
2000-05-02,139.39401245117188
2000-05-03,135.06671142578125
2000-05-04,133.2816619873047
2000-05-05,136.74354553222656
2000-05-08,136.14857482910156
2000-05-09,135.337158203125
2000-05-10,131.44256591796875
2000-05-11,132.2539825439453
2000-05-12,135.6616973876953
2000-05-15,140.2053985595703
2000-05-16,140.85450744628906
2000-05-17,139.2317657470703
2000-05-18,137.93353271484375
2000-05-19,134.6880645751953
2000-05-22,129.81980895996094
2000-05-23,129.81980895996094
2000-05-24,131.76707458496094
2000-05-25,131.76707458496094
2000-05-26,128.683837890625
2000-05-30,133.0653839111328
2000-05-31,136.63534545898438
2000-06-01,135.9862060546875
2000-06-02,136.95994567871094
2000-06-05,133.8766632080078
2000-06-06,132.90309143066406
2000-06-07,133.389892578125
2000-06-08,132.09170532226562
2000-06-09,129.49526977539062
2000-06-12,129.49526977539062
2000-06-13,132.90309143066406
2000-06-14,132.4161834716797
2000-06-15,134.6880645751953
2000-06-16,132.74075317382812
2000-06-19,130.46896362304688
2000-06-20,132.4161834716797
2000-06-21,128.35931396484375
2000-06-22,126.57433319091797
2000-06-23,129.49526977539062
2000-06-26,129.657470703125
2000-06-27,127.87254333496094
2000-06-28,131.23974609375
2000-06-29,129.17068481445312
2000-06-30,137.60894775390625
2000-07-03,135.01254272460938
2000-07-05,129.99998474121094
2000-07-06,130.65081787109375
2000-07-07,133.5795440673828
2000-07-10,136.50819396972656
2000-07-11,136.02008056640625
2000-07-12,139.9248809814453
2000-07-13,136.6708526611328
2000-07-14,134.06764221191406
2000-07-17,139.76222229003906
2000-07-18,136.02008056640625
2000-07-19,137.3217010498047
2000-07-20,141.38931274414062
2000-07-21,140.9011688232422
2000-07-24,140.57577514648438
2000-07-25,139.4368133544922
2000-07-26,135.6946258544922
2000-07-27,136.6708526611328
2000-07-28,132.60330200195312
2000-07-31,134.5557403564453
2000-08-01,137.3217010498047
2000-08-02,135.36920166015625
2000-08-03,137.64703369140625
2000-08-04,138.9486846923828
2000-08-07,136.9962921142578
2000-08-08,139.9248809814453
2000-08-09,145.6195831298828
2000-08-10,148.38552856445312
2000-08-11,147.24659729003906
2000-08-14,148.38552856445312
2000-08-15,149.03636169433594
2000-08-16,147.8973846435547
2000-08-17,147.5720977783203
2000-08-18,146.27040100097656
2000-08-21,147.24659729003906
2000-08-22,146.43312072753906
2000-08-23,150.8260955810547
2000-08-24,153.42929077148438
2000-08-25,154.2428436279297
2000-08-28,156.19534301757812
2000-08-29,155.8699188232422
2000-08-30,149.68716430664062
2000-08-31,152.61575317382812
2000-09-01,152.2904510498047
2000-09-05,150.50067138671875
2000-09-06,153.5920867919922
2000-09-07,153.5920867919922
2000-09-08,155.8699188232422
2000-09-11,155.38172912597656
2000-09-12,153.75477600097656
2000-09-13,153.75477600097656
2000-09-14,153.5920867919922
2000-09-15,147.73472595214844
2000-09-18,149.68716430664062
2000-09-19,148.38552856445312
2000-09-20,147.40933227539062
2000-09-21,146.43312072753906
2000-09-22,149.19908142089844
2000-09-25,151.1514434814453
2000-09-26,150.98880004882812
2000-09-27,154.7309112548828
2000-09-28,153.5920867919922
2000-09-29,150.85093688964844
2000-10-02,152.64491271972656
2000-10-03,154.11260986328125
2000-10-04,153.623291015625
2000-10-05,155.906494140625
2000-10-06,155.09104919433594
2000-10-09,152.64491271972656
2000-10-10,151.50326538085938
2000-10-11,147.75241088867188
2000-10-12,142.20761108398438
2000-10-13,148.7308807373047
2000-10-16,150.68783569335938
2000-10-17,145.14303588867188
2000-10-18,144.81687927246094
2000-10-19,145.14303588867188
2000-10-20,136.0104522705078
2000-10-23,129.81333923339844
2000-10-24,139.27207946777344
2000-10-25,138.1305389404297
